GAFIDENT;GAFNAAM;Begindatum;Einddatum;KRWWaterlichaamcode;KRW_SGBP3;KRWmonitoringslocatie;KRW_SGBP3_NAAM;OPMERKING;opmerking;Opp EAG (m²);Opp water (m²);Opp land (m²);Omtrek water (m);Opp water 0-1 m diep (m²);Opp water 1-8 m diep (m²);Opp water > 8 m diep (m²);Opp verhard;Opp onverhard;Opp water (BGT);verhardfactor;Plas;watertype;KRWWatertypeVoorstel_status;type;vijver?;StedelijkLandelijk;Oppervlak_bestand RUTH;Verschil;Oppervlak_Stefan;Verschil_stefan
1000-EAG-1;Stadsboezem Amsterdam, Oost;20160428;;NL11_2_1;NL11_2_1;NL11_VaartenAmsterdam;Vaarten Amsterdam;KRW Waterlichaam;;12521549.9;1308993.072;11212556.83;111162.8823;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Stedelijk;15751664;3230114.1;12521877.25;327.35
1000-EAG-2;Stadsboezem Amsterdam, West;20160428;;NL11_2_1;NL11_2_1;NL11_VaartenAmsterdam;Vaarten Amsterdam;KRW Waterlichaam;;2281304.728;255437.3738;2025867.354;16067.38065;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Stedelijk;2281305;0.27;2281358.38;53.65
1000-EAG-3;Stadsboezem Amsterdam, stad;20160428;;NL11_2_1;NL11_2_1;NL11_VaartenAmsterdam;Vaarten Amsterdam;KRW Waterlichaam;;374118.8901;81540.26466;292578.6254;6323.677635;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Stedelijk;374119;0.11;374124.13;5.23
1000-EAG-4;Stadsboezem Amsterdam, Zeeburg;20160428;;NL11_2_1;NL11_2_1;NL11_VaartenAmsterdam;Vaarten Amsterdam;KRW Waterlichaam;;574656.7871;181247.5712;393409.2158;10020.2173;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Stedelijk;573188;-1543.66;574661.63;-70.04
1010-EAG-1;Erasmuspark, Erasmuspark;20160428;;;;;;KRW Overig water;EJ: stedelijk;112020.1123;18956.44931;93063.66304;2298.810899;0;0;0;;;;;;M11;20161205_MemoWatertypenOverigWater;sloot;vijver;Stedelijk;112020;-0.11;112022.88;2.76
1020-EAG-1;Westerpark, Westerpark;20160428;;;;;;KRW Overig water;EJ: stedelijk;63252.39495;3233.081678;60019.31327;400.7543525;0;0;0;;;;;;M11;20161205_MemoWatertypenOverigWater;sloot;vijver;Stedelijk;63252;-0.39;63255.44;3.05
1030-EAG-1;BP Huis Te Vraag, BP Huis Te Vraag;20160428;;;;;;KRW Overig water;;41937.82827;3709.404686;38228.42358;1961.580358;0;0;0;;;;;;NTB;WBP 2016-2021;canal;;Landelijk;41938;0.17;41919.44;-18.39
1050-EAG-1;SP Zuid, SP Zuid;20160428;;;;;;KRW Overig water;;34637.49738;575.946481;34061.5509;416.3102897;0;0;0;;;;;;M3;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;34603;-34.5;34638.5;1
1060-EAG-1;Vondelpark, Vondelpark;20160428;;;;;;KRW Overig water;EJ: stedelijk;733376.1137;85569.81513;647806.2986;9536.780308;0;0;0;;;;;;M11;20161205_MemoWatertypenOverigWater;sloot;vijver;Stedelijk;733376;-0.11;733391.88;15.77
2000-EAG-1;Boezem Amstelland-West, Noord;20160428;;NL11_2_1;NL11_1_1;NL11_VaartenAmsterdam;Amstellandboezem;KRW Waterlichaam;;9143369.191;925282.4304;8218086.761;51138.15505;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Stedelijk;9107714;-35655.19;9143070.19;-299
2000-EAG-2;Boezem Amstelland-West, Noord-West;20160428;;NL11_1_1;NL11_1_1;NL11_Amstellandboezem;Amstellandboezem;KRW Waterlichaam;;1100827.654;825066.6353;275761.0185;27281.30927;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Landelijk;1098922;-1905.65;1101822.75;995.1
2000-EAG-3;Boezem Amstelland-West, Noord-Oost;20160428;;NL11_1_1;NL11_1_1;NL11_Amstellandboezem;Amstellandboezem;KRW Waterlichaam;;984271.3299;536537.6857;447733.6442;23218.13803;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Landelijk;981782;157.84;981173.81;-450.35
2000-EAG-4;Boezem Amstelland-West, Oost;20160428;;NL11_1_1;NL11_1_1;NL11_Amstellandboezem;Amstellandboezem;KRW Waterlichaam;;933828.6717;664945.2436;268883.4281;52456.59352;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Landelijk;934239;410.33;934184.44;355.77
2000-EAG-5;Boezem Amstelland-West, Midden;20160428;;NL11_1_1;NL11_1_1;NL11_Amstellandboezem;Amstellandboezem;KRW Waterlichaam;;1069442.017;831411.9568;238030.0605;50555.4152;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Landelijk;1069037;-405.02;1069051.56;-390.46
2000-EAG-6;Boezem Amstelland-West, West;20160428;;NL11_1_1;NL11_1_1;NL11_Amstellandboezem;Amstellandboezem;KRW Waterlichaam;;1367943.995;1081857.147;286086.8481;52322.69275;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Landelijk;1367947;3.01;1367950.25;6.26
2000-EAG-7;Boezem Amstelland-West, Zuid;20160428;;NL11_1_1;NL11_1_1;NL11_Amstellandboezem;Amstellandboezem;KRW Waterlichaam;;525199.8206;327776.986;197422.8346;40671.00504;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Landelijk;522390;-2809.82;527661.44;2461.62
2010-EAG-1;Diemerpolder, Diemen-Noord;20160428;;;;;;KRW Overig water;EJ: stedelijk;1601070.742;144598.4101;1456472.332;43475.64318;0;0;0;;;;;;M8;WBP 2016-2021;sloot;;Stedelijk;1608996;7925.26;1601105.88;35.14
2010-EAG-2;Diemerpolder, Diemen;20160428;;;;;;KRW Overig water;;1730320.311;98763.196;1631557.115;30532.90994;0;0;0;;;;;;M8;WBP 2016-2021;sloot;;Stedelijk;1724280;-6040.31;1730356.19;35.88
2020-EAG-1;Flevopark, Flevopark;20160428;;;;;;KRW Overig water;EJ: stedelijk;442817.3115;39589.78514;403227.5263;8298.332805;0;0;0;;;;;;M11;20161205_MemoWatertypenOverigWater;sloot;vijver;Stedelijk;442817;-0.31;442826.69;9.38
2030-EAG-1;Sarphatipark, Sarphatipark;20160428;;;;;;KRW Overig water;EJ: stedelijk;42113.82449;5366.854079;36746.97041;740.6069101;0;0;0;;;;;;M11;20161205_MemoWatertypenOverigWater;sloot;vijver;Stedelijk;54975;12861.18;42114.63;0.81
2040-EAG-1;Oosterpark, Oosterpark;20160428;;;;;;KRW Overig water;EJ: stedelijk;109532.2578;14752.71927;94779.53849;1288.607126;0;0;0;;;;;;M11;20161205_MemoWatertypenOverigWater;sloot;vijver;Stedelijk;129700;20167.74;109535.56;3.3
2050-EAG-1;Atekpolder, Atekpolder;20160428;;;;;;KRW Overig water;;25879.03547;804.844985;25074.19048;614.4012796;0;0;0;;;;;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;26343;463.96;25879.75;0.71
2100-EAG-1;Binnendijkse Buitenvelderse Polder, Binnendijkse Buitenvelderse Polder;20170322;;;;;;KRW Overig water;;5556130.023;388083.8282;5168046.195;51009.21318;0;0;0;;;;;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;5552183;-3947.02;5556232.25;102.23
2110-EAG-1;Middelpolder onder Amstelveen, bemalen gebied;20170315;;NL11_2_6;;NL11_VaartenWesteramstel;;KRW Overig water;klopt niet KRW oud, anders geen eag;1201183.47;126127.6452;1075055.825;41765.9699;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;1190411;-10772.47;1127079.31;-74104.16
2110-EAG-2;Middelpolder onder Amstelveen, Amsterdamse Bos;20170315;;;;;;KRW Overig water;;709243.8627;74628.84991;634615.0128;14240.43466;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;732202;22958.14;731546.69;22302.83
2110-EAG-3;Middelpolder onder Amstelveen, Bovenland;20170315;;;;;;KRW Overig water;;1891874.846;231214.2205;1660660.625;79963.4067;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;1956729;64854.15;1943849.5;51974.65
2110-EAG-4;Middelpolder onder Amstelveen, Natuurgebied;20170315;;;;;;KRW Overig water;;325132.9906;72650.35214;252482.6385;14748.46786;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;328213;3080.01;328218.63;3085.64
2110-EAG-5;Middelpolder onder Amstelveen, bebouwd gebied Amstelveen;20170315;;;;;;KRW Overig water;;4689417.55;233595.6558;4455821.894;40702.64104;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Stedelijk;4531053;-158364.55;4523880.94;-165536.61
2110-EAG-6;Middelpolder onder Amstelveen, landelijk en sportpark;20170315;;;;;;KRW Overig water;;1439378.371;147714.5507;1291663.82;53706.23537;0;0;0;;;;;;M10;WBP 2016-2021;sloot;vijver;Landelijk;1426982;-12396.37;1436744.44;-2633.93
2110-EAG-7;Middelpolder onder Amstelveen, zuid;20170315;;;;;;KRW Overig water;;270489.1664;21616.15335;248873.0131;6976.56208;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Stedelijk;347427;76937.83;347738.44;77249.27
2110-EAG-8;Middelpolder onder Amstelveen, bemalen gebied - KRW Waterlichaam;;20191205;NL11_2_6;;NL11_VaartenWesteramstel;;KRW Waterlichaam;vervallen in EAG 20191205;63365;15335;48030;3281;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;0;-63365;63365.88;0.88
2120-EAG-1;Bovenkerkerpolder, landelijk;20160428;;NL11_2_6;NL11_2_8;;Bovenkerkerpolder;KRW Waterlichaam;klopt niet KRW oud, anders geen eag, wt aangepast;8585372.487;594101.0461;7991271.441;384887.6802;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;8587053;2.39;8465982.38;-121068.23
2120-EAG-2;Bovenkerkerpolder, Amsteldijk Zuid;20160428;;;;;;KRW Overig water;;1517749.943;177202.346;1340547.597;63080.41664;0;0;0;;;;;;M8;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;1516075;-0.48;1516091.25;15.77
2120-EAG-3;Bovenkerkerpolder, Amstelveen;20160428;;;;;;KRW Overig water;;5196670.441;280647.5081;4916022.933;61969.56282;0;0;0;;;;;;M3;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;5197383;712.56;5196748.06;77.62
2120-EAG-4;Bovenkerkerpolder, landelijk- KRW Waterlichaam;;20191205;NL11_2_6;;NL11_VaartenWesteramstel;;KRW Waterlichaam;vervallen in EAG 20191205;121173;48490;72683;10887;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;0;-121173;121176.19;3.19
2130-EAG-1;Noorder Legmeerpolder, landelijk;20160428;;NL11_2_6;NL11_2_9;;Noorderlegmeer;KRW Waterlichaam;klopt niet KRW oud, anders geen eag;9111785.856;340604.3287;8771181.527;182130.1943;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;8415281;-696403.67;8999942.25;-111742.42
2130-EAG-2;Noorder Legmeerpolder, Bovenkerk;20160428;;;;;;KRW Overig water;;3551819.79;249119.0559;3302700.734;60376.95747;0;0;0;;;;;;M1a;WBP 2016-2021;sloot;;Stedelijk;3789670;237854.15;3551867.63;51.78
2130-EAG-3;Noorder Legmeerpolder, Uithoorn;20160428;;;;;;KRW Overig water;;3769956.601;201063.3148;3568893.286;51253.52244;0;0;0;;;;;;M1a;WBP 2016-2021;sloot;;Stedelijk;4228753;458549.43;3770240.88;37.31
2130-EAG-4;Noorder Legmeerpolder, Amstelzijde;20160428;;;;;;KRW Overig water;;212742.0137;10162.92454;202579.0892;4084.307248;0;0;0;;;;;;M1a;WBP 2016-2021;sloot;;Stedelijk;212596;-0.23;212597.94;1.71
2130-EAG-5;Noorder Legmeerpolder, landelijk - KRW Waterlichaam;;20191205;NL11_2_6;;NL11_VaartenWesteramstel;;KRW Waterlichaam;vervallen in EAG 20191205;111848;40946;70902;6709;0;0;0;;;;;;M10;WBP 2016-2021;sloot;;Landelijk;0;-111848;111851.31;3.31
2140-EAG-1;Uithoornsche Polder, Uithoornse Polder midden;20160428;;;;;;KRW Overig water;;1368003.303;254662.5143;1113340.788;63390.29627;0;0;0;;;;;;M10;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;1368003;-0.3;1368010.56;7.26
2140-EAG-2;Uithoornsche Polder, Uithoornse Polder zuid;20160428;;;;;;KRW Overig water;;492717.4675;78389.00403;414328.4635;27229.99263;0;0;0;;;;;;M8;WBP 2016-2021;sloot;;Landelijk;492717;-0.47;492718.81;1.34
2140-EAG-3;Uithoornsche Polder, Zijdelmeer;20160428;;;;;;KRW Overig water;EJ: stedelijk;313020.139;142114.6805;170905.4584;9091.252997;0;0;0;;;;;;M25;20161205_MemoWatertypenOverigWater;kleine plas;vijver;Stedelijk;313020;-0.14;313025.25;5.11
2140-EAG-4;Uithoornsche Polder, Bebouwing Uithoorn-Zuid;20160428;;;;;;KRW Overig water;EJ: stedelijk;2139217.206;377709.5643;1761507.641;81384.34067;0;0;0;;;;;;M10;20161205_MemoWatertypenOverigWater;sloot;;Stedelijk;2146839;7621.79;2139238.19;20.98
2140-EAG-5;Uithoornsche Polder, Natuurgebied Uithoorn;20160428;;;;;;KRW Overig water;;228891.5043;59967.04934;168924.455;10059.34434;0;0;0;;;;;;M10;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;221270;-7621.5;228893.38;1.88
2140-EAG-6;Uithoornsche Polder, De Kwakel;20160428;;;;;;KRW Overig water;;2013566.028;370081.7069;1643484.321;84050.36908;0;0;0;;;;;;M10;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;2013566;-0.03;2013581.81;15.78
2150-EAG-1;Zuider Legmeerpolder, waterberging;20160428;;;;;;KRW Overig water;;199576.7156;8159.563511;191417.1521;4849.874019;0;0;0;;;;;;M1a;WBP 2016-2021;sloot;;Landelijk;199577;0.28;199578.75;2.03
