GAFIDENT;GAFNAAM;Begindatum;Einddatum;KRWWaterlichaamcode;KRW_SGBP3;KRWmonitoringslocatie;KRWmonitoringslocatie_SGBP3;KRWmonitoringslocatie_SGBP3_MeetpuntInAquoKit20200701;SGBP3_NAAM;OPMERKING;OPPEAG;OppWater;OppLand;OmtrekWater;OppWater0_1m;OppWater1_8m;OppWater8m;Opp verhard;Opp onverhard;Opp water (BGT);verhardfactor;Plas;watertype;KRWWatertypeVoorstel_status;type;vijver;StedelijkLandelijk;LANDBOUWGEB;percopenwater
2000-EAG-2;Boezem Amstelland-West, Noord-West;20160428;;NL11_1_1;NL11_1_1;NL11_Amstellandboezem;NL11_Amstellandboezem;NL11_Amstellandboezem;Amstellandboezem;KRW Waterlichaam;1100827.654;825066.6353;275761.0185;27281.30927;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Landelijk;overig;0.749496647
2000-EAG-3;Boezem Amstelland-West, Noord-Oost;20160428;;NL11_1_1;NL11_1_1;NL11_Amstellandboezem;NL11_Amstellandboezem;NL11_Amstellandboezem;Amstellandboezem;KRW Waterlichaam;984271.3299;536537.6857;447733.6442;23218.13803;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Landelijk;overig;0.545111566
2000-EAG-4;Boezem Amstelland-West, Oost;20160428;;NL11_1_1;NL11_1_1;NL11_Amstellandboezem;NL11_Amstellandboezem;NL11_Amstellandboezem;Amstellandboezem;KRW Waterlichaam;933828.6717;664945.2436;268883.4281;52456.59352;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Landelijk;overig;0.712063426
2000-EAG-5;Boezem Amstelland-West, Midden;20160428;;NL11_1_1;NL11_1_1;NL11_Amstellandboezem;NL11_Amstellandboezem;NL11_Amstellandboezem;Amstellandboezem;KRW Waterlichaam;1069442.017;831411.9568;238030.0605;50555.4152;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Landelijk;overig;0.777425932
1010-EAG-1;Erasmuspark, Erasmuspark;20160428;;;;;;;;KRW Overig water;112020.1123;18956.44931;93063.66304;2298.810899;0;0;0;;;;;;M11;20161205_MemoWatertypenOverigWater;sloot;vijver;Stedelijk;park;0.169223624
1020-EAG-1;Westerpark, Westerpark;20160428;;;;;;;;KRW Overig water;63252.39495;3233.081678;60019.31327;400.7543525;0;0;0;;;;;;M11;20161205_MemoWatertypenOverigWater;sloot;vijver;Stedelijk;park;0.05111398
1030-EAG-1;BP Huis Te Vraag, BP Huis Te Vraag;20160428;;;;;;;;KRW Overig water;41937.82827;3709.404686;38228.42358;1961.580358;0;0;0;;;;;;NTB;WBP 2016-2021;canal;;Stedelijk;overig;0.08845009
1050-EAG-1;SP Zuid, SP Zuid;20160428;;;;;;;;KRW Overig water;34637.49738;575.946481;34061.5509;416.3102897;0;0;0;;;;;;M3;20161205_MemoWatertypenOverigWater;canal;;Stedelijk;overig;0.016627832
1060-EAG-1;Vondelpark, Vondelpark;20160428;;;;;;;;KRW Overig water;733376.1137;85569.81513;647806.2986;9536.780308;0;0;0;;;;;;M11;20161205_MemoWatertypenOverigWater;sloot;vijver;Stedelijk;park;0.116679305
2000-EAG-6;Boezem Amstelland-West, West;20160428;;NL11_1_1;NL11_1_1;NL11_Amstellandboezem;NL11_Amstellandboezem;NL11_Amstellandboezem;Amstellandboezem;KRW Waterlichaam;1367943.995;1081857.147;286086.8481;52322.69275;0;0;0;;;;;;M6b;WBP 2016-2021;canal;;Landelijk;veen;0.790863625
