GAFIDENT;GAFNAAM;Begindatum;Einddatum;KRWWaterlichaamcode;KRW_SGBP3;KRWmonitoringslocatie;KRWmonitoringslocatie_SGBP3;KRWmonitoringslocatie_SGBP3_MeetpuntInAquoKit20200701;SGBP3_NAAM;OPMERKING;Plas;watertype;KRWWatertypeVoorstel_status;type;vijver;StedelijkLandelijk;LANDBOUWGEB;OppEAG;OppWater;OppLand;OmtrekWater;OppWater0_1m;OppWater1_8m;OppWater8m;Opp verhard;Opp onverhard;Opp water (BGT);percOpenwater;Formule_omtrekoppervlak
2110-EAG-8;Middelpolder onder Amstelveen, bemalen gebied - KRW Waterlichaam;;20191205;NL11_2_6;;NL11_VaartenWesteramstel;;;;KRW Waterlichaam;;M10;WBP 2016-2021;sloot;;Landelijk;;63365;15335;48030;3281;;;;;;;24;0.037742934
2120-EAG-4;Bovenkerkerpolder, landelijk- KRW Waterlichaam;;20191205;NL11_2_6;;NL11_VaartenWesteramstel;;;;KRW Waterlichaam;;M10;WBP 2016-2021;sloot;;Landelijk;;121173;48490;72683;10887;;;;;;;40;0.020226366
2130-EAG-5;Noorder Legmeerpolder, landelijk - KRW Waterlichaam;;20191205;NL11_2_6;;NL11_VaartenWesteramstel;;;;KRW Waterlichaam;;M10;WBP 2016-2021;sloot;;Landelijk;;111848;40946;70902;6709;;;;;;;37;0.030161154
2400-EAG-7;Polder de Rondehoep, bemalen gebied - KRW Waterlichaam;;20191205;NL11_2_5;;NL11_VaartenRondeHoep;;;;KRW Waterlichaam;;M10;WBP 2016-2021;sloot;;Landelijk;;129602;39808;89794;9024;;;;2645;86815;40145;31;0.022109865
2400-EAG-8;Polder de Rondehoep, noord-oost - KRW Waterlichaam;;20191205;NL11_2_5;;NL11_VaartenRondeHoep;;;;KRW Waterlichaam;;M10;WBP 2016-2021;sloot;;Landelijk;;51671;21979;29692;4896;;;;798;28702;22172;43;0.030280466
2400-EAG-9;Polder de Rondehoep, weidevogel gebied - KRW Waterlichaam;;20191205;NL11_2_5;;NL11_VaartenRondeHoep;;;;KRW Waterlichaam;;M10;WBP 2016-2021;sloot;;Landelijk;;16474;2428;14046;676;;;;0;14044;2435;15;0.072891627
2501-EAG-3;Polder Oukoop en Polder Groot Wilnis-Vinkeveen (oost), Polder Demmerik - KRW Waterlichaam;;20191205;NL11_2_3;;NL11_VaartenRondeVenen;;;;KRW Waterlichaam;;M10;WBP 2016-2021;sloot;;Landelijk;;47308;27226;20082;3770;;;;1591;18316;27403;58;0.043767382
2510-EAG-4;Groot Wilnis-Vinkeveen (zuid) en Polder Groot en Klein Oud-Aa, Heicop & Geer - KRW Waterlichaam;;20191205;NL11_2_3;;NL11_VaartenRondeVenen;;;;KRW Waterlichaam;;M10;;sloot;;Landelijk;;163475;68675;94800;11639;;;;1139;93144;69192;42;0.022515607
2510-EAG-5;Groot Wilnis-Vinkeveen (zuid) en Polder Groot en Klein Oud-Aa, Bovenland - KRW Waterlichaam;;20191205;NL11_2_3;;NL11_VaartenRondeVenen;;;;KRW Waterlichaam;;M10;;sloot;;Landelijk;;245837;95426;150411;10540;;;;885;149045;95904;39;0.029308443
2540-EAG-6;Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), landelijk - KRW Waterlichaam;;20191205;NL11_2_7;;NL11_VaartenGrootMijdrec;;;;KRW Waterlichaam;;M10;WBP 2016-2021;sloot;;Landelijk;;261456;86276;175180;11646;;;;37083;137923;86449;33;0.025221343
2600-EAG-10;Polder Zevenhoven, bemalen gebied - KRW Waterlichaam;;20191205;NL11_2_4;;NL11_VaartenZevenhoven;;;;KRW Waterlichaam;;M10;WBP 2016-2021;sloot;;Landelijk;;201582;67745;133837;14886;;;;14315;118930;68337;34;0.017484798
3000-EAG-1;Vechtboezem, Vecht;;20191205;NL11_1_2;;NL11_Vecht;;;;KRW Waterlichaam;;M7b;WBP 2016-2021;canal;;Landelijk;;6636325;3302353;3333972;180498;;;;877211;2447141;3311995;50;0.010067911
3300-EAG-10;Muyeveld, Weersloot;;20191205;NL11_6_1;;NL11_Sterenzodden;;;;KRW Waterlichaam;;M10;WBP 2016-2021;sloot;;Landelijk;;2733132;345003;2388129;110043;;;;112917;2274867;345357;13;0.005337637
3300-EAG-11;Muyeveld, Oostenlijke Drecht;;20191205;NL11_6_1;;NL11_Sterenzodden;;;;KRW Waterlichaam;;M10;WBP 2016-2021;sloot;;Landelijk;;4516606;596646;3919960;170106;;;;300101;3618151;598381;13;0.004540867
3300-EAG-12;Muyeveld, De Ster;;20191205;;;;;;;KRW Overig water;;M8;20161205_MemoWatertypenOverigWater;sloot;;Landelijk;;6536672;282606;6254066;126253;;;;880052;5366659;289989;4;0.004210648
3311-EAG-4;Bethunepolder,;20170202;20191205;;;;;;;KRW Overig water;;M8;WBP 2016-2021;sloot;;Landelijk;;119736;0;0;0;;;;0;119736;0;0;#DELING.DOOR.0!
6100-EAG-2;Noorder IJ Polder, Noorder IJplas;;20191205;;;;;;;NVT;;M20;WBP 2016-2021;plas;;Landelijk;;116947;81468;35479;1216;;;;3904;31579;81467;70;0.234725327
