CODE;BUITENGEBRUIKDATUM;NAAM;NAMESPACE;GERELATEERDMEETOBJECT;GERELATEERDMEETOBJECTROL_ID;WATERTYPE;XCOORD;YCOORD;ZCOORD;REFERENTIEVLAK;MORFOLOGIE;OPMERKING;MOTIVATIE;TOEGANKELIJKHEID;MEETNET_HISTORIE;MEETNET_ACTUEEL;FEWSFILTER_HISTORIE;FEWSFILTER_ACTUEEL;PROGRAMMA_HISTORIE;PROGRAMMA_ACTUEEL;BODEMSOORT;GAFIDENT;EAGIDENT;OWMIDENT
*;;dummy niet verwijderen;NL11;;;;0;0;;;;coordinaten fictief op midden GAF/EAG gezet;;;;;;;;;;;;
AAA001;;tussen Groot en Klein Ruwiel;NL11;;;;127008;465322;;;lijnvormig; | nog morf check | ;;;FYTPTKRW_MACEVKRW_MACFTKRW_Overig-fychem_ZOOPTGBD;;KRW_Onderzoek;;FYCHEM_HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA002;;boezem Breukelerwaard west_ voor inlaat hfdwatergang;NL11;;;;127210;464949;;;lijnvormig; | nog morf check | ;;;HSV-WGP;;Watergebiedsplannen;;FYCHEM;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA100;;mp macrofauna;NL11;;;;126671;465746;;;lijnvormig; | nog morf check | ;;;MACEVKRW;;KRW;;HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA101;;vis;NL11;;;;127066;466376;;;lijnvormig; | nog morf check | ;;;VISKRW;;KRW;;HYBI;;Zware klei;46;2000-EAG-7;NL11_1_1
AAA101P;;vis;NL11;;;;127066;466376;;;lijnvormig;;;;;;;;;;Zware klei;46;2000-EAG-7;NL11_1_1
AAA102;;vis;NL11;;;;127066;466375;;;lijnvormig; | nog morf check | ;;;;;;;;;Zware klei;46;2000-EAG-7;NL11_1_1
AAA103;;mp vegetatie;NL11;;;;127320;464743;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;MACFTGBD;;KRW;;HYBI;;Zware zavel;47;2510-EAG-1;NL11_2_11
AAA104;;mp vegetatie;NL11;;;;126653;466290;;;lijnvormig; | nog morf check | ;;;MACFTGBD_MACFTKRW_MACFTKRWOM;;KRW;;HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA105;;mp vegetatie;NL11;;;;127110;466928;;;lijnvormig; | nog morf check | ;;;MACFTKRW;;KRW;;HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA106;;vis Amstellandboezem 1;NL11;;;;127195;466764;;;lijnvormig; | nog morf check | ;;;VISKRW;;KRW;;HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA107;;vis Amstellandboezem 1;NL11;;;;127216;466695;;;lijnvormig; | nog morf check | ;;;VISKRW;;KRW;;HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA108;;vis Amstellandboezem 1;NL11;;;;126871;466541;;;lijnvormig; | nog morf check | ;;;VISKRW;;KRW;;HYBI;;Zware zavel;46;2000-EAG-7;NL11_1_1
AAA109;;Amstelboezem-Aa;NL11;;;;128272;468279;;;lijnvormig; | nog morf check | ;;;MACFTKRW;;KRW;;HYBI;;Zware klei;46;2000-EAG-4;NL11_1_1
AAA110;;Amstelboezem-Aa;NL11;;;;127454;470567;;;lijnvormig; | nog morf check | ;;;MACFTKRW;;KRW;;HYBI;;Veen;46;2000-EAG-4;NL11_1_1
ABA001;;Angstel te Braambrugge;NL11;;;;127887;473251;;;lijnvormig; | nog morf check | ;;;DROOG_MACFTKRW_Overig-fychem_ROUTINE;;Evaluatie_KRW_Onderzoek;;FYCHEM_HYBI;;Zware zavel;46;2000-EAG-4;NL11_1_1
ABC001;;Abcoudermeer zwembad;NL11;;;;126336;476789;;;lijnvormig; | nog morf check | ;;;Overig-fychem_ZWEM;;Onderzoek_Zwemwater;;FYCHEM;;Water;46;2000-EAG-4;NL11_1_1
ABC002;;ten Z.voorm zwembad, einde weg;NL11;ABC002P;;;126358;476723;;;lijnvormig; | nog morf check | ;in 2019 verplaatst naar midden;;ADHOC_BEDWAT_DIEPTE-FYCHEM_EXTZWEM_FYTOPLANKTONABUNDANTIE_FYTPTKRW_KRWOndCHEM_MACFTGBD_MAC;;Evaluatie_KRW_Onderzoek_VMplassen_Zwemwater;;FYCHEM_HYBI;;Veen;46;2000-EAG-4;NL11_1_1
ABC002P;;parent ABC002;NL11;;;;126358;476723;;;;;verbetering monstername naar midden, meer representatief voor brede WG;;;;;;;;Veen;46;2000-EAG-4;NL11_1_1
ABC003;;sloot ten noordwesten van Waterlelie;NL11;;;;126744;476675;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;NAB;;Evaluatie;;FYCHEM;;Lichte klei;46;2230-EAG-2;
ABC004;;sloot naast dr. Sloetlaan bij brug;NL11;;;;126544;475622;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;NAB_ROUTPEBS-WGP;;Evaluatie_Watergebiedsplannen;;FYCHEM;;Bebouwing;46;2410-EAG-2;
ABC005;;Koppeldijk;NL11;;;;126742;475699;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Bebouwing;46;2410-EAG-3;
ABC006;;paadje achter van Voorthuijsenhof;NL11;;;;126234;475832;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;PWH-WGP_ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Zware klei;46;2410-EAG-2;
ABC007;;Janshof 35-74;NL11;;;;126279;476244;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;46;2410-EAG-2;
ABC008;;Torenlaan;NL11;;;;126539;475988;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Bebouwing;46;2410-EAG-2;
ABC009;;Ruwelspad;NL11;;;;126537;476881;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Veen;46;2230-EAG-2;
ABC010;;Zilverschoon;NL11;;;;126752;476610;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;46;2230-EAG-2;
ABC011;;Ereprijs;NL11;;;;126891;476720;;;lijnvormig;Coordinaten kloppen niet | nog morf check | ;;;ROUTPEBS-WGP;;Watergebiedsplannen;;FYCHEM;;Lichte klei;46;2230-EAG-2;
ABC012;;Middenop Abcoudermeer;NL11;ABC002P;;;126160;476841;;;plas;;verbetering monstername naar midden, meer repr voor brede wg;;DIEPTE-FYCHEM_FYTPTKRWOM_KRWOndCHEM_Plassen-grob-ESF2_VASTPLAS;DIEPTE-FYCHEM_KRWOndCHEM_Plassen-grob-ESF2_VASTPLAS;Evaluatie_KRW_VMplassen;Evaluatie_KRW_VMplassen;FYCHEM_HYBI;FYCHEM;Water;46;2000-EAG-4;NL11_1_1
ABC100;;mp vegetatie;NL11;;;;126242;476539;;;lijnvormig; | nog morf check | ;;;MACFTGBD_MACFTKRW_MACFTKRWOM;;KRW;;HYBI;;Water;46;2000-EAG-4;NL11_1_1
