GAFIDENT;GAFNAAM;OPMERKING;Opp EAG (m²);Opp water (m²);Opp land (m²);Omtrek water (m);Opp water 0-1 m diep (m²);Opp water 1-8 m diep (m²);Opp water > 8 m diep (m²);Plas;watertype;type;vijver?;opmerking;Opp verhard;Opp onverhard;Opp water (BGT);verhardfactor;StedelijkLandelijk
6000-EAG-7;Geen EAG;Geen KRW open water;0;0;0;0;0;0;0;;NVT;canal;;;69407.6875;13775.5;0;0.834395622;Stedelijk
9901-EAG-1;Geen EAG, lozend op riolering;Geen KRW open water;0;0;0;0;0;0;0;;NVT;canal;;;35231.3125;11574.6875;0;0.752709321;Stedelijk
7000-EAG-3;Geen EAG, afstromend;Geen KRW open water;0;0;0;0;0;0;0;;NVT;canal;;;36038.125;14306.75;0;0.715825096;Stedelijk
2130-EAG-4;Noorder Legmeerpolder, Amstelzijde;KRW Overig water;212,596;10,163;202,433;4,084;0;0;0;;M1a;sloot;;;150158.125;52219.875;10219.9375;0.706300949;Stedelijk
1050-EAG-1;SP Zuid, SP Zuid;KRW Overig water;34,637;576;34,062;416;0;0;0;;NTB;canal;;;23803.9375;10220.125;614.4375;0.687210402;Stedelijk
7000-EAG-2;Geen EAG, afstromend;Geen KRW open water;0;0;0;0;0;0;0;;NVT;canal;;;56843.5625;26718.375;0;0.680256636;Stedelijk
7050-EAG-1;Haveneiland, Haveneiland;KRW Overig water;1,298,602;144,280;1,154,322;12,622;0;0;0;;M3;canal;;;871399.5;281744.25;145487.1875;0.671013969;Stedelijk
6000-EAG-9;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, afstromend naar boezem - west;KRW Overig water;23,554,544;593,976;22,960,568;213,907;0;0;0;;NVT;canal;;;15768757.63;7165890.313;620503.1875;0.669439884;Stedelijk
6590-EAG-1;Rijnkade, Rijnkade;KRW Overig water;624,710;13,376;611,334;5,669;0;0;0;;M1a;sloot;;;416769.0625;194578.625;13375.9375;0.667125503;Stedelijk
6000-EAG-10;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, afstromend naar boezem - oost;KRW Overig water;7,913,035;673,661;7,239,374;52,681;0;0;0;;NVT;canal;;;5055642.563;2182567.125;675032.5;0.638883841;Stedelijk
3050-EAG-2;Gemeenschapspolder zuid-oost, Bloemendalerpolder Weesp;KRW Overig water;389,398;8,072;381,326;2,739;0;0;0;;M8;sloot;;;248697.9375;132629.75;8072.875;0.638668665;Stedelijk
4120-EAG-1;Buitendijken ten Noorden van Naarden, Schapenmeent;KRW Overig water;626,629;14,674;611,955;3,959;0;0;0;;M1a;sloot;;;392965.875;218651.75;15020.8125;0.627101454;Stedelijk
