OWMNAAM;OWL;OWMNAAM_SGBP3;OWL_SGBP3;Watertypen;GebiedType;ESF1;ESF2;ESF3;ESF4;ESF5;ESF6;ESF7;ESF8;Karakterschets;Doelen;Toestand;Trend;TrendChemie;Oorzaken;Maatregelen;MonitoringAnalyseWensen;ESF1;ESF2;ESF3;ESF4;ESF5;ESF6;ESF7;ESF8;MotiveringBegrenzing;Gemeenten;Provincies;Eigenaren;Status;Literatuurverwijzing;Gebiedspartners;aangepast;Opmerking;StatusFS
;;Erasmuspark, Erasmuspark;1010;M11;Stedelijk;0;1;0;0;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor kleine ondiepe gebufferde plassen (M11), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 1010-EAG-1: Er is sprake van woekerende waterplanten. De gemiddelde bedekking is (90). De bedekking met kroos () is laag. Er is weinig FLAB (). ;;;;;;;Lichtklimaat vormt geen probleem. Er is voldoende doorzicht. Er valt licht op de bodem. ;;;;;;;;Amsterdam;Noord-Holland;;;gebiedsbrede dataanalyse;;LM_20201127;;WIP_WSIgebiedsbreed
;;Westerpark, Westerpark;1020;M11;Stedelijk;0;3;0;0;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor kleine ondiepe gebufferde plassen (M11), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 1020-EAG-1: De gemiddelde bedekking met waterplanten is laag (0.1). De bedekking met kroos (0) is laag. Er is weinig FLAB .;;;;;;;Lichtklimaat vormt een probleem. Het lichtklimaat is slecht op plekken waar de waterdiepte voldoende groot is. De oorzaak is onbekend. ;;;;;;;;Amsterdam;Noord-Holland;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
;;BP Huis Te Vraag, BP Huis Te Vraag;1030;NTB;Stedelijk;0;1;0;0;0;0;0;0;;;In 1030-EAG-1: De gemiddelde bedekking met waterplanten is laag (5). De bedekking met kroos (3.5) is laag. Er is weinig FLAB .;;;;;;;Lichtklimaat vormt geen probleem. Er is voldoende doorzicht. Er valt licht op de bodem. ;;;;;;;;Amsterdam;Noord-Holland;;;gebiedsbrede dataanalyse;;LM_20201127;;WIP_WSIgebiedsbreed
;;SP Zuid, SP Zuid;1050;M3;Stedelijk;0;1;0;3;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor gebufferde kanalen (M3), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 1050-EAG-1: Er is sprake van woekerende waterplanten. De gemiddelde bedekking is (100). De bedekking met kroos (0.1) is laag. Er is weinig FLAB (0). ;;;;;;;Lichtklimaat vormt geen probleem. Er is voldoende doorzicht. Er valt licht op de bodem. ;;Habitatgeschiktheid vormt een probleem omdat de waterdiepte te gering is. De mediane waterdiepte is kleiner dan 35 cm (0.3). De mediane dikte van het slib is 0.3. Wanneer de sliblaag wordt verwijderd zal de waterdiepte voldoende zijn voor een gezond ecosysteem.;;;;;;Amsterdam;Noord-Holland;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
;;Vondelpark, Vondelpark;1060;M11;Stedelijk;0;2;0;3;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor kleine ondiepe gebufferde plassen (M11), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 1060-EAG-1: De gemiddelde bedekking met waterplanten is laag (0). De bedekking met kroos () is hoog. Er is weinig FLAB.;;;;;;;Lichtklimaat vormt lokaal een probleem: op sommige plekken wel en op andere plekken niet. Lokaal, waar het water dieper is, is het lichtklimaat beperkt door algen, flab en/of kroos.;;;;;;;;Amsterdam;Noord-Holland;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
Diemerpolder Noord;2010-EAG-1;Diemerpolder;2010;M8;Stedelijk;3;2;2;3;1;1;0;0;De Diemerpolder heeft grotendeels een stedelijke bestemming, maar ook de functies landbouw, recreatie en natuur komen voor. Stedelijk gebied is 246,9 ha (74%). De Diemenpolder behoort tot het Natuur Netwerk Nederland (Regio: Diemenpolder Diemerbos). Deze NNN verbindt de natuur in gebied de Diemerscheg. De ondergrond bestaat hoofdzakelijk uit veen (tot ca 5 m diepte), afgewisseld met kleilagen. Daaronder bevindt zich tot ca 10 meter diepte een kleilaag. Inlaatmogelijkheden voor peilgebied 8-1 zijn inlaat Oud Diemerlaan, dat water heeft in de zomer meer chloride dan wenselijk. Inlaat vanuit de Diem (KDU11403) is slecht bereikbaar en onveilig om te bereiken (langs het spoor lopen). Ook de Diem wordt zilter in de zomer.  In de Diemerpolder (8-1) is in de zomer, met name in het stedelijke deel, een tekort aan water en moet veel water worden ingelaten via de inlaten in het noorden en zuidoosten. Het probleem is echter dat dit water moeilijk in het zuidwesten kan komen. ;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor sloten met een veenbodem (M8), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;Fysisch-chemische en hydrobiologische waarnemingen laten zien dat dit een hoogproductief (voedselrijk) systeem is met aanwezigheid van waterplanten. ;In 2010-EAG-1: De score op de maatlat Waterflora vertoont een negatieve trend (-0.06 ekr per planperiode tussen 2006 en 2019). Deze trend is gebaseerd op twee meetjaren.;;De waterkwaliteit biedt ruimte voor verbetering, totaal fosfor is redelijk hoog. Het lichtklimaat vormt ook een belemmering voor de ecologische kwaliteit en de waterbodem zou een belangrijke bron van voedingsstoffen kunnen zijn. De eerste ecologische sleutel factor (ESF 1) ‘Productiviteit’ scoort slecht. De inlaat bij de Oud Diemerlaan is een belangrijke bron van voedingstoffen, terug te zien in o.a. chloride gehalte. Vooral in de zomer is het water dat bij deze inlaat de polder instroomt zout. De productiviteit van het water kan ook gerelateerd zijn aan de overstorten van het rioolstelsel. De waterdiepte is op veel plekken te gering. Een gevolg zijn naleveringspieken van fosfor in de zomer door de zuurstofloosheid van het slib. Het lichtklimaat vormt ook een belemmering voor de ecologische kwaliteit. De waterbodem zou een belangrijke bron van voedingstoffen kunnen zijn.;Advies is om samen met de gemeente doelen en maatregelen voor waterkwaliteit en ecologie (KRW overig water) uit te werken: o.a. keuze voor welke water voor peilaanvulling gebruiken, vergroten waterdiepte en verbeteren inrichting.;"In dit waterlichaam wordt de vegetatie 1 keer per 3 jaar gemeten. Macrofauna wordt niet gemeten. Fytoplankton wordt niet gemeten, er wordt wel chlorofy-a gemeten. Vis wordt  gemeten. Daarnaast worden maandelijks verschillende fysisch chemische parameters gemeten in het waterlichaam en het inlaatwater van het waterlichaam. De huidige water- en stoffenbalans is voor het gehele afvoergebied gemaakt. 
De rioleringsgegevens (hoeveelheid en kwaliteit van uitwisseling tussen stelsel en oppervlaktewater en de oppervlakken verhard gebied die afwateren op riool of watersysteem) moeten hier nog in worden verwerkt. 
Daarnaast is de uitwisseling tussen deelgebieden (EAG's) niet gemodeleerd: dit heeft wel meerwaarde in een WSA omdat verschillende deelgebieden zich anders gedragen en om beter te bepalen of er mogelijkheden zijn om voedselrijke waterstromen om te leiden (gebieden te zoneren). Het modelleren van verschillende EAG's is vooral zinvol wanneer er maatregelen worden overwogen om de belasting met voedingstsoffen te reduceren. 
Om de stofstromen goed in beeld te brengen is het nodig om algemene fysisch chemische parameters te bemonsteren op een meetpunt dat zich op het uitwisselingspunt tussen EAG 1 en 2 bevindt. Hiermee wordt in beeld gebracht welke kwaliteit het water heeft dat van 1 naar 2 stroomt (mogelijk is dit DMP004).";Productiviteit water vormt een probleem. De belasting is ligt tussen de 12.3 en 17.9 mg P/m2/dag en bestaat uit een gelijke verdeling tussen uitspoeling, verhard oppervlak, gedraineerd en doorspoeling. In onderstaande figuur is te zien dat de belasting de laatste jaren is toegenomen, en dat dit vooral samenhangt met een verhoogde doorspoeling. Uitgaande van een gemiddelde diepte van 0,5 m, een debiet van 38,2 mm/d en respectievelijk een klei- en veenbodem, is de kritische P-belasting 15,37 en 15,2 mg P/m2/dag. De huidige belasting is dus, uitgaande van de minimumwaarden, voldoende laag, waardoor een helder plantenrijk systeem mag worden verwacht. De huidige  belasting van het systeem bevindt zich echter dicht tegen de kritische grens en met een zichtbare toename staat de kwaliteit onder druk. ESF1 vormt op dit moment geen knelpunt, maar kan dit wel worden. De toestand van het systeem laat een vergelijkbaar beeld zien. Het P-gehalte (in mg/l) schommelt rond de 0,31 mg/l en Chlorofyl a laat pieken zien in het voorjaar en zomer. In 2018 zijn er veel meer algen gemeten dan in eerdere jaren. P laat vooral pieken zien in de zomer (tot 2 mg/l), deze zijn hoger in het stedelijk gebied (EAG2) dan in het landelijk gebied (EAG1). Deze hoge pieken duiden op nalevering vanuit de waterbodem bij hogere temperaturen. Chlorofyl a is de afgelopen twee droge jaren juist lager in Diemenpolder zuid (EAG2) dan in noord (EAG 1) en altijd vrij laag. Er is dus weinig productie in de vorm van algen.;Het lichtklimaat in Diemerpolder vormt mogelijk een belemmering voor een goede waterkwaliteit, zeker wanneer watergangen worden verdiept.;Productiviteit bodem vormt mogelijk een probleem. Er zijn geen waterbodemgegevens beschikbaar, maar de seizoensdynamiek in fosforconcentraties laat zien dat er in de zomer fosfor uit de waterbodem wordt nageleverd. De waterbodem is waarschijnlijk voedselrijk. Wanneer wordt overwogen om te baggeren, dan is het zinvol om de waterbodem op verschillende diepten te bemonsteren.;Habitatgeschiktheid vormt een probleem. De taluds op de meeste locaties steiler zijn dan 20 graden. De inrichting vormt mogelijk een belemmering voor de waterkwaliteit. ;Niet bekend.;Niet bekend.;Niet bekend.;Niet bekend.;Geen herbegrenzing nodig.;Diemen;Noord-Holland;;KRW waterlichaam;WSA GRP Diemen_20181019, Droog 2019;;LM_20201127;;WSI
;;Flevopark;2020;M11;Stedelijk;3;3;2;3;0;0;3;0;Het Flevopark ligt in Amsterdam-Oost en vormt de oostelijke begrenzing van de Indische Buurt. Dit park kreeg concreet vorm vanaf 1908. De natuurkenner Jac. P. Thijsse zette zich in voor een park tussen de Joodse begraafplaats en het Nieuwe Diep. Het Flevopark vormt een aaneengesloten natuur- en recreatiegebied  met de joodse begraafplaats, Jeugdland, de tennisclub en het Flevoparkbad. Het gebied bestaat uit een peilvak in het Noorden met een waterpeil van -0.50 NAP. Vanuit dit peilvak kan er in het Noordwesten overtollig water naar het lager gelegen peilvak stromen. In de praktijk gebeurt dit zelden. Het lager gelegen peilvak (- 2.15- -2.25) wordt gevoed vanuit het Nieuwe Diep. Waternet laat slechts een enkele keer per jaar water in vanuit het Nieuwe Diep om het water op peil te houden. Kwel is een belangrijke bron van water in het gebied en de oorzaak van de geringe waterbehoefte. Er wordt geen water ingelaten vanuit de ringvaart van de Watergraafsmeer. Het peilbeheer is er op gericht om zo min mogelijk water in te laten en niet door te spoelen.;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor kleine ondiepe gebufferde plassen (M11), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;De ecologische waterkwaliteit in het Flevopark is slecht: het water is troebel en er groeien onder water geen planten. Er wordt weinig kroos gemeten in de grotere wateren en de bedekking met FLAB is laag. Er komen wel drijfblad en emerse planten voor in redelijke bedekkingen.;In 2010-EAG-1: De score op de maatlat Waterflora vertoont een negatieve trend (-0.06 ekr per planperiode tussen 2006 en 2019). Deze trend is gebaseerd op twee meetjaren.;Fosfor vertoont tussen 2010 en 2020 een stijgende trend (achteruitgang), stikstofconcentraties dalen sinds begin 2019.;Het watersysteem bevat veel voedingstoffen (fosfor en stikstof), de watergangen zijn periodiek zuurstofloos en er is sprake van nalevering van voedingstoffen uit de waterbodem. De sloten langs de begraafplaats zijn zeer ondiep en liggen vol met bagger (o.a. dood blad) en soms ook bomen en grote takken. Het afbreken van o.a. bladeren in het water veroorzaakt stank van de waterbodem. De oorzaken van de slechte waterkwaliteit zijn: veel bladinval, beschaduwing door bomen en struiken, dikke sliblagen, karpers en mogelijk lokaal ook brood en ander organisch afval dat in de watergangen wordt gegooid. In 2011 is hier voor het laatst gebaggerd. Waarschijnlijk zorgen de grote hoeveelheid bladinval en veenafbraak voor nieuwe baggeraanwas. Karpers woelen de waterbodem om waardoor waterplanten zich niet kunnen vestigen en het water troebel wordt. Bovendien bestaat het vermoeden dat karpers baggeraanwas versnellen omdat oevers makkelijker afkalven door het omwoelen.;"Er zijn naast het reguliere beheer en onderhoud geen aanvullende maatregelen vastgelegd in plannen van de gemeente en het waterschap. Mogelijke aanullende maatregelen om de waterkwaliteit verder te verbeteren zijn:
-	Groot onderhoud waarbij dood hout, bagger en grote karpers uit het water worden verwijderd en overhangend groen (bomen en struiken) langs de oever wordt verwijderd. 
-	Beheer en onderhoudsplan/afspraken waarin gemeente, terreinbeheerder en waterschap zorgen dat de watergangen op een duurzame manier worden onderhouden.
-	Voorkomen dat er hondenpoep/ blad/ brood in het water terecht komt. ";"In dit waterlichaam wordt de vegetatie 1 keer per 3 jaar gemeten. Macrofauna wordt niet gemeten. Fytoplankton wordt niet gemeten, er wordt wel chlorofyl-a gemeten. Vis wordt niet gemeten. Daarnaast worden maandelijks verschillende fysisch chemische parameters gemeten in het waterlichaam en het inlaatwater van het waterlichaam. De huidige water- en stoffenbalans is voor het gehele afvoergebied gemaakt. 

Vragen bij deze systeemanalyse:
- Is er kroos aanwezig in de smallere lijnvormige wateren? Er liggen nu alleen hydrobiologische meetlocaties in de grotere wateren.
- Waar wordt er brood in het water gegeooid, hoe diep zijn watergangen hier?
- Hoe ziet het helofytenfilter eruit: hoe vaak wordt deze gemaaid? Hoe verhoud het fosforgehalte tussen de in- en uitlaat zich?
- Aangezien er nu een sterk vermoeden bestaat dat karpers de waterkwaliteit nadelig beïnvloeden. Zou het zinvol zijn om te kijken of de visrechthebbende (AHV?) inzicht heeft in de karperstand in het flevopark en te peilen hoe zij tegenover het wegvangen van karper staan. 
- Er is ooit een helofytenfilter aangelegd bij de inlaat van het watersysteem. Het is nu onduidelijk of en hoe die wordt beheerd. Veel helofytenfilters blijken in de praktijk juist voedingstoffen te leveren. Zeker als ze niet regelmatig worden uitgekrabd en gemaaid. Ik kan me dus goed voorstellen dat een herinrichting of het aanpassen van het beheer van dit filter kan helpen de waterkwaliteit te verbeteren.";Productiviteit water vormt een probleem. Het chlorofylgehalte is vrij laag, maar vertoont in het voorjaar regelmatig pieken boven 100ug/l. De P-waarden zijn hoog en laten hoge pieken zien in het najaar als watergangen zuurstofloos worden. Het toenemend gemiddelde van ongeveer 0,6 mg/l is ver boven de KRW-norm van 0,22. Er is weinig kroos gemeten in de polder, maar de meetlocaties liggen allemaal in grotere vijvers en watergangen. Mogelijk laten de smallere lijnvormige wateren een ander beeld zien. Deze toestand wijst samen met het chlorofylgehalte op voesdelrijke en ongunstige omstandigheden voor waterplanten. Toch is de externe belasting met fosfor laag (3 mg/m2/dag). De voornaamste bronnen van fosfor zijn dus intern aanwezig in het systeem: waterbodem, bladinval, brood, vogelpoep.;Lichtklimaat vormt een probleem: op drie monsterlocaties (FVP003, 004, 005) is de doorzicht/ diepte verhouding kleiner dan 0.6. Humuszuren (42%) en algen (35%) zijn hier de belangrijkste oorzaak van. Humuszuren zijn afkomstig uit het afbrekend veen. In de watergang rond het zwembad en de vijver naast het proeflokaal (FVP001 en FVP002) wordt wel bodemzicht gemeten. Er zijn waarschijnlijk veel karpers in het gebied aanwezig. Deze woelen de bodem om en zorgen daarmee voor een slecht lichtklimaat voor onderwaterplanten.;Er zijn geen waterbodemgegevens beschikbaar, maar de seizoensdynamiek in fosforconcentraties laat zien dat er in de zomer fosfor uit de waterbodem wordt nageleverd. De waterbodem is waarschijnlijk voedselrijk. ;Habitatgeschiktheid vormt een probleem. Door overhangende bomen kan oevervegetatie zich niet ontwikkelen. Lokaal (in de wesetlijke hoofdwatergang nabij de Joodse begraafplaats) zijn watergangen ondiep. Plaatselijk is harde oeverbeschoeing aanwezig. Deze inrichting vormt mogelijk een belemmering voor de ecologische waterkwaliteit.;Niet bekend.;Niet bekend.;Organische belasting vormt een probleem. Het zuurstofgehalte vertoont jaarlijkse fluctuatie van onder 0,8 mg/l in de zomer tot boven 10 mg/l in de winter. Dit patroon is typerend voor een hoogproductief systeem waar in de zomer veel zuurstof wordt verbruikt en niet een systeem waar zuurstofverbruik voornamelijk wordt veroorzaakt door oganische belasting. Er staan veel bomen langs de oever en er is veel bladinval, waarschijnlijk komt er lokaal ook veel organisch materiaal (brood, poep) in het water terecht. De watergangen zijn regematig zuurstofloos in het najaar. Bij dergelijke waardes (onder 5 mg/l) worden geen zuurstofminnende soorten vis meer verwacht en gaat de bodem fosfor naleveren (ESF1).;Niet bekend.;;Amsterdam;Noord-Holland;;;dataanalyse tbv WSI;;LM_20200914;;WSI
;;Sarphatipark, Sarphatipark;2030;M11;Stedelijk;0;3;0;1;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor kleine ondiepe gebufferde plassen (M11), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 2030-EAG-1: De gemiddelde bedekking met waterplanten is laag (0). De bedekking met kroos (0) is laag. Er is weinig FLAB.;;;;;;;Lichtklimaat vormt een probleem. Het lichtklimaat is slecht op plekken waar de waterdiepte voldoende groot is. De oorzaak is onbekend. ;;;;;;;;Amsterdam;Noord-Holland;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
;;Oosterpark, Oosterpark;2040;M11;Stedelijk;0;0;0;1;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor kleine ondiepe gebufferde plassen (M11), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;De gemiddelde bedekking met waterplanten is laag (0). De bedekking met kroos (0) is laag. Er is weinig FLAB .;;;;;;;;;;;;;;;Amsterdam;Noord-Holland;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
;;Atekpolder, Atekpolder;2050;M10;Stedelijk;0;1;0;1;0;0;0;0;;Het doel voor de ecologische kwaliteit is het realiseren van een goede ecologische toestand voor brede sloten met een veenbodem (M10), met scores voor waterflora in het groen. Het doel in dit overig water is voorlopig gebaseerd op de  locaties waar de afgelopen 15 jaar de beste ecologische kwaliteit is gevonden in het gebied (90 percentiel van de ekr score tussen 2006 en 2019). ;In 2050-EAG-1: De gemiddelde bedekking met waterplanten is laag (0). De bedekking met kroos (0) is laag.;In 2010-EAG-1: De score op de maatlat Waterflora vertoont een negatieve trend (-0.06 ekr per planperiode tussen 2006 en 2019). Deze trend is gebaseerd op twee meetjaren.;;;;;;Lichtklimaat vormt een probleem. Het lichtklimaat is slecht op plekken waar de waterdiepte voldoende groot is. De oorzaak is onbekend. ;;Habitatgeschiktheid vormt geen probleem omdat de waterdiepte niet te gering is. De mediane waterdiepte is groter dan 35 cm (0.4). De mediane dikte van het slib is 0.25. ;;;;;;Amsterdam;Noord-Holland;;;gebiedsbrede dataanalyse;;LM_20201124;;WIP_WSIgebiedsbreed
