O;W;locatie.EAG;jaar;W1;W2;W3;W4;W4a;W4b;W5;W5a;W5b;W5c;W6;W7;W7a;W7b;W7c;W7d;W9;O1;O2;O3;O4;O5;O6;O7;O8;doorz_diep;FLAB;KROOS;SUBMS;woeker;n_soort;n_ovsoort;DRIJF;riet;watertype;StedelijkLandelijk;ESTnaam2;ESTnaam3;estnaam;omschrijving.x;omschrijving.y;estnaamvol
O1;W4;1000-EAG-1;2012;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0.388888889;0;0;0;0;0;0;0;0;M6b;Stedelijk;K;St;W4_O1_K_St;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;1000-EAG-1;2016;0;0;0;7;0;0;0;0;0;0;0;0;3;0;0;0;0;11;0;0;0;0;0;0;0;0.529411765;0;0;1;0;0;0;0;0;M6b;Stedelijk;K;St;W4_O1_K_St;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;1000-EAG-1;2019;0;0;0;14;0;0;0;0;0;0;0;0;1;0;0;0;0;16;0;0;0;0;0;0;0;0.366666667;0;0;0.55;0;0;0;0;0;M6b;Stedelijk;K;St;W4_O1_K_St;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;1000-EAG-2;2016;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0.473684211;0;0.1;1;0;0;0;0;0;M6b;Stedelijk;K;St;W4_O1_K_St;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;1000-EAG-3;2016;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0.461111111;0;0;1;0;0;0;0;0;M6b;Stedelijk;K;St;W4_O1_K_St;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;1000-EAG-4;2012;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.583333333;0;0;0.1;0;0;5;0;1;M6b;Stedelijk;K;St;W4_O1_K_St;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;1000-EAG-4;2016;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0.666666667;0;0;25;0;0;2;0;1.5;M6b;Stedelijk;K;St;W4_O1_K_St;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;1000-EAG-4;2019;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0.401098901;12;0;3;0;0;3;0;2.5;M6b;Stedelijk;K;St;W4_O1_K_St;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;2000-EAG-1;2012;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0.5;0;0;1;1;0.5;2.5;0.05;0;M6b;Landelijk;K;L;W4_O1_K_L;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_L_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;2000-EAG-2;2012;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0;0.477272727;0;0;4.5;13.5;1;4.5;4;0.55;M6b;Landelijk;K;L;W4_O1_K_L;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_L_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;2000-EAG-2;2016;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;3;0;0;0;0;0;1;0;0.533333333;0;0;3.5;2.55;1;5.5;2.55;0.55;M6b;Landelijk;K;L;W4_O1_K_L;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_L_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;2000-EAG-3;2012;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0.1125;0;0;0.1;0.1;1;0.5;0.1;0;M6b;Landelijk;K;L;W4_O1_K_L;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_L_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;2000-EAG-6;2012;0;0;0;14;2;0;0;0;0;0;1;0;1;0;0;0;0;12;0;0;0;2;1;2;1;0.337662338;0;0;0.1;0.1;1;6.5;0.05;0.1;M6b;Landelijk;K;L;W4_O1_K_L;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_K_L_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;2110-EAG-1;2012;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0.225;0;0.1;0.1;0.1;2;4;0;0.05;M10;Landelijk;Sl;L;W4_O1_Sl_L;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_Sl_L_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;2110-EAG-2;2014;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1;0;0;0.541666667;0;0.1;0;0;0;11;0;0;M10;Landelijk;Sl;L;W4_O1_Sl_L;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_Sl_L_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
O1;W4;2130-EAG-2;2014;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;2;0;0.5;0;0;0;0;0;7;0;10;M1a;Stedelijk;Sl;St;W4_O1_Sl_St;Het water is troebel met weinig waterplanten;De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm;W4_O1_Sl_St_Het water is troebel met weinig waterplanten_De oever is beschoeid, er staat weinig riet en de oevervegetatie is soortenarm
