ident;DBID;Namespace;LokaalID;Naam;Vertaling naar doelen-model;SGBPPeriode.omschrijving;UitvoeringIn;KRWMaatregel.code;Toelichting;KRWMaatregelNiveau.code;HoortbijKRWWaterlichaam;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.naam;Kosten;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;esf;afweging;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);kosten;totale belasting;totale oeverlengte;belastingreductie opmerking;omvang tov balansen 2018, ecologische toestand t/m 2017;eenheid;EKR;litteratuurverwijzing;wkp;WL_naam;Effect verwacht vanaf;aangepast;gebiedsteam;;;
1;;;;Aanleg NVO`s door te zoneren en afkalving door karpers te voorkomen.;;WIP 2019;;;;;2140-EAG-1;;;;;;1;0;0;0;0;0;ESF4, ;;;;;;;;;;;;Uithoornse polder;1;;Amstel;;;
2;;;;Verplaatsen inlaat van Bilderdam naar een Noordelijkere locatie in 2140-EAG-1 (Jan Ploegensluis).;;WIP 2019;;;Het inlaatwater legt nu een lange weg af door 2140-EAG-2 (en een deel van 2140-EAG-1) voordat het bij het opvoergemaal Kalslagerpolder komt (die water opvoert van 2140-EAG-1 naar EAG 6 en het Zijdelmeer). Een nieuwe inlaat belast het landbouwgebied minder.;;2140-EAG-2;;;;;;0;1;0;0;0;0;ESF1;;;;;;;;;;;;Westveense polder;2027;;Amstel;;;
3;;;;Verplaatsen inlaat naar het Noorden nabij de aflaatstuw (Varkenskade).;;WIP 2019;;;De inlaat ligt nu dichter bij de aflaat van dit EAG/ peilvak, zodat het inlaatwater minder door het gehele gebied heen trekt.;;2630-EAG-3;;;;;;0;0;1;0;0;0;ESF1, ESF4;;;;;;;;;;;;Sloterplas;2027;;Amsterdam;;;
4;;;;Verbreden en verdiepen watergangen?;;WIP 2019;;;Doel is berging en afvoer, maar ecologie proviteert mogelijk.;;6540-EAG-2;;;;;;0;0;0;0;0;0;ESF4;;;;;;;;;;;;;0;;#N/B;;;
5;71378;NL11;NL11_0142;Onderzoeken gebiedsbrede maatregelen - fase 1;;SGBP1 2009-2015;2009-2015;S01;"Het gaat om het uitvoeren van de volgende deelonderzoeken: Onderzoeken methode exotenbestrijding i.s.m. andere waterbeheerders, Onderzoeken stikstofbelasting AGV op boezem rijkswateren afwenteling, Onderzoeken ""Boeren als waterbeheerders"", Onderzoeken invloed inlaat IJmeerwater.";MA;MA;4;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=1535000.00;0;0;4;0;0;0;NVT;realistisch;;;;;;;;;;1;;2016;LM_20190916;;;;
6;71382;NL11;NL11_0147;Ontwikkelen Volg- en StuurSysteem;;SGBP1 2009-2015;2009-2015;S06;Een gebiedsbreed project voor alle waterlichamen.;MA;MA;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=500000.00|Investering per planperiode=600000.00;0;0;1;0;0;0;NVT;;;;;;;;;;;1;;2016;LM_20190916;;;;
7;71384;NL11;NL11_0155;Onderzoeken gebiedsbrede maatregelen - fase 2;;SGBP1 2009-2015;2009-2015;S01;"Het gaat om het uitvoeren van de volgende deelonderzoeken: Onderzoeken mogelijkheden flexibel peilbeheer in veenweidegebied (""waarheen met het veen?""), Onderzoeken toestand (veen)bodem o.a. onder invloed van nitraatbelasting.";MA;MA;2;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=150000.00|Beheer en Onderhoud per planperiode=0.00;0;0;2;0;0;0;NVT;buitenproportionele kosten;;;;;;;;;;1;;2016;LM_20190916;;;;
8;71385;NL11;NL11_0156;"Onderzoeken financiële haalbaarheid ""voorwaardelijk getemporiseerde maatregelen""";;SGBP1 2009-2015;2009-2015;S01;Een gebiedsbreed onderzoek voor alle waterlichamen.;MA;MA;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=25000.00;0;0;1;0;0;0;NVT;;;;;;;;;;;1;;2016;LM_20190916;;;;
9;76538;NL11;GEB-xx;Onderzoek achterblijvende soortendiversiteit waterflora (planten);;SGBP2 2015-2021;2015-2021;S01;;MA;MA;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;NVT;;;;;;;;;;;1;#N/B;2021;LM_20190916;#N/B;;;
10;76539;NL11;GEB-xxx;Onderzoek achterblijven herstel vispopulaties;;SGBP2 2015-2021;2015-2021;S01;;MA;MA;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;NVT;;;;;;;;;;;1;#N/B;2021;LM_20190916;#N/B;;;
11;76537;NL11;GEB-x;Volgen en sturen;;SGBP2 2015-2021;2015-2021;BE08;;MA;MA;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;NVT;;;;;;;;;;;1;#N/B;2021;LM_20190916;#N/B;;;
12;76540;NL11;GEB-xxxx;Onderzoek woekeren waterplanten in vaarten en sloten;;SGBP2 2015-2021;2015-2021;S01;;MA;MA;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;NVT;;;;;;;;;;;1;#N/B;2021;LM_20190916;#N/B;;;
