ident;DBID;Namespace;LokaalID;Naam;Type maatregel voor doelen-model;Opmerkingen GtH;SGBPPeriode.omschrijving;UitvoeringIn;KRWMaatregel.code;Toelichting;KRWMaatregelNiveau.code;HoortbijKRWWaterlichaam2021;HoortbijKRWWaterlichaam;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.naam;Kosten;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;esf;afweging;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);Bestuur AGV;Bestuur andere overheid;kosten;totale belasting;oeverlengte;% beschoeid;% bebost;% overig ongeschikt;Ganzen beheren;Natuurvriendelijk onderhouden;belastingreductie opmerking;hulpkolom (km);hulpkolom;omvang tov balansen 2018, ecologische toestand t/m 2017;eenheid;EKR;litteratuurverwijzing;wkp;WL_naam;Effect verwacht vanaf;aangepast;gebiedsteam;;;
1;;;;Aanleg NVO`s door te zoneren en afkalving door karpers te voorkomen.;Oeverstructuur verbeteren;;WIP 2019;;;;;2140-EAG-1;2140-EAG-1;;;;;;1;0;0;0;0;0;ESF4, ;;;;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;;% van overig ongeschikt;;;0;Uithoornse polder;1;;Amstel;;;
2;;;;Verplaatsen inlaat van Bilderdam naar een Noordelijkere locatie in 2140-EAG-1 (Jan Ploegensluis).;P-belasting verlagen;;WIP 2019;;;Het inlaatwater legt nu een lange weg af door 2140-EAG-2 (en een deel van 2140-EAG-1) voordat het bij het opvoergemaal Kalslagerpolder komt (die water opvoert van 2140-EAG-1 naar EAG 6 en het Zijdelmeer). Een nieuwe inlaat belast het landbouwgebied minder.;;2140-EAG-2;2140-EAG-2;;;;;;0;1;0;0;0;0;ESF1;;;;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;;mg/m2/dag;;;0;Westveense polder;2027;;Amstel;;;
3;;;;Verplaatsen inlaat naar het Noorden nabij de aflaatstuw (Varkenskade).;P-belasting verlagen;;WIP 2019;;;De inlaat ligt nu dichter bij de aflaat van dit EAG/ peilvak, zodat het inlaatwater minder door het gehele gebied heen trekt.;;2630-EAG-3;2630-EAG-3;;;;;;0;0;1;0;0;0;ESF1, ESF4;;;;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;;mg/m2/dag;;;0;Sloterplas;2027;;Amsterdam;;;
4;;;;Verbreden en verdiepen watergangen;?;;WIP 2019;;;Doel is berging en afvoer, maar ecologie proviteert mogelijk.;;6540-EAG-2;6540-EAG-2;;;;;;0;0;0;0;0;0;ESF4;;;;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;;#N/B;;;0;;0;;#N/B;;;
5;71378;NL11;NL11_0142;Onderzoeken gebiedsbrede maatregelen - fase 1;Onderzoek;;SGBP1 2009-2015;2009-2015;S01;"Het gaat om het uitvoeren van de volgende deelonderzoeken: Onderzoeken methode exotenbestrijding i.s.m. andere waterbeheerders, Onderzoeken stikstofbelasting AGV op boezem rijkswateren afwenteling, Onderzoeken ""Boeren als waterbeheerders"", Onderzoeken invloed inlaat IJmeerwater.";MA;MA;MA;4;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=1535000.00;0;0;4;0;0;0;NVT;realistisch;geen;;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;0;nvt;;;1;;2016;LM_20190916;;;;
6;71382;NL11;NL11_0147;Ontwikkelen Volg- en StuurSysteem;Onderzoek;;SGBP1 2009-2015;2009-2015;S06;Een gebiedsbreed project voor alle waterlichamen.;MA;MA;MA;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=500000.00|Investering per planperiode=600000.00;0;0;1;0;0;0;NVT;;geen;;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;0;nvt;;;1;;2016;LM_20190916;;;;
7;71384;NL11;NL11_0155;Onderzoeken gebiedsbrede maatregelen - fase 2;Onderzoek;;SGBP1 2009-2015;2009-2015;S01;"Het gaat om het uitvoeren van de volgende deelonderzoeken: Onderzoeken mogelijkheden flexibel peilbeheer in veenweidegebied (""waarheen met het veen?""), Onderzoeken toestand (veen)bodem o.a. onder invloed van nitraatbelasting.";MA;MA;MA;2;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=150000.00|Beheer en Onderhoud per planperiode=0.00;0;0;2;0;0;0;NVT;buitenproportionele kosten;geen;;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;0;nvt;;;1;;2016;LM_20190916;;;;
8;71385;NL11;NL11_0156;"Onderzoeken financiële haalbaarheid ""voorwaardelijk getemporiseerde maatregelen""";Onderzoek;;SGBP1 2009-2015;2009-2015;S01;Een gebiedsbreed onderzoek voor alle waterlichamen.;MA;MA;MA;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=25000.00;0;0;1;0;0;0;NVT;;geen;;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;0;nvt;;;1;;2016;LM_20190916;;;;
9;76538;NL11;GEB-xx;Onderzoek achterblijvende soortendiversiteit waterflora (planten);Onderzoek;;SGBP2 2015-2021;2015-2021;S01;;MA;MA;MA;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;NVT;;geen;;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;0;nvt;;;1;#N/B;2021;LM_20190916;#N/B;;;
10;76539;NL11;GEB-xxx;Onderzoek achterblijven herstel vispopulaties;Onderzoek;;SGBP2 2015-2021;2015-2021;S01;;MA;MA;MA;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;NVT;;geen;;;;;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;;;;0;nvt;;;1;#N/B;2021;LM_20190916;#N/B;;;
