DBID;Namespace;LokaalID;Naam;Type maatregel voor doelen-model;Opmerkingen GtH;SGBPPeriode.omschrijving;UitvoeringIn;afweging;KRWMaatregel.code;Toelichting;KRWMaatregelNiveau.code;HoortbijKRWWaterlichaam2021;HoortbijKRWWaterlichaamNaam2021;HoortbijKRWWaterlichaam;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.naam;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);Bestuur AGV;Bestuur andere overheid;Kosten;interneKosten;beheerEnOnderhoudsKosten;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;esf;omvang tov balansen 2018, ecologische toestand t/m 2017;eenheid;EKR;litteratuurverwijzing;wkp;Effect verwacht vanaf;aangepast;gebiedsteam;Kwaliteitselementen;
;;;Aanleg NVO`s door te zoneren en afkalving door karpers te voorkomen.;Oeverstructuur verbeteren;;WIP 2019;;;;;WB;2140-EAG-1;;2140-EAG-1;;;;;;;;;;;1;0;0;0;0;0;ESF4, ;;% van overig ongeschikt;;;0;2027;;Amstel;Macrofauna_Overige Waterflora_Vis;WIP 2019Aanleg NVO`s door te zoneren en afkalving door karpers te voorkomen.2140-EAG-1
;;;Verplaatsen inlaat van Bilderdam naar een Noordelijkere locatie in 2140-EAG-1 (Jan Ploegensluis).;P-belasting verlagen;;WIP 2019;;;;Het inlaatwater legt nu een lange weg af door 2140-EAG-2 (en een deel van 2140-EAG-1) voordat het bij het opvoergemaal Kalslagerpolder komt (die water opvoert van 2140-EAG-1 naar EAG 6 en het Zijdelmeer). Een nieuwe inlaat belast het landbouwgebied minder.;WB;2140-EAG-2;;2140-EAG-2;;;;;;;;;;;0;1;0;0;0;0;ESF1;;mg/m2/dag;;;0;2027;;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;WIP 2019Verplaatsen inlaat van Bilderdam naar een Noordelijkere locatie in 2140-EAG-1 (Jan Ploegensluis).2140-EAG-2
;;;Verplaatsen inlaat naar het Noorden nabij de aflaatstuw (Varkenskade).;P-belasting verlagen;;WIP 2019;;;;De inlaat ligt nu dichter bij de aflaat van dit EAG/ peilvak, zodat het inlaatwater minder door het gehele gebied heen trekt.;WB;2630-EAG-3;;2630-EAG-3;;;;;;;;;;;0;0;1;0;0;0;ESF1, ESF4;;mg/m2/dag;;;0;2027;;Amsterdam;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;WIP 2019Verplaatsen inlaat naar het Noorden nabij de aflaatstuw (Varkenskade).2630-EAG-3
;;;Verbreden en verdiepen watergangen;?;;WIP 2019;;;;Doel is berging en afvoer, maar ecologie proviteert mogelijk.;WB;6540-EAG-2;;6540-EAG-2;;;;;;;;;;;1;0;0;0;0;0;ESF4;;#N/B;;;0;2027;;#N/B;#N/B;WIP 2019Verbreden en verdiepen watergangen6540-EAG-2
71385;NL11;NL11_0156;"Onderzoeken financiële haalbaarheid ""voorwaardelijk getemporiseerde maatregelen""";Onderzoek;;SGBP1 2009-2015;2009-2015;uitgevoerd;S01;Een gebiedsbreed onderzoek voor alle waterlichamen.;MA;MA;;MA;1;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=25000.00;;;0;0;1;0;0;0;NVT;0;nvt;;;1;2016;LM_20190916;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;"SGBP1 2009-2015Onderzoeken financiële haalbaarheid ""voorwaardelijk getemporiseerde maatregelen""MA"
71378;NL11;NL11_0142;Onderzoeken gebiedsbrede maatregelen - fase 1;Onderzoek;;SGBP1 2009-2015;2009-2015;uitgevoerd;S01;"Het gaat om het uitvoeren van de volgende deelonderzoeken: Onderzoeken methode exotenbestrijding i.s.m. andere waterbeheerders, Onderzoeken stikstofbelasting AGV op boezem rijkswateren afwenteling, Onderzoeken ""Boeren als waterbeheerders"", Onderzoeken invloed inlaat IJmeerwater.";MA;MA;;MA;4;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=1535000.00;;;0;0;4;0;0;0;NVT;0;nvt;;;1;2016;LM_20190916;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP1 2009-2015Onderzoeken gebiedsbrede maatregelen - fase 1MA
71384;NL11;NL11_0155;Onderzoeken gebiedsbrede maatregelen - fase 2;Onderzoek;;SGBP1 2009-2015;2009-2015;uitgevoerd;S01;"Het gaat om het uitvoeren van de volgende deelonderzoeken: Onderzoeken mogelijkheden flexibel peilbeheer in veenweidegebied (""waarheen met het veen?""), Onderzoeken toestand (veen)bodem o.a. onder invloed van nitraatbelasting.";MA;MA;;MA;2;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=150000.00|Beheer en Onderhoud per planperiode=0.00;;;0;0;2;0;0;0;NVT;0;nvt;;;1;2016;LM_20190916;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP1 2009-2015Onderzoeken gebiedsbrede maatregelen - fase 2MA
71382;NL11;NL11_0147;Ontwikkelen Volg- en StuurSysteem;Onderzoek;;SGBP1 2009-2015;2009-2015;uitgevoerd;S06;Een gebiedsbreed project voor alle waterlichamen.;MA;MA;;MA;1;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Beheer en Onderhoud per planperiode=500000.00|Investering per planperiode=600000.00;;;0;0;1;0;0;0;NVT;0;nvt;;;1;2016;LM_20190916;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP1 2009-2015Ontwikkelen Volg- en StuurSysteemMA
76563;NL11;NL11_0150;Ecologische onderhoud oevers hoofdwateren - fase 2;Natuurvriendelijk onderhouden AGV;;SGBP2 2015-2021;2015-2021;in uitvoering;BE03;Deze maatregel heeft ook invloed op ESF 6 verwijdering.;MA;MA;;MA;325;km;j;Waterschap Amstel Gooi en Vecht;;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;0;325;0;0;0;0;ESF4, ESF6;#N/B;#N/B;;;1;2021;LM_20190916;#N/B;Macrofauna_Overige Waterflora_Vis;SGBP2 2015-2021Ecologische onderhoud oevers hoofdwateren - fase 2MA
76539;NL11;GEB-xxx;Onderzoek achterblijven herstel vispopulaties;Onderzoek;;SGBP2 2015-2021;2015-2021;ingetrokken;S01;;MA;MA;;MA;1;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;1;0;0;0;0;0;NVT;0;nvt;;;1;nvt;LM_20190916;#N/B;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP2 2015-2021Onderzoek achterblijven herstel vispopulatiesMA
