koppelnummer;DBID;Namespace;HoortbijKRWWaterlichaam2021;HoortbijKRWWaterlichaamNaam2021;LokaalID;Naam;SGBPPeriode.omschrijving;UitvoeringIn;Toelichting;KRWMaatregel.code;KRWMaatregelNiveau.code;KRWStroomgebiedDistrict.code;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.code;Initiatiefnemer.naam;Initiatiefnemer.waternet;EUFonds.code;Kosten;RelatieMetNatura2000Gebied;RelatieMetWaterwinning;KTM.Code;KTM.omschrijving;Kwaliteitselementen;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;Investeringskosten;beheerEnOnderhoudsKosten;interneKosten;Type maatregel voor doelen-model;Opmerkingen GtH;afweging;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);Bestuur AGV;Bestuur andere overheid;Contactpersonen;esf;OmvangWaternet;eenheid;litteratuurverwijzing;wkp;Effect verwacht vanaf;HoortbijKRWWaterlichaam_oud;aangepast
18;71395;NL11;NL11_1_1;Amstellandboezem;NL11_0222;Vispasseerbaar maken sluizen, gemalen en stuwen - fase 1;SGBP1 2009-2015;2009-2015;Bij de Ipenslotersluis en Diemerdammersluis wordt een vissluis aangelegd.;IN15;MW;;7;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=1324000.00|Beheer en Onderhoud per planperiode=0.00;;;KTM5;;Vis;0;0;0;1;0;0;;;;Vis;;gefaseerd;geen;;;;ESF5;0;nvt;;1;nvt;NL11_1_1;LM_20190916
19;71310;NL11;NL11_1_1;Amstellandboezem;90994;Onderzoeken toepassen andere oeverbeschoeiing;SGBP1 2009-2015;2009-2015;Het uitvoeren van een onderzoek naar de mogelijkheden om die delen van de boezem, waar geen ruimte in het profiel is voor de aanleg van natuurvriendelijke oevers, toch natuurvriendelijk in te richten.;S01;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=30000.00;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;Onderzoek;;uitgevoerd;geen;;;;ESF4;0;nvt;;1;2016;NL11_1_1;LM_20190916
20;71380;NL11;NL11_1_1;Amstellandboezem;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;SGBP1 2009-2015;2009-2015;Een gebiedsbrede maatregel in alle waterlichamen;BE03;MW;;30;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;;;;;Macrofauna_Overige Waterflora_Vis;0;0;325;0;0;0;;;;Natuurvriendelijk onderhouden EMERS;;uitgevoerd;geen;;;;ESF4;0;1/0;;1;2016;NL11_1_1;LM_20190916
21;76542;NL11;NL11_1_1;Amstellandboezem;GEB-yy;Beperken belasting glastuinbouw;SGBP2 2015-2021;2015-2021;Deze maatregel wordt genomen in waterlichaam Vaarten Westeramstel, maar heeft ook positief effect voor de Amstellandboezem. ;S05;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;KTM2;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;1;0;0;0;0;;;;P-belasting verlagen;;in uitvoering;DAW, Sector glastuinbouw;;;;ESF1;3.86;mg/m2/dag;;1;2021;NL11_1_1;LM_20190916
22;76541;NL11;NL11_1_1;Amstellandboezem;GEB-y;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1;SGBP2 2015-2021;2015-2021;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts Ankeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven.;BR01;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_95|NL_VOG_95|NL_HAB_83;;KTM2;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;1;0;0;0;0;;;;P-belasting verlagen;;in uitvoering;DAW, agrarische collectieven, studieclubs, bedrijven;;;;ESF1;0;mg/m2/dag;;1;2021;NL11_1_1;LM_20190916
23;76529;NL11;NL11_1_1;Amstellandboezem;91103;Omleiden / scheiden waterstromen Amstellandboezem;SGBP2 2015-2021;2020;Voorheen: Aanleggen schoonwaterkering Kromme Mijdrecht. Deze maatregel wordt genomen in de Amstellandboezem, maar heeft ook positief effect voor Vaarten Zevenhoven en Tussenboezem Vinkeveen a en b. ;IN02;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;KTM7;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;1;0;0;0;0;0;;;;P-belasting verlagen;uitvoering in 2020 vanwege subsidie;in uitvoering;geen;;;;ESF1;0;mg/m2/dag;;1;2021;NL11_1_1;LM_20190916
24;76567;NL11;NL11_1_1;Amstellandboezem;NL11_0222;Vispasseerbaar maken sluizen, gemalen en stuwen - fase 1;SGBP2 2015-2021;2015-2021;Bij de Ipenslotersluis en Diemerdammersluis wordt een vissluis aangelegd. De Ipensloter en Diemerdammer zijn beiden 2-zijdig passeerbaar en er is een voorlopig vis-programma ingesteld. Zowel monitoring als finetunen van de instelling moeten nog plaats vinden. Huidige instelling vismigratrie programma bij mij niet bekend.;IN15;MW;;2;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;KTM5;;Vis;0;0;0;0;0;0;;;;Vis;;uitgevoerd;geen;;;;ESF5;0;nvt;;1;2021;NL11_1_1;LM_20190916
25;;NL11;NL11_1_1;Amstellandboezem;;Flexibel peilbeheer in boezemwateren;SGBP2 2015-2021;niet;;IM12;MW;;;;n;;Waterschap;Waterschap Amstel Gooi en Vecht;;;#N/B;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;1;;;;Areaal nieuw;;niet uitvoeren: verlies functie;NVT;;;;ESF4;0;km;;1;nvt;NL11_1_1;LM_20190916
26;76536;NL11;NL11_1_1;Amstellandboezem;AMS-y;Meeliften om luwe zones te creëren tbv vegetatie ontwikkeling;SGBP2 2015-2021;2015-2021;Ombekend van omvang. Schatting enkele km hooguit. Gokje: 3 km;IN20;WB;;1;n;j;;Provincie;Provincie Noord-Holland;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;KTM6;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - overig;0;0;1;0;0;0;;;;Luwtezone aanleggen;;uitgevoerd;Waterschap Amstel Gooi en Vecht;;;;ESF4;121.703.854;% van beschoeid;;1;2021;NL11_1_1;LM_20190916
28;76564;NL11;NL11_1_1;Amstellandboezem;NL11_0157;Vispasseerbaar maken van sluizen, gemalen en stuwen - fase 2;SGBP2 2015-2021;2015-2021;Gemaal de Ruiter is niet passseerbaar en niet veilig voor vis. Passage wordt meegenomen bij de renoatie van het gemaal. Er komt geen 2-zijdige vispassage in één kunstwerk. De pomp wordt visveilig, passage richting de plassen wordt mogelijk gemaakt door een ecoschutprogramma op de sluis te zetten. Glasaal, en ook andere vissoorten kunnen dan via de sluis intrekken. Er moet hierbij wel opgelet worden dat het ecoschutprogramma niet tot een grotere hoeveelheid inlaatwater richting de plassen leidt. De optie viswering, oude pompen handhaven en migratie beide kanten op via de sluis, is afgevallen. Dit omdat een viswering die tevens zelfreinigend is, erg duur is en we er geen ervaring mee hebben. Dit is een complexe maatregel, want de oude pompen en gemaal De Ruiter zijn een monument. De oplossingsrichting is compacte nieuw veilige pompen onder maaiveld en leidingen om het gemaal heen door de grond.;IN15;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;KTM5;;Vis;0;0;1;0;0;0;;;;Vis;;uitgevoerd;geen;;;;ESF5;0;nvt;;1;2021;NL11_1_1;LM_20190916
