koppelnummer;DBID;Namespace;HoortbijKRWWaterlichaam2021;HoortbijKRWWaterlichaamNaam2021;LokaalID;Naam;type;Type 2;SGBPPeriode.omschrijving;UitvoeringIn;Toelichting;ToelichtingUitgebreid;KRWMaatregel.code;KRWMaatregelNiveau.code;KRWStroomgebiedDistrict.code;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.code;Initiatiefnemer.naam;Partij;Initiatiefnemer.waternet;EUFonds.code;Kosten;financieringsbron;RelatieMetNatura2000Gebied;RelatieMetWaterwinning;KTM.Code;KTM.omschrijving;Kwaliteitselementen;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;Investeringskosten;beheerEnOnderhoudsKosten;interneKosten;Type maatregel voor doelen-model;Opmerkingen (deels GtH);gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);kostencategorie;afweging;Bestuur AGV;Bestuur andere overheid;Contactpersonen;esf;Totale belasting P;betreffend areaal (km of ha);OmvangWaternet;eenheid;litteratuurverwijzing;wkp;Effect verwacht vanaf;HoortbijKRWWaterlichaam_oud;aangepast;xxxxx;punten bij invoeren Wkp;oplossing
620;;NL11;MA;Alle waterlichamen;;Aanwezige natuurwaarden van oevers toetsen bij alle werken die door dijkverbetering worden uitgevoerd;Oever aanpassen;;Niet opnemen in SGBP3;2021-2027;Nog steeds komt het voor dat oevers met natuurwaarde niet als zodanig worden herkend en bij een renovatie beschadigd of vernietigd.;Nog steeds komt het voor dat oevers met natuurwaarde niet als zodanig worden herkend en bij een renovatie beschadigd of vernietigd.;S06;MA;;;n;;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;0;;;KTM6;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Instrumentele maatregel;;geen;;bestuurlijk vastgesteld;Bestuursakkoord 2020;;;ESF4;;;1;n;;0;2027;MA;;;;
31;;NL11;NL11_7_1;Botshol;31;(Tijdelijk) afkoppelen of omleiden van waterstromen van Zwanengatgebied naar de plassen ;Waterstromen aanpassen;Waterstromen aanpassen;SGBP3 2021-2027;2021-2027;In en ná neerslagrijke perioden lijken de rietlanden en (deels verjongde) petgaten van het Zwanengat-gebied slib en nutriënten af te geven aan de waterkolom, die vervolgens naar de plassen worden afgevoerd. Een alternatieve afvoerroute kan worden gerealiseerd door het dichtzetten van een 'kwaliteitsstuw'. Deze kan worden ingezet in perioden met een sterke uitspoeling en de daaropvolgende zomers waarin het particulair fosfor 'vrijkomt' uit de waterbodem. Met monitoring willen we de P-flux beter inzichtelijk maken.;In en ná neerslagrijke perioden lijken de rietlanden en (deels verjongde) petgaten van het Zwanengat-gebied slib en nutriënten af te geven aan de waterkolom. Deze worden vervolgens deels naar de plassen gevoerd. Om deze belasting weg te nemen kan het Zwanengat-gebied en het “Dwarse” van een alternatieve afvoerroute worden voorzien. Deze kan worden ingezet in perioden met een sterke uitspoeling en de daaropvolgende zomers waarin het particulair fosfor 'vrijkomt' uit de waterbodem. De afstroomrichting naar de plassen kan in die periode worden dichtgezet met een 'kwaliteitsstuw’.  Dit is een ingrijpende maatregel die we graag willen volgen met monitoring: we willen de P-flux beter inzichtelijk maken.;IM12;WB;;1;n;j;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;355,937;SGBP-3;NL_HAB_83;;KTMNL01;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;Natuurmonumenten;type 1;afweging kosten: bestuurlijke keuze;SGBP3;;;ESF1;1.426352248;;0.32;mg/m2/dag;;1;2027;NL11_7_1;LM_20190916;;;
48;;NL11;NL11_7_1;Botshol;48;Hydrologische isolatie tussen nieuwe natuurgebieden in polder Botshol en Nellestein controleren;Waterstromen aanpassen;Waterstromen aanpassen;SGBP3 2021-2027;2021-2027;Het is bovendien van belang dat het peil wordt geregisteerd in Nellestein.;Het is van belang dat het peil wordt geregisteerd in Nellestein.;BE08;WB;;1;n;j;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;exploitatie WSB;NL_HAB_83;;KTMNL02;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;Achteruitgang vermijden;dit is meer beheer en onderhoud dan KRW maatregel;Natuurmonumenten;geen;operationeel beheer;SGBP3;;;ESF1;;;1;n;;1;2027;NL11_7_1;LM_20190916;;"ktm-code bestaat niet in WKP; nu KTM6 ingevuld";KTMNL02 (was NL_KTM6A)
623;;NL11;MA;Alle waterlichamen;;Goede waterbeheerpraktijk;opsplitsen;;Niet opnemen in SGBP3;2021-2027;Het waterschap gaat bij alle werkzaamheden en plannen nog meer rekening houden met de effecten daarvan op natuur en milieu. Dat vergt een bredere blik dan tot nu toe gebruikelijk. ;Het waterschap gaat bij alle werkzaamheden en plannen nog meer rekening houden met de effecten daarvan op natuur en milieu. Dat vergt een bredere blik dan tot nu toe gebruikelijk. ;G04;MA;;1;-;;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;0;;;nvt;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;Instrumentele maatregel;;geen;;bestuurlijk vastgesteld;SGBP3;;;ESF1;;;1;n;;0;2027;MA;LM_20190916;;;
15;;NL11;MA;Alle waterlichamen;;Leidende principes vastleggen in beleid van het waterschap (KEUR) om natuurwaarden te behouden bij onderhoud van watergangen en werkzaamheden in het water;Regelgeving en handhaving;;Niet opnemen in SGBP3;2021-2027;Deze is al als gebiedspecifieke maatregel opgenomen waar relevant. De KEUR zou gebiedsspecifiek moeten toelaten dat watergangen minder frequent of niet worden geschoond, om flora en fauna te sparen. Bijvoorbeeld in poldersloten of om verlanding toe te laten in natuurgebieden. De invulling hiervan wordt uitgewerkt in het beheer en onderhoudsprogramma van AGV. Ook bij vervangen van beschoeiing moet vegetatie zoveel mogelijk worden gespaard.;Deze is al als gebiedspecifieke maatregel opgenomen waar relevant. De KEUR zou gebiedsspecifiek moeten toelaten dat watergangen minder frequent of niet worden geschoond, om flora en fauna te sparen. Bijvoorbeeld in poldersloten of om verlanding toe te laten in natuurgebieden. De invulling hiervan wordt uitgewerkt in het beheer en onderhoudsprogramma van AGV. Ook bij vervangen van beschoeiing moet vegetatie zoveel mogelijk worden gespaard.;S06;MA;;;n;;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;0;;;KTMNL02 (was NL_KTM6A);;Macrofauna_Overige Waterflora_Vis;0;1;0;0;0;0;;;voor planadvies, jurist, verwerken KEUR;Instrumentele maatregel;;;;bestuurlijk vastgesteld;Beheer en onderhoudsprogramma;;;ESF4;;;1;n;;0;2027;NL11_1_1;LM_20190916;;;
16;;NL11;MA;Alle waterlichamen;;Stimuleren goede landbouwpraktijk;Nutriëntenbelasting uit de landbouw beperken;;Niet opnemen in SGBP3;2021-2027;"Deze maatregel is niet voor alle waterlichamen relevant en al in gebiedsspecifieke maatregelen (reduceren P-belasting en natuurvriendelijk onderhouden) opgenomen. De typen maatregelen zijn precisiebemesting, bodemverbetering en routemaatregelen (bufferzone). Hier vallen maatregelen onder die opgenomen zijn in agrarische beheerpakketten, investeringssubsidies maar ook vrijwillige maatregelen. We gaan samen met de landbouw een nieuwe stimuleringsregeling voor bovenwettelijke maatregelen nutriënten faciliteren. Vrijwillige maatregelen worden geagendeerd door een watermakelaar en gepresenteerd in studieclubs. Op https://maatregelen-op-de-kaart.nmi-agro.nl/ kan per perceel worden opgezocht welke maatregelen het meest uitvoerbaar en nuttig zijn. Er wordt daarbij onderscheid gemaakt in maatregelen voor een goede bodem, een duurzame bemesting (precisielandbouw), waterbeheer en end-of-pipe maatregelen.
Deze maatregel leidt tot 10% reductie van fosforbelasting uit polderwater en 4% reductie van de belasting uit percelen. Wij zijn regionaal uitgegaan van de goede landbouwpraktijk (GLP) in 2027. Belangrijk is verder dat we als gevolg van de GLP uitgaan van een grotere diepte van sloten (toename van ca 25 cm naar 40 cm). De uitworp uit een landbouwpolder neemt daardoor 10% af, voor een belangrijk deel als gevolg van een grotere retentie door een grotere waterdiepte (meer slootonderhoud) en een afname van meststofverliezen. ";"Deze maatregel is niet voor alle waterlichamen relevant en al in gebiedsspecifieke maatregelen (reduceren P-belasting en natuurvriendelijk onderhouden) opgenomen. De typen maatregelen zijn precisiebemesting, bodemverbetering en routemaatregelen (bufferzone). Hier vallen maatregelen onder die opgenomen zijn in agrarische beheerpakketten, investeringssubsidies maar ook vrijwillige maatregelen. We gaan samen met de landbouw een nieuwe stimuleringsregeling voor bovenwettelijke maatregelen nutriënten faciliteren. Vrijwillige maatregelen worden geagendeerd door een watermakelaar en gepresenteerd in studieclubs. Op https://maatregelen-op-de-kaart.nmi-agro.nl/ kan per perceel worden opgezocht welke maatregelen het meest uitvoerbaar en nuttig zijn. Er wordt daarbij onderscheid gemaakt in maatregelen voor een goede bodem, een duurzame bemesting (precisielandbouw), waterbeheer en end-of-pipe maatregelen.
Deze maatregel leidt tot 10% reductie van fosforbelasting uit polderwater en 4% reductie van de belasting uit percelen. Wij zijn regionaal uitgegaan van de goede landbouwpraktijk (GLP) in 2027. Belangrijk is verder dat we als gevolg van de GLP uitgaan van een grotere diepte van sloten (toename van ca 25 cm naar 40 cm). De uitworp uit een landbouwpolder neemt daardoor 10% af, voor een belangrijk deel als gevolg van een grotere retentie door een grotere waterdiepte (meer slootonderhoud) en een afname van meststofverliezen. ";G01;MA;;;-;;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;0;;;KTM2 ;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig_Specifieke verontreinigende stoffen_Niet-ubiquitaire prioritaire stoffen;0;0;0;0;0;0;;;;Instrumentele maatregel;;Waterschap Amstel Gooi en Vecht;;bestuurlijk vastgesteld tot 2023;Programma agrarisch waterbeheer, waterdiepte op maat;;;ESF1;;;1;n;;0;2027;MA;LM_20190916;;;
58;;NL11;NL11_7_1;Botshol;58;Renovatie of nieuwbouw van defosfatering Botshol;Defosfateren;Defosfateren;SGBP3 2021-2027;2021-2027;"De huidige defosfateringsinstallatie moet gerenoveerd worden. Mogelijk is nieuwbouw op een andere plaats een betere optie.
";"Mogelijk leveren de nabezinksloten na onder bepaalde omstandigheden en moet er extra worden gebaggerd. Ook de schotten in de bruggesloot moeten mogelijk onderhouden worden en de tank en de toedieningsvoorziening vragen om onderhoud.
";IM12;WB;;1;n;j;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;1,000,000;SGBP-3;NL_HAB_83;;KTMNL01;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;dosering FEChl moet hoger….;;Achteruitgang vermijden;;geen;type 1;afweging kosten: bestuurlijke keuze;SGBP3;afweging financiele bijdrage vanuit provincie;;ESF1;;;1;n;;1;2027;NL11_7_1;LM_20200124;;;
14;;NL11;NL11_1_1;Amstellandboezem;;Beperken van scheepvaart in grote kanalen;Scheepvaart reguleren;;Niet opnemen in SGBP3;niet;Scheepvaartluwe zones bieden kansen voor een betere ecologische waterkwaliteit omdat hier minder bodemmateriaal opwervelt en de remmende werking van golfslag op de ontwikkeling van (emerse) vegetatie vermindert. Deze maatregel leidt tot verlies van de functie scheepvaart en wordt daarom niet meegenomen in de doelafleiding.;Scheepvaartluwe zones bieden kansen voor een betere ecologische waterkwaliteit omdat hier minder bodemmateriaal opwervelt en de remmende werking van golfslag op de ontwikkeling van (emerse) vegetatie vermindert. Deze maatregel leidt tot verlies van de functie scheepvaart en wordt daarom niet meegenomen in de doelafleiding.;RO03;WB;;;-;n;;Geen;Niet uitvoeren;Geen;;0;0;;;KTM21 ;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - overig;0;0;0;0;0;0;;;;Scheepvaart reguleren;;?;;niet uitvoeren: verlies functie;SGBP3;;;ESF4;;;0;km watergang;;0;nvt;NL11_1_1;LM_20190916;;;
85;;NL11;NL11_2_8;Bovenkerkerpolder;85;Stimuleren van verdiepen van watergangen in de Bovenkerkerpolder;Natuurvriendelijk onderhouden en op diepte brengen;Natuurvriendelijk onderhouden en op diepte brengen;SGBP3 2021-2027;2021-2027;Aan deze maatregel wordt uitvoering gegeven via Waterdiepte op maat. Inschatting is dat vrijwel het gehele ondiepe areaal op diepte kan worden gebracht omdat er zo`n 5 tot 20 cm slib op de bodem ligt. In de praktijk kan het zijn dat dit niet mogelijk is (door loopzand, instabiliteit oevers of opbarstingsrisico's). In dit gebied raadt het collectief af om de baggerspuit te gebruiken omdat de sloten smal zijn en men bang is dat de ecologie daaronder leidt. Er wordt nu met een kraantje mechanisch gebaggerd. Bij deze techniek is het risico dat er vaste bodem wordt verwijderd en slib achterblijft wel groter. Voordat de maatregel kan worden doorgevoerd moeten bronnen van baggeraanwas en de snelheid waarmee er opnieuw bagger ontstaat voldoende bekend zijn. Mogelijk moet ook erosie door vis worden verminderd.;Voordat de maatregel kan worden doorgevoerd moeten bronnen van baggeraanwas en de snelheid waarmee er opnieuw bagger ontstaat voldoende bekend zijn. Er zijn mogelijk ook viswerende maatregelen nodig. Nu wordt er ingeschat dat vrijwel het gehele ondiepe areaal op diepte kan worden gebracht omdat er zo`n 5 tot 20 cm slib op de bodem ligt. In de praktijk kan het zijn dat dit niet mogelijk is (door loopzand, instabiliteit oevers of opbarstingsrisico's). In dit gebied raadt het collectief af om de baggerspuit te gebruiken omdat de sloten smal zijn en men bang is dat de ecologie daaronder leidt. Er wordt nu met een kraantje mechanisch gebaggerd. Bij deze techniek is het risico dat er vaste bodem wordt verwijderd en slib achterblijft wel groter. ;IN12;WB;;25.9;ha;j;;Waterschap;Boeren;Waterschap Amstel, Gooi en Vecht;;0;BA Waterdiepte op maat;;;KTM6 ;;Macrofauna_Overige Waterflora_Vis_Fytoplankton;0;0;0;0;0;0;;;;Op diepte brengen;;DAW, agrarische collectieven;type 2;mogelijk aanvullende maatregelen nodig: deels bestuurlijk vastgesteld ;Waterdiepte op Maat;;;ESF4;;59.4;25.9;ha, totaal opp.;;1;2027;NL11_2_6;LM_20190916;;;
103;;NL11;NL11_3_2;Gaasperplas;103;Afkoppelen Gaasperpark en woonwijk Nellestein;Waterstromen aanpassen;Waterstromen aanpassen;SGBP3 2021-2027;2021-2027;Zorgen dat er geen voedingsstoffen uit de wijk Nellestein en het Gaasperpark naar de Gaasperplas gaan. Hiervoor is het nodig om een scheiding te maken om de waterstroom rechtstreeks naar de boezem te leiden.;Zorgen dat er geen voedingsstoffen uit dit gebied komen: korte reactietijd bij storingen rioolgemaal en opsporen foutaansluitingen.;IM12;WB;;1;n;j;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;88,688;SGBP-3/WGP;;;KTM21;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig_Specifieke verontreinigende stoffen_Niet-ubiquitaire prioritaire stoffen;0;0;0;0;0;0;;;planvorming moet een nieuwe NBW toets/ risicos voor afvoer in stedelijk gebied?;P-belasting verlagen;;Gemeente Amsterdam, Groengebied Amstelland;type 1;afweging kosten: bestuurlijke keuze;SGBP3;;;ESF1;3.868488658;;0.39;mg/m2/dag;;1;2027;NL11_3_2;LM_20190916;;;
