watdte_m;debiet (mm/dag);bodemtype;kP
0.3;31.3378245;zand;5.86
0.3;33.01215903;zand;5.99
0.3;29.74955871;zand;5.74
0.3;27.82612365;zand;5.6
0.3;35.37227504;zand;6.16
0.3;29.47014345;zand;5.72
0.3;32.804291;zand;5.97
0.3;31.13022062;zand;5.85
0.3;61.24464736;zand;7.97
0.3;65.47087405;zand;8.25
0.3;63.73617476;zand;8.13
0.3;58.29280737;zand;7.77
0.3;65.18419708;zand;8.23
0.3;64.22046474;zand;8.17
0.3;70.14583811;zand;8.56
0.3;41.6621754;zand;6.61
0.3;29.74812324;zand;5.74
0.3;30.30745226;zand;5.79
0.3;27.76522077;zand;5.59
0.3;26.25547238;zand;5.47
0.3;33.33627994;zand;6.01
0.3;29.22188895;zand;5.7
0.3;30.47040538;zand;5.8
0.3;30.88014298;zand;5.83
0.3;22.10116067;zand;5.14
0.3;22.15038665;zand;5.14
0.3;22.54014283;zand;5.17
0.3;18.63323699;zand;4.83
0.3;23.82726175;zand;5.28
0.3;21.21298186;zand;5.06
0.3;23.91080229;zand;5.29
0.3;22.43331234;zand;5.16
0.3;35.40390103;zand;6.16
0.3;41.73241269;zand;6.62
0.3;38.8752871;zand;6.41
0.3;33.90088482;zand;6.05
0.3;39.83301108;zand;6.48
0.3;29.36709374;zand;5.71
0.3;33.36703093;zand;6.01
0.3;30.75158688;zand;5.82
0.3;10.84629723;zand;4.05
0.3;11.23232444;zand;4.09
0.3;11.73161423;zand;4.15
0.3;11.64672352;zand;4.14
0.3;11.08774906;zand;4.07
0.3;9.659370695;zand;3.91
0.3;9.486972404;zand;3.89
0.3;11.07932623;zand;4.07
0.3;100.5418846;zand;10.39
0.3;108.9093987;zand;10.85
0.3;109.3986716;zand;10.88
0.3;97.13006207;zand;10.2
0.3;99.68840213;zand;10.34
0.3;90.80655945;zand;9.83
0.3;98.874259;zand;10.3
0.3;98.98583948;zand;10.3
0.3;33.19840176;zand;6
0.3;34.41987318;zand;6.09
0.3;32.38030678;zand;5.94
0.3;31.31781349;zand;5.86
0.3;35.56121051;zand;6.18
0.3;32.21355456;zand;5.93
0.3;33.79782863;zand;6.05
0.3;32.69822517;zand;5.97
0.3;13.32853834;zand;4.32
0.3;14.23606952;zand;4.41
0.3;12.66128013;zand;4.25
0.3;11.45932989;zand;4.12
0.3;15.54314155;zand;4.54
0.3;12.41719789;zand;4.22
0.3;13.55586668;zand;4.34
0.3;13.42688271;zand;4.33
0.3;27.47003993;zand;5.57
0.3;28.00210236;zand;5.61
0.3;25.32596946;zand;5.4
0.3;25.95606181;zand;5.45
0.3;32.62039632;zand;5.96
0.3;25.44098685;zand;5.41
0.3;26.69839336;zand;5.51
0.3;28.24636936;zand;5.63
0.3;38.46176853;zand;6.39
0.3;41.03236206;zand;6.57
0.3;37.76578224;zand;6.34
0.3;32.52997786;zand;5.95
0.3;41.84557791;zand;6.63
0.3;36.66196305;zand;6.26
0.3;40.93745546;zand;6.56
0.3;38.45926113;zand;6.38
0.3;32.93654373;zand;5.98
0.3;34.29629687;zand;6.08
0.3;30.35117759;zand;5.79
0.3;26.59878131;zand;5.5
0.3;37.51465915;zand;6.32
0.3;31.46197075;zand;5.87
0.3;33.19173982;zand;6
0.3;37.14118062;zand;6.29
0.3;37.28340323;zand;6.3
0.3;38.73970885;zand;6.41
0.3;35.30067557;zand;6.16
0.3;32.61235803;zand;5.96
0.3;41.9803262;zand;6.64
0.3;35.79838317;zand;6.19
0.3;37.64440879;zand;6.33
0.3;38.90796199;zand;6.42
0.3;32.93654373;zand;5.98
0.3;34.29629687;zand;6.08
0.3;30.35117759;zand;5.79
0.3;26.59878131;zand;5.5
0.3;37.51465915;zand;6.32
0.3;31.46197075;zand;5.87
0.3;33.19173982;zand;6
0.3;37.14118062;zand;6.29
0.3;19.5476682;zand;4.91
0.3;20.80211326;zand;5.02
0.3;18.70411297;zand;4.84
0.3;17.32527524;zand;4.71
0.3;22.17681255;zand;5.14
0.3;18.33620382;zand;4.81
0.3;19.38337956;zand;4.9
0.3;20.10577998;zand;4.96
0.3;31.74467568;zand;5.89
0.3;33.3154049;zand;6.01
0.3;30.992817;zand;5.84
0.3;26.93516081;zand;5.53
0.3;36.89748568;zand;6.27
0.3;29.76035005;zand;5.74
0.3;31.63355456;zand;5.89
0.3;32.67795676;zand;5.96
0.3;38.57814458;zand;6.39
0.3;40.54674702;zand;6.53
0.3;37.51647309;zand;6.32
0.3;38.49377104;zand;6.39
0.3;43.37526875;zand;6.74
0.3;34.94044015;zand;6.13
0.3;35.45980454;zand;6.17
0.3;39.71450749;zand;6.48
0.3;32.69487055;zand;5.96
0.3;33.02117978;zand;5.99
0.3;29.14792329;zand;5.7
0.3;29.74416112;zand;5.74
0.3;37.61368026;zand;6.32
0.3;30.36977036;zand;5.79
0.3;36.95002479;zand;6.28
0.3;32.01735424;zand;5.91
0.3;29.89931404;zand;5.76
0.3;30.82284588;zand;5.83
0.3;28.4479192;zand;5.64
0.3;27.15698051;zand;5.54
0.3;33.02722142;zand;5.99
0.3;28.1724401;zand;5.62
0.3;31.99007919;zand;5.91
0.3;29.677712;zand;5.74
0.3;14.03682349;zand;4.39
0.3;14.63565088;zand;4.45
0.3;13.15863745;zand;4.3
0.3;11.87012929;zand;4.16
0.3;16.58049712;zand;4.64
0.3;12.92028792;zand;4.27
0.3;15.67562301;zand;4.55
0.3;13.41693878;zand;4.33
0.3;14.03682349;zand;4.39
0.3;14.63565088;zand;4.45
0.3;13.15863745;zand;4.3
0.3;11.87012929;zand;4.16
0.3;16.58049712;zand;4.64
0.3;12.92028792;zand;4.27
0.3;15.67562301;zand;4.55
0.3;13.41693878;zand;4.33
0.3;14.03682349;zand;4.39
0.3;14.63565088;zand;4.45
0.3;13.15863745;zand;4.3
0.3;11.87012929;zand;4.16
0.3;16.58049712;zand;4.64
0.3;12.92028792;zand;4.27
0.3;15.67562301;zand;4.55
0.3;13.41693878;zand;4.33
0.3;15.14384854;zand;4.5
0.3;15.87504182;zand;4.57
0.3;13.95695211;zand;4.38
0.3;12.41860335;zand;4.22
0.3;15.87664155;zand;4.57
0.3;15.62142257;zand;4.55
0.3;15.18102069;zand;4.51
0.3;17.0772577;zand;4.69
0.3;126.7241259;zand;11.78
0.3;135.8481063;zand;12.23
0.3;129.7780656;zand;11.93
0.3;127.4559306;zand;11.82
0.3;129.3476216;zand;11.91
0.3;119.0641778;zand;11.39
0.3;124.7610487;zand;11.68
0.3;120.813931;zand;11.48
0.3;19.17568599;zand;4.88
0.3;19.80659283;zand;4.94
0.3;18.14748431;zand;4.79
0.3;16.4617433;zand;4.63
0.3;20.37767825;zand;4.99
0.3;18.37227593;zand;4.81
0.3;19.58770732;zand;4.92
0.3;21.47632;zand;5.08
0.3;11.85821342;zand;4.16
0.3;12.16455541;zand;4.19
0.3;11.02683207;zand;4.07
0.3;11.54992296;zand;4.13
0.3;12.74905611;zand;4.26
0.3;10.79267571;zand;4.04
0.3;13.35611083;zand;4.32
0.3;11.36834087;zand;4.11
0.3;11.85821342;zand;4.16
0.3;12.16455541;zand;4.19
0.3;11.02683207;zand;4.07
0.3;11.54992296;zand;4.13
0.3;12.74905611;zand;4.26
0.3;10.79267571;zand;4.04
0.3;13.35611083;zand;4.32
0.3;11.36834087;zand;4.11
0.3;11.85821342;zand;4.16
0.3;12.16455541;zand;4.19
0.3;11.02683207;zand;4.07
0.3;11.54992296;zand;4.13
0.3;12.74905611;zand;4.26
0.3;10.79267571;zand;4.04
0.3;13.35611083;zand;4.32
0.3;11.36834087;zand;4.11
0.3;30.30274503;zand;5.79
0.3;31.6311665;zand;5.89
0.3;31.96755342;zand;5.91
0.3;29.24490183;zand;5.71
0.3;30.34230721;zand;5.79
0.3;27.46249356;zand;5.57
0.3;30.8597114;zand;5.83
0.3;30.61108128;zand;5.81
0.3;20.78249402;zand;5.02
0.3;21.52257756;zand;5.09
0.3;21.78354308;zand;5.11
0.3;16.56313423;zand;4.64
0.3;21.72521222;zand;5.1
0.3;19.04879489;zand;4.87
0.3;23.24941997;zand;5.23
0.3;21.58477617;zand;5.09
0.3;111.6278095;zand;11
0.3;114.2515361;zand;11.14
0.3;113.7225963;zand;11.11
0.3;107.151621;zand;10.76
0.3;113.8601073;zand;11.11
0.3;107.8703149;zand;10.79
0.3;112.5652134;zand;11.05
0.3;111.9732777;zand;11.01
0.3;23.28029483;zand;5.23
0.3;24.83459021;zand;5.36
0.3;23.82671342;zand;5.28
0.3;20.26153421;zand;4.98
0.3;25.26873308;zand;5.4
0.3;22.35317249;zand;5.16
0.3;25.11803538;zand;5.38
0.3;21.29928499;zand;5.07
0.3;24.74331828;zand;5.35
0.3;24.10562833;zand;5.3
0.3;22.59733206;zand;5.18
0.3;24.61170635;zand;5.34
0.3;30.71569919;zand;5.82
0.3;22.92592658;zand;5.2
0.3;25.06185124;zand;5.38
0.3;23.18508422;zand;5.23
0.3;25.89014274;zand;5.44
0.3;26.81973904;zand;5.52
0.3;24.83834793;zand;5.36
0.3;22.79626586;zand;5.19
0.3;29.1338905;zand;5.7
0.3;24.73901576;zand;5.35
0.3;27.52822773;zand;5.57
0.3;25.37551233;zand;5.4
0.3;49.33210554;zand;7.15
0.3;50.97048571;zand;7.27
0.3;51.49236389;zand;7.3
0.3;40.39891772;zand;6.52
0.3;51.99198518;zand;7.34
0.3;44.34393696;zand;6.8
0.3;50.7803345;zand;7.25
0.3;55.3467148;zand;7.57
0.3;18.50143569;zand;4.82
0.3;18.92654639;zand;4.86
0.3;18.69110561;zand;4.84
0.3;16.48649577;zand;4.63
0.3;19.1519578;zand;4.88
0.3;17.47377623;zand;4.73
0.3;18.45384141;zand;4.82
0.3;20.32632661;zand;4.98
0.3;13.65465626;zand;4.35
0.3;13.56784719;zand;4.34
0.3;14.19246724;zand;4.41
0.3;12.51341013;zand;4.23
0.3;14.29393579;zand;4.42
0.3;12.90534315;zand;4.27
0.3;14.09106166;zand;4.4
0.3;14.01852863;zand;4.39
0.3;17.15360898;zand;4.7
0.3;18.9456482;zand;4.86
0.3;19.18523068;zand;4.88
0.3;16.14025269;zand;4.6
0.3;18.02745308;zand;4.78
0.3;15.53949661;zand;4.54
0.3;16.34688967;zand;4.62
0.3;15.89029194;zand;4.58
0.3;15.90645802;zand;4.58
0.3;17.39313222;zand;4.72
0.3;16.26132706;zand;4.61
0.3;12.53441318;zand;4.23
0.3;16.58897869;zand;4.64
0.3;15.26767798;zand;4.51
0.3;17.89865106;zand;4.77
0.3;15.40102594;zand;4.53
0.3;15.90645802;zand;4.58
0.3;17.39313222;zand;4.72
0.3;16.26132706;zand;4.61
0.3;12.53441318;zand;4.23
0.3;16.58897869;zand;4.64
0.3;15.26767798;zand;4.51
0.3;17.89865106;zand;4.77
0.3;15.40102594;zand;4.53
0.3;52.29154667;zand;7.36
0.3;55.19163786;zand;7.56
0.3;51.60632804;zand;7.31
0.3;45.74324107;zand;6.9
0.3;54.4672854;zand;7.51
0.3;49.56590692;zand;7.17
0.3;53.48805638;zand;7.44
0.3;55.97837099;zand;7.61
0.3;25.95383391;zand;5.45
0.3;27.72838846;zand;5.59
0.3;25.35039462;zand;5.4
0.3;20.85968793;zand;5.03
0.3;28.07491018;zand;5.62
0.3;23.9266896;zand;5.29
0.3;29.19102476;zand;5.7
0.3;26.54574182;zand;5.5
0.3;30.58951492;zand;5.81
0.3;36.28213023;zand;6.23
0.3;34.34441327;zand;6.09
0.3;24.71087714;zand;5.35
0.3;30.64384302;zand;5.81
0.3;28.25973406;zand;5.63
0.3;29.54540927;zand;5.73
0.3;30.34019748;zand;5.79
0.3;72.9461142;zand;8.74
0.3;33.74561241;zand;6.04
0.3;30.18984999;zand;5.78
0.3;33.12402557;zand;6
0.3;103.7765603;zand;10.57
0.3;100.1594283;zand;10.37
0.3;99.2764527;zand;10.32
0.3;110.3508701;zand;10.93
0.3;322.9441352;zand;19.78
0.3;328.2346163;zand;19.94
0.3;323.207055;zand;19.78
0.3;314.1407542;zand;19.49
0.3;333.6795979;zand;20.11
0.3;327.5662624;zand;19.92
0.3;323.3611332;zand;19.79
0.3;310.4195275;zand;19.37
0.3;34.88864796;zand;6.13
0.3;35.17179894;zand;6.15
0.3;32.78474071;zand;5.97
0.3;32.68403768;zand;5.96
0.3;37.64326269;zand;6.33
0.3;34.80665737;zand;6.12
0.3;32.17957438;zand;5.93
0.3;38.95046391;zand;6.42
0.3;18.8667276;zand;4.85
0.3;17.48860253;zand;4.73
0.3;17.28606243;zand;4.71
0.3;18.45804323;zand;4.82
0.3;19.87017263;zand;4.94
0.3;19.73870409;zand;4.93
0.3;17.28533889;zand;4.71
0.3;21.94016939;zand;5.12
0.3;18.8667276;zand;4.85
0.3;17.48860253;zand;4.73
0.3;17.28606243;zand;4.71
0.3;18.45804323;zand;4.82
0.3;19.87017263;zand;4.94
0.3;19.73870409;zand;4.93
0.3;17.28533889;zand;4.71
0.3;21.94016939;zand;5.12
0.3;79.61957276;zand;9.16
0.3;73.21374585;zand;8.75
0.3;73.04085787;zand;8.74
0.3;79.82052069;zand;9.17
0.3;83.42626787;zand;9.39
0.3;84.04201172;zand;9.43
0.3;71.11902178;zand;8.62
0.3;92.67458353;zand;9.94
0.3;254.498252;zand;17.36
0.3;256.9472943;zand;17.45
0.3;254.7808864;zand;17.37
0.3;247.7121372;zand;17.09
0.3;256.2294168;zand;17.42
0.3;252.6585219;zand;17.28
0.3;259.9372294;zand;17.56
0.3;253.2222776;zand;17.31
0.3;27.90951604;zand;5.6
0.3;30.38066726;zand;5.79
0.3;28.37081257;zand;5.64
0.3;23.0674229;zand;5.22
0.3;28.77260969;zand;5.67
0.3;26.20700834;zand;5.47
