"GAFIDENT";"GAFNAAM";"Begindatum";"Einddatum";"KRWWaterlichaamcode";"KRW_SGBP3";"KRWmonitoringslocatie";"KRWmonitoringslocatie_SGBP3";"KRWmonitoringslocatie_SGBP3_MeetpuntInAquoKit20200701";"SGBP3_NAAM";"OPMERKING";"OPPEAG";"OppWater";"OppLand";"OmtrekWater";"OppWater0_1m";"OppWater1_8m";"OppWater8m";"Opp verhard";"Opp onverhard";"Opp water (BGT)";"verhardfactor";"Plas";"watertype";"KRWWatertypeVoorstel_status";"type";"vijver";"StedelijkLandelijk";"LANDBOUWGEB";"percopenwater"
"1030-EAG-1";"BP Huis Te Vraag, BP Huis Te Vraag";20160428;NA;"";"";"";"";"";"";"KRW Overig water";"4.193.782.827";"3.709.404.686";"3.822.842.358";"1.961.580.358";"0";"0";"0";"";"";"";NA;"";"NTB";"WBP 2016-2021";"canal";"";"Stedelijk";"overig";"0.08845009"
"2110-EAG-7";"Middelpolder onder Amstelveen, zuid";20170315;NA;"";"";"";"";"";"";"KRW Overig water";"2.704.891.664";"2.161.615.335";"2.488.730.131";"697.656.208";"0";"0";"0";"";"";"";NA;"";"M10";"WBP 2016-2021";"sloot";"";"Stedelijk";"overig";"0.079915043"
"1000-EAG-3";"Stadsboezem Amsterdam, stad";20160428;NA;"NL11_2_1";"NL11_2_1";"NL11_VaartenAmsterdam";"NL11_VaartenAmsterdam";"NL11_VaartenAmsterdam";"Vaarten Amsterdam";"KRW Waterlichaam";"3.741.188.901";"8.154.026.466";"2.925.786.254";"6.323.677.635";"0";"0";"0";"";"";"";NA;"";"M6b";"WBP 2016-2021";"canal";"";"Stedelijk";"overig";"0.217952813"
"2130-EAG-4";"Noorder Legmeerpolder, Amstelzijde";20160428;NA;"";"";"";"";"";"";"KRW Overig water";"2.127.420.137";"1.016.292.454";"2.025.790.892";"4.084.307.248";"0";"0";"0";"";"";"";NA;"";"M1a";"WBP 2016-2021";"sloot";"";"Stedelijk";"veen";"0.047771121"
"2150-EAG-1";"Zuider Legmeerpolder, waterberging";20160428;NA;"";"";"";"";"";"";"KRW Overig water";"1.995.767.156";"8.159.563.511";"1.914.171.521";"4.849.874.019";"0";"0";"0";"";"";"";NA;"";"M1a";"WBP 2016-2021";"sloot";"";"Landelijk";"gtb";"0.040884346"
"4250-EAG-2";"'s-Gravelandsche Polder, 's-Gravelandsche Polder - KRW Waterlichaam";20190320;NA;"NL11_2_2";"NL11_2_2";"NL11_VaartenVechtstreek";"NL11_VaartenVechtstreek";"NL11_VaartenVechtstreek";"Vaarten Vechtstreek";"KRW Waterlichaam";"2.557.880.789";"1.009.105.754";"1.548.775.035";"1.645.006.409";"0";"0";"0";"699.699.375";"836.273.125";"102.199.875";0.273536841;"";"M6a";"WBP 2016-2021";"canal";"";"Landelijk";"overig";"0.394508516"
"2506-EAG-1";"Eilinzon, Eilinzon";20160428;NA;"";"";"";"";"";"";"KRW Overig water";"3.727.062.147";"55.283.587";"3.174.226.277";"1.878.636.853";"0";"0";"0";"150.778.125";"165.641.875";"56.289.375";0.404546102;"";"NTB";"WBP 2016-2021";"canal";"";"Stedelijk";"overig";"0.148330199"
"2520-EAG-3";"Polder de Derde Bedijking, natuur";20170323;NA;"";"";"";"";"";"";"KRW Overig water";"188.226.747";"2.547.735.536";"1.627.493.916";"8.470.238.683";"0";"0";"0";"33709";"1.290.459.375";"25472.75";0.179086299;"";"M8";"20161205_MemoWatertypenOverigWater";"sloot";"";"Landelijk";"droogmakerij";"0.135354596"
"2600-EAG-2";"Polder Zevenhoven, Oude Nieuwveenseweg";20170207;NA;"";"";"";"";"";"";"KRW Overig water";"6.776.418.029";"3.512.264.284";"6.425.191.601";"2.062.174.466";"0";"0";"0";"125.739.875";"5.155.003.125";"36411";0.185552504;"";"M1a";"WBP 2016-2021";"sloot";"";"Landelijk";"akkerbouw";"0.051830691"
"3???-EAG-1";"Oud-Zuilen, Oud-Zuilen";20160428;NA;"";"";"";"";"";"";"KRW Overig water";"1.782.739.601";"736.506.301";"1.709.088.971";"5.191.246.411";"0";"0";"0";"82.560.625";"1620490.75";"2.069.963.125";0.004497395;"";"M1a";"WBP 2016-2021";"sloot";"";"Landelijk";"hoge_potentie_lb";"0.041313173"
"3010-EAG-1";"Noorder- of Rietpolder (zuid), Noorder- of Rietpolder (zuid) (De Krijgsman)";20160428;NA;"";"";"";"";"";"";"KRW Overig water";"3.734.533.746";"2.825.906.311";"3.451.943.115";"1.666.262.559";"0";"0";"0";"7.709.375";"266.430.625";"29.974.375";0.20640966;"";"NTB";"WBP 2016-2021";"canal";"";"Landelijk";"overig";"0.075669588"
"3080-EAG-1";"Sportcombinatie Muiden, Sportcombinatie Muiden";20160428;NA;"";"";"";"";"";"";"KRW Overig water";"2.384.717.955";"1.017.275.813";"2.282.990.373";"6.072.434.641";"0";"0";"0";"2420.75";"203.815.625";"1046.25";0.10150507;"";"NTB";"WBP 2016-2021";"canal";"";"Landelijk";"overig";"0.042658119"
"3300-EAG-2";"Muyeveld, Nieuwe Polderplas";20160428;NA;"NL11_5_1";"NL11_5_5";"NL11_Loosdrechtseplassen";"NL11_LoosdrechtsePlas1tm5";"NL11_LoosdrechtsePlas1tm5";"Loosdrechtse plassen 1tm5";"KRW Waterlichaam";"2.652.683.451";"2.381.615.215";"2.710.682.363";"3.314.195.001";"4.409.824.734";"2.339.283.411";"0";"60.588.125";"92.994.375";"1.836.496.875";0.03044508;"";"M27";"WBP 2016-2021";"plas";"";"Landelijk";"overig";"0.897813576"
"3360-EAG-12";"Polder Maarsseveen-Westbroek, Nederreinsche Vaart";20160428;NA;"NL11_6_5";"";"NL11_MolenpolderTienhove";"";"";"";"KRW Overig water";"207.091.124";"4.286.693.333";"1.642.241.906";"1.386.588.666";"0";"0";"0";"31.261.875";"1.605.806.875";"428.540.625";0.015134456;"";"M27";"WBP 2016-2021";"sloot";"";"Landelijk";"overig";"0.206995512"
"4210-EAG-6";"Hollands Ankeveensche Polder, Peilgebied 24-4";20191122;NA;"";"";"";"";"";"";"KRW Overig water";"153.160.161";"6.651.912.674";"1.465.082.483";"5.243.334.968";"0";"0";"0";"";"";"";NA;"";"M8";"";"sloot";"";"Landelijk";"overig";"0.04343109"
"5000-EAG-2";"'t Gooi, 't Gooi - 1";20170418;NA;"";"";"";"";"";"";"KRW Overig water";"19859112.29";"8.717.622.167";"19771936.07";"136.524.408";"0";"0";"0";"5.173.730.375";"14597717";"87.973.875";0.260517681;"";"NVT";"";"canal";"";"Landelijk";"overig";"0.004389734"
"5000-EAG-3";"'t Gooi, 't Gooi";20180323;NA;"";"";"";"";"";"";"KRW Overig water";"10258828.16";"6.438.763.559";"10194440.52";"2.162.481.892";"0";"0";"0";"1.313.021.313";"8.880.046.375";"658.955.625";0.12798772;"";"NVT";"";"canal";"";"Landelijk";"overig";"0.006276315"
"5000-EAG-4";"'t Gooi, 't Gooi";20180323;NA;"";"";"";"";"";"";"KRW Overig water";"10272165.01";"5.398.471.035";"10218180.3";"1.549.790.557";"0";"0";"0";"1960574.5";"8.256.782.875";"54927";0.190860614;"";"NVT";"";"canal";"";"Landelijk";"overig";"0.005255436"
"5000-EAG-5";"'t Gooi, 't Gooi";20180323;NA;"";"";"";"";"";"";"KRW Overig water";"5700402.52";"1.202.009.041";"5.580.201.616";"7.097.646.315";"0";"0";"0";"9.127.361.875";"4.666.880.875";"1.208.308.125";0.160116575;"";"NVT";"";"canal";"";"Landelijk";"overig";"0.021086389"
"5000-EAG-6";"'t Gooi, 't Gooi";20180323;NA;"";"";"";"";"";"";"KRW Overig water";"12241436.82";"3.483.320.891";"12206603.61";"4.409.594.999";"0";"0";"0";"609.553.375";"11596736.75";"350.780.625";0.049794546;"";"NVT";"";"canal";"";"Landelijk";"overig";"0.002845516"
"5000-EAG-7";"'t Gooi, 't Gooi";20180323;NA;"";"";"";"";"";"";"KRW Overig water";"6.330.229.627";"3.555.218.201";"6.294.677.445";"2.739.955.295";"0";"0";"0";"3.647.729.188";"2.646.721.063";"35.809.875";0.576236855;"";"NVT";"";"canal";"";"Stedelijk";"overig";"0.005616255"
"5000-EAG-8";"'t Gooi, 't Gooi";20180323;NA;"";"";"";"";"";"";"KRW Overig water";"10183597.34";"9.090.495.352";"10092692.38";"1.657.698.958";"0";"0";"0";"1.606.701.125";"8484211.75";"92.779.875";0.157771956;"";"NVT";"";"canal";"";"Landelijk";"overig";"0.008926605"
"6000-EAG-10";"Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, afstromend naar boezem - oost";20180314;NA;"";"";"";"";"";"";"KRW Overig water";"7.832.292.654";"6.779.197.364";"7.154.372.918";"5.240.257.005";"0";"0";"0";"5.055.642.563";"2.182.567.125";"675032.5";0.638883841;"";"NVT";"";"canal";"";"Stedelijk";"overig";"0.086554444"
"6000-EAG-2";"Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, Nuoncentrale";20170414;NA;"";"";"";"";"";"";"KRW Overig water";"1.697.762.051";"6.540.345.717";"104.372.748";"2.845.329.794";"0";"0";"0";"76647";"271.648.125";"655.164.375";0.452653352;"";"NVT";"";"canal";"";"Stedelijk";"overig";"0.385233355"
"6000-EAG-3";"Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, Diemerzeedijk noord";20170414;NA;"";"";"";"";"";"";"KRW Overig water";"464.059.201";"4.872.014.244";"4.153.390.586";"1.435.589.215";"0";"0";"0";"699.770.625";"3.448.803.125";"49.217.125";0.150788424;"";"NVT";"";"canal";"";"Stedelijk";"overig";"0.104986912"
"6000-EAG-4";"Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, Hoeker- en Garstenpolder noord-puntje";20170418;NA;"";"";"";"";"";"";"KRW Overig water";"1.523.358.047";"6.063.373.666";"9.170.206.802";"7.978.054.399";"0";"0";"0";"8.053.125";"8365.25";"6.061.625";0.05286913;"";"NVT";"";"canal";"";"Landelijk";"overig";"0.398026825"
"6000-EAG-5";"Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, hoogspanningstrac?®";20170414;NA;"";"";"";"";"";"";"KRW Overig water";"3.606.019.725";"7.983.534.172";"3.526.184.384";"2.805.269.269";"0";"0";"0";"49532.75";"303094.75";"7986";0.137356893;"";"NVT";"";"canal";"";"Stedelijk";"overig";"0.022139463"
"6000-EAG-6";"Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, haven";20170418;NA;"";"";"";"";"";"";"KRW Overig water";"1.362.635.751";"1.276.391.674";"8.624.407.689";"4.915.070.811";"0";"0";"0";"1.574.375";"706.625";"12.806.375";0.011516639;"";"NVT";"";"canal";"";"Stedelijk";"overig";"0.936707901"
"6000-EAG-7";"Geen EAG";20170414;NA;"";"";"";"";"";"";"Geen KRW open water";"83180.52";"0";"83180.52";"0";"0";"0";"0";"694.076.875";"13775.5";"0";0.834395622;"";"NVT";"";"canal";"";"Stedelijk";"overig";"0"
"6000-EAG-8";"Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, tbv drinkwater";20170418;NA;"";"";"";"";"";"";"KRW Overig water";"1.884.576.029";"1.165.525.012";"7.190.510.167";"1.120.871.754";"0";"0";"0";"253.75";"6.931.375";"116.605.625";0.013464619;"";"NVT";"";"canal";"";"Stedelijk";"overig";"0.618454758"
"6000-EAG-9";"Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, afstromend naar boezem - west";20160428;NA;"";"";"";"";"";"";"KRW Overig water";"23487569.17";"5.997.903.637";"22887778.81";"2.245.773.647";"0";"0";"0";"15768757.63";"7.165.890.313";"6.205.031.875";0.669439884;"";"NVT";"";"canal";"";"Stedelijk";"overig";"0.025536502"
"6440-EAG-5";"Polder Breukelerwaard West,";20170327;NA;"";"";"";"";"";"";"KRW Overig water";"1.935.710.858";"1.487.893.942";"1.786.921.464";"3.372.143.239";"0";"0";"0";"921.581.875";"863.905.625";"15.023.625";0.47609163;"";"M1a";"WBP 2016-2021";"sloot";"";"Stedelijk";"hoge_potentie_lb";"0.076865506"
"6500-EAG-1";"Over-Diemen, elektriciteitscentrale";20160428;NA;"";"";"";"";"";"";"KRW Overig water";"4.810.967.953";"2.627.352.352";"4.548.232.718";"1.359.057.443";"0";"0";"0";"145.172.625";"3.095.134.375";"26.416.125";0.301750083;"";"NTB";"WBP 2016-2021";"canal";"";"Landelijk";"overig";"0.05461172"
"6510-EAG-1";"Over-Diemen (Zeehoeve), Zeehoeve";20160428;NA;"";"";"";"";"";"";"NVT";"199.831.242";"2.096.489.778";"1.788.663.443";"6.587.998.023";"0";"0";"0";"361.159.375";"1.422.115.625";"215.095.625";0.180726923;"";"NTB";"WBP 2016-2021";"canal";"";"Landelijk";"overig";"0.104913013"
"6560-EAG-1";"Over-Diemen (noord), Over-Diemen (noord)";20160428;NA;"";"";"";"";"";"";"KRW Overig water";"3.332.561.316";"8.306.098.977";"3.249.500.327";"6.220.484.498";"0";"0";"0";"2589";"298.505.625";"8.865.625";0.0776868;"";"NTB";"WBP 2016-2021";"canal";"";"Landelijk";"overig";"0.024924069"
"6580-EAG-1";"Breukelen boezempeil, Breukelen boezempeil";20170214;NA;"";"";"";"";"";"";"KRW Overig water";"1.739.627.657";"1.372.778.498";"1.725.899.872";"8.329.421.418";"0";"0";"0";"53.324.875";"1.192.373.125";"1397.75";0.306535377;"";"NTB";"WBP 2016-2021";"canal";"";"Landelijk";"hoge_potentie_lb";"0.00789122"
