Meetlocatie.identificatie;ParameterTypering.code;Waterlichaam.identificatie;Monitoringsoort.code;Compartiment.code;Oorsprong
NL87_AMSDM;12DClC2a;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;12DClC3a;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;44DDT;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;4C9yFol;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;4ClAn;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;4ttC8yFol;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;aaDClTol;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;abmtne;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;acnfn;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;Ag;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;alCl;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;Ant;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;As;NL11_1_1;OM;OW;1712-0048
NL87_AMSDM;atzne;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;B;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;Ba;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;BaA;NL11_1_1;OM;OW;1712-0048
NL11_Amstellandboezem;BaP;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;BbF;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;Be;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;Ben;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;bentzn;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;benzCl;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;bfnx;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;BghiPe;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;BkF;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;C1yazfs;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;C1ymsfrn;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;C1yprmfs;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;C1yprton;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;C2yazfs;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;C2yBen;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;C2yClprfs;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;C2yprton;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;captn;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;carbdzm;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;Cd;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;Chr;NL11_1_1;OM;OW;1712-0048
NL11_Amstellandboezem;Cl;NL11_1_1;OM;OW;1712-0048
NL87_AMSDM;Clfvfs;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;Clidzn;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;Clpfm;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;Cltlrn;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;Co;NL11_1_1;OM;OW;1712-0048
NL87_AMSDM;Cr;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;Cu;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;cypmtn;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;Daznn;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;DC4ySn;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;Dcfl;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;DClC1a;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;DClppP;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;DClvs;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;DEHP;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;Dmtat;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;dmtn;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;DmtnmdP;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;Durn;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;endsfn;NL11_1_1;TT;OW;1712-0048
NL87_AMSDM;esfvlrt;NL11_1_1;TT;OW;1712-0048
NL11_Amstellandboezem;Fen;NL11_1_1;TT;OW;1712-0048
