HoortBijGeoobject.identificatie;GHPR;gebied;Gbdafk;Doel;bronddoel;HandelingsperspectiefWBP;Doel_2022
NL11_VaartenAmsterdam;Fytoplankton-kwaliteit  ;1000-EAG-1;BzmADM,O;0.6;KRW_2016;;
NL11_VaartenAmsterdam;Macrofauna-kwaliteit ;1000-EAG-1;BzmADM,O;0.6;KRW_2016;;
NL11_VaartenAmsterdam;Overige waterflora-kwaliteit ;1000-EAG-1;BzmADM,O;0.6;KRW_2016;;
NL11_VaartenAmsterdam;Vis-kwaliteit ;1000-EAG-1;BzmADM,O;0.6;KRW_2016;;
NL11_VaartenAmsterdam;Vis-kwaliteit ;1000-EAG-2;BzmADM,O;0.6;KRW_2016;;
NL11_VaartenAmsterdam;Vis-kwaliteit ;1000-EAG-4;BzmADM,O;0.6;KRW_2016;;
OvWa_1010-EAG-1_Erasmusp;Overige waterflora-kwaliteit ;1010-EAG-1;Erasmusprk;;;;
NL11_OvWa_1010-EAG-1_Erasmusp;Overige waterflora-kwaliteit ;1010-EAG-1;Erasmusprk;;;;
OvWa_1020-EAG-1_Westerpa;Overige waterflora-kwaliteit ;1020-EAG-1;Wrprk;;;;
NL11_OvWa_1020-EAG-1_Westerpa;Overige waterflora-kwaliteit ;1020-EAG-1;Wrprk;;;;
OvWa_1050-EAG-1_SP_Zuid_;Overige waterflora-kwaliteit ;1050-EAG-1;SPZ;;;;
NL11_OvWa_1050-EAG-1_SP_Zuid_;Overige waterflora-kwaliteit ;1050-EAG-1;SPZ;;;;
OvWa_1060-EAG-1_Vondelpa;Overige waterflora-kwaliteit ;1060-EAG-1;Vondelprk;;;;
NL11_OvWa_1060-EAG-1_Vondelpa;Overige waterflora-kwaliteit ;1060-EAG-1;Vondelprk;;;;
NL11_VaartenAmsterdam;Fytoplankton-kwaliteit  ;2000-EAG-1;BzAmslW,N;0.6;KRW_2016;;
NL11_VaartenAmsterdam;Macrofauna-kwaliteit ;2000-EAG-1;BzAmslW,N;0.6;KRW_2016;;
NL11_VaartenAmsterdam;Overige waterflora-kwaliteit ;2000-EAG-1;BzAmslW,N;0.6;KRW_2016;;
NL11_VaartenAmsterdam;Vis-kwaliteit ;2000-EAG-1;BzAmslW,N;0.6;KRW_2016;;
NL11_VaartenAmsterdam;Vis-kwaliteit ;2000-EAG-1;BzAmslW,N;0.6;KRW_2016;;
NL11_Amstellandboezem;Fytoplankton-kwaliteit  ;2000-EAG-2;BzAmslW,NW;0.6;KRW_2016;;
NL11_Amstellandboezem;Macrofauna-kwaliteit ;2000-EAG-2;BzAmslW,NW;0.6;KRW_2016;;
NL11_Amstellandboezem;Overige waterflora-kwaliteit ;2000-EAG-2;BzAmslW,NW;0.6;KRW_2016;;
NL11_Amstellandboezem;Vis-kwaliteit ;2000-EAG-2;BzAmslW,NW;0.6;KRW_2016;;
NL11_Amstellandboezem;Vis-kwaliteit ;2000-EAG-2;BzAmslW,NW;0.6;KRW_2016;;
NL11_Amstellandboezem;Fytoplankton-kwaliteit  ;2000-EAG-3;BzAmslW,NO;0.6;KRW_2016;;
NL11_Amstellandboezem;Macrofauna-kwaliteit ;2000-EAG-3;BzAmslW,NO;0.6;KRW_2016;;
NL11_Amstellandboezem;Overige waterflora-kwaliteit ;2000-EAG-3;BzAmslW,NO;0.6;KRW_2016;;
NL11_Amstellandboezem;Vis-kwaliteit ;2000-EAG-3;BzAmslW,NO;0.6;KRW_2016;;
NL11_Amstellandboezem;Fytoplankton-kwaliteit  ;2000-EAG-4;BzAmslW,O;0.6;KRW_2016;;
NL11_Amstellandboezem;Macrofauna-kwaliteit ;2000-EAG-4;BzAmslW,O;0.6;KRW_2016;;
NL11_Amstellandboezem;Overige waterflora-kwaliteit ;2000-EAG-4;BzAmslW,O;0.6;KRW_2016;;
NL11_Amstellandboezem;Vis-kwaliteit ;2000-EAG-4;BzAmslW,O;0.6;KRW_2016;;
NL11_Amstellandboezem;Vis-kwaliteit ;2000-EAG-4;BzAmslW,O;0.6;KRW_2016;;
NL11_Amstellandboezem;Fytoplankton-kwaliteit  ;2000-EAG-5;BzAmslW,mid;0.6;KRW_2016;;
NL11_Amstellandboezem;Macrofauna-kwaliteit ;2000-EAG-5;BzAmslW,mid;0.6;KRW_2016;;
NL11_Amstellandboezem;Overige waterflora-kwaliteit ;2000-EAG-5;BzAmslW,mid;0.6;KRW_2016;;
NL11_Amstellandboezem;Vis-kwaliteit ;2000-EAG-5;BzAmslW,mid;0.6;KRW_2016;;
NL11_Amstellandboezem;Fytoplankton-kwaliteit  ;2000-EAG-6;BzAmslW,W;0.6;KRW_2016;;
NL11_Amstellandboezem;Macrofauna-kwaliteit ;2000-EAG-6;BzAmslW,W;0.6;KRW_2016;;
NL11_Amstellandboezem;Overige waterflora-kwaliteit ;2000-EAG-6;BzAmslW,W;0.6;KRW_2016;;
NL11_Amstellandboezem;Vis-kwaliteit ;2000-EAG-6;BzAmslW,W;0.6;KRW_2016;;
NL11_Amstellandboezem;Fytoplankton-kwaliteit  ;2000-EAG-7;BzAmslW,Z;0.6;KRW_2016;;
NL11_Amstellandboezem;Macrofauna-kwaliteit ;2000-EAG-7;BzAmslW,Z;0.6;KRW_2016;;
NL11_Amstellandboezem;Overige waterflora-kwaliteit ;2000-EAG-7;BzAmslW,Z;0.6;KRW_2016;;
NL11_Amstellandboezem;Vis-kwaliteit ;2000-EAG-7;BzAmslW,Z;0.6;KRW_2016;;
NL11_Amstellandboezem;Vis-kwaliteit ;2000-EAG-7;BzAmslW,Z;0.6;KRW_2016;;
NL11_Amstellandboezem;Macrofauna-kwaliteit ;2000-EAG-8;;0.6;KRW_2016;;
NL11_Amstellandboezem;Overige waterflora-kwaliteit ;2000-EAG-8;;0.6;KRW_2016;;
OvWa_2010-EAG-1_Diemerpo;Overige waterflora-kwaliteit ;2010-EAG-1;DiemerP,Dm-N;;;;
NL11_OvWa_2010-EAG-1_Diemerpo;Overige waterflora-kwaliteit ;2010-EAG-1;DiemerP,Dm-N;;;;
OvWa_2010-EAG-2_Diemerpo;Overige waterflora-kwaliteit ;2010-EAG-2;DiemerP,Dm;;;;
NL11_OvWa_2010-EAG-2_Diemerpo;Overige waterflora-kwaliteit ;2010-EAG-2;DiemerP,Dm;;;;
OvWa_2020-EAG-1_Flevopar;Overige waterflora-kwaliteit ;2020-EAG-1;Flevoprk;;;;
NL11_OvWa_2020-EAG-1_Flevopar;Overige waterflora-kwaliteit ;2020-EAG-1;Flevoprk;;;;
OvWa_2030-EAG-1_Sarphati;Overige waterflora-kwaliteit ;2030-EAG-1;Sarphatiprk;;;;
NL11_OvWa_2030-EAG-1_Sarphati;Overige waterflora-kwaliteit ;2030-EAG-1;Sarphatiprk;;;;
OvWa_2040-EAG-1_Oosterpa;Overige waterflora-kwaliteit ;2040-EAG-1;OOerprk;;;;
NL11_OvWa_2040-EAG-1_Oosterpa;Overige waterflora-kwaliteit ;2040-EAG-1;OOerprk;;;;
OvWa_2050-EAG-1_Atekpold;Overige waterflora-kwaliteit ;2050-EAG-1;AtekP;;;;
NL11_OvWa_2050-EAG-1_Atekpold;Overige waterflora-kwaliteit ;2050-EAG-1;AtekP;;;;
OvWa_2100-EAG-1_Binnendi;Overige waterflora-kwaliteit ;2100-EAG-1;BinndijkseBuitvelderseP;0.559;handelingsperspectief_score2008-2014;0.11;
NL11_OvWa_2100-EAG-1_Binnendi;Overige waterflora-kwaliteit ;2100-EAG-1;BinndijkseBuitvelderseP;0.5594;handelingsperspectief_score2008-2014;0.11;
OvWa_2110-EAG-1_Middelpo;Overige waterflora-kwaliteit ;2110-EAG-1;MiPAmsvbmlgbd;0.5815;handelingsperspectief_score2008-2014;0.21;
NL11_OvWa_2110-EAG-1_Middelpo;Overige waterflora-kwaliteit ;2110-EAG-1;MiPAmsvbmlgbd;0.579;handelingsperspectief_score2008-2014;0.21;
OvWa_2110-EAG-2_Middelpo;Overige waterflora-kwaliteit ;2110-EAG-2;AmseBos;0.625;handelingsperspectief_score2008-2014;0.21;
NL11_OvWa_2110-EAG-2_Middelpo;Overige waterflora-kwaliteit ;2110-EAG-2;AmseBos;0.625;handelingsperspectief_score2008-2014;0.21;
OvWa_2110-EAG-3_Middelpo;Overige waterflora-kwaliteit ;2110-EAG-3;MiPAmsvbvnland;0.476666667;handelingsperspectief_score2008-2014;0.21;
NL11_OvWa_2110-EAG-3_Middelpo;Overige waterflora-kwaliteit ;2110-EAG-3;MiPAmsvbvnland;0.471363636;handelingsperspectief_score2008-2014;0.21;
OvWa_2110-EAG-4_Middelpo;Overige waterflora-kwaliteit ;2110-EAG-4;MiPAmsvNtrGeb;0.396;handelingsperspectief_score2008-2014;0.21;
NL11_OvWa_2110-EAG-4_Middelpo;Overige waterflora-kwaliteit ;2110-EAG-4;MiPAmsvNtrGeb;0.399833333;handelingsperspectief_score2008-2014;0.21;
OvWa_2110-EAG-5_Middelpo;Overige waterflora-kwaliteit ;2110-EAG-5;MiPAmsvbebGbd;0.393;handelingsperspectief_score2008-2014;0.21;
NL11_OvWa_2110-EAG-5_Middelpo;Overige waterflora-kwaliteit ;2110-EAG-5;MiPAmsvbebGbd;0.393142857;handelingsperspectief_score2008-2014;0.21;
OvWa_2110-EAG-6_Middelpo;Overige waterflora-kwaliteit ;2110-EAG-6;MiPAmsvlndsprtpk;0.521;handelingsperspectief_score2008-2014;0.21;
NL11_OvWa_2110-EAG-6_Middelpo;Overige waterflora-kwaliteit ;2110-EAG-6;MiPAmsvlndsprtpk;0.508428571;handelingsperspectief_score2008-2014;0.21;
NL11_VaartenWesteramstel;Fytoplankton-kwaliteit  ;2110-EAG-8;;0.6;KRW_2016;;
NL11_VaartenWesteramstel;Macrofauna-kwaliteit ;2110-KRW-1;;0.6;KRW_2016;;
NL11_VaartenWesteramstel;Overige waterflora-kwaliteit ;2110-KRW-1;;0.6;KRW_2016;;
OvWa_2120-EAG-1_Bovenker;Overige waterflora-kwaliteit ;2120-EAG-1;BKP,lnd;0.52;WGP_Westeramstel;0.1125;
NL11_OvWa_2120-EAG-1_Bovenker;Overige waterflora-kwaliteit ;2120-EAG-1;BKP,lnd;0.52;WGP_Westeramstel;0.1125;
OvWa_2120-EAG-2_Bovenker;Overige waterflora-kwaliteit ;2120-EAG-2;BKP,AmsdijkZ;0.52;WGP_Westeramstel;0.1125;
NL11_OvWa_2120-EAG-2_Bovenker;Overige waterflora-kwaliteit ;2120-EAG-2;BKP,AmsdijkZ;0.52;WGP_Westeramstel;0.1125;
OvWa_2120-EAG-3_Bovenker;Overige waterflora-kwaliteit ;2120-EAG-3;BKP,Amsvn;0.52;WGP_Westeramstel;0.1125;
NL11_OvWa_2120-EAG-3_Bovenker;Overige waterflora-kwaliteit ;2120-EAG-3;BKP,Amsvn;0.52;WGP_Westeramstel;0.1125;
NL11_VaartenWesteramstel;Fytoplankton-kwaliteit  ;2120-EAG-4;;0.6;KRW_2016;;
NL11_VaartenWesteramstel;Macrofauna-kwaliteit ;2120-KRW-1;;0.6;KRW_2016;;
NL11_VaartenWesteramstel;Overige waterflora-kwaliteit ;2120-KRW-1;;0.6;KRW_2016;;
OvWa_2130-EAG-1_Noorder_;Overige waterflora-kwaliteit ;2130-EAG-1;NdrLgmrP,lnd;0.53;WGP_Westeramstel;0.07;
NL11_OvWa_2130-EAG-1_Noorder_;Overige waterflora-kwaliteit ;2130-EAG-1;NdrLgmrP,lnd;0.53;WGP_Westeramstel;0.07;
OvWa_2130-EAG-2_Noorder_;Overige waterflora-kwaliteit ;2130-EAG-2;NdrLgmrP,bvnkerk;0.53;WGP_Westeramstel;0.07;
NL11_OvWa_2130-EAG-2_Noorder_;Overige waterflora-kwaliteit ;2130-EAG-2;NdrLgmrP,bvnkerk;0.53;WGP_Westeramstel;0.07;
OvWa_2130-EAG-3_Noorder_;Overige waterflora-kwaliteit ;2130-EAG-3;NdrLgmrP,Uithr;0.53;WGP_Westeramstel;0.07;
NL11_OvWa_2130-EAG-3_Noorder_;Overige waterflora-kwaliteit ;2130-EAG-3;NdrLgmrP,Uithr;0.53;WGP_Westeramstel;0.07;
NL11_VaartenWesteramstel;Fytoplankton-kwaliteit  ;2130-EAG-5;;0.6;KRW_2016;;
NL11_VaartenWesteramstel;Macrofauna-kwaliteit ;2130-KRW-1;;0.6;KRW_2016;;
NL11_VaartenWesteramstel;Overige waterflora-kwaliteit ;2130-KRW-1;;0.6;KRW_2016;;
OvWa_2140-EAG-1_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-1;UithrnPmid;0.44;WGP_Westeramstel;;
NL11_OvWa_2140-EAG-1_Uithoorn;Overige waterflora-kwaliteit ;2140-EAG-1;UithrnPmid;0.44;WGP_Westeramstel;;
