GeoObject.code;HoortBijGeoobject.identificatie;GHPR;gebied;Gbdafk;Doel;bronddoel;HandelingsperspectiefWBP;Doel_2022;brondoel_2022;Doel_2022_v2;brondoel_2022_v2
NL11_1_1;NL11_Amstellandboezem;Fytoplankton-kwaliteit  ;2000-EAG-1;BzAmslW,N;0.6;KRW_2021;;0.64;KRW_2027;0.64;KRW_2027
NL11_1_1;NL11_Amstellandboezem;Macrofauna-kwaliteit ;2000-EAG-1;BzAmslW,N;0.6;KRW_2021;;0.47;KRW_2027;0.47;KRW_2027
NL11_1_1;NL11_Amstellandboezem;Vis-kwaliteit ;2000-EAG-1;BzAmslW,N;0.6;KRW_2021;;0.71;KRW_2027;0.71;KRW_2027
NL11_1_1;NL11_Amstellandboezem;Overige waterflora-kwaliteit;2000-EAG-1;BzAmslW,N;0.6;KRW_2021;;0.38;KRW_2027;0.38;KRW_2027
NL11_1_1;NL11_Amstellandboezem;Fytoplankton-kwaliteit  ;2000-EAG-2;BzAmslW,NW;0.6;KRW_2021;;0.64;KRW_2027;0.64;KRW_2027
NL11_1_1;NL11_Amstellandboezem;Macrofauna-kwaliteit ;2000-EAG-2;BzAmslW,NW;0.6;KRW_2021;;0.47;KRW_2027;0.47;KRW_2027
NL11_1_1;NL11_Amstellandboezem;Vis-kwaliteit ;2000-EAG-2;BzAmslW,NW;0.6;KRW_2021;;0.71;KRW_2027;0.71;KRW_2027
NL11_1_1;NL11_Amstellandboezem;Overige waterflora-kwaliteit;2000-EAG-2;BzAmslW,NW;0.6;KRW_2021;;0.38;KRW_2027;0.38;KRW_2027
NL11_1_1;NL11_Amstellandboezem;Fytoplankton-kwaliteit  ;2000-EAG-3;BzAmslW,NO;0.6;KRW_2021;;0.64;KRW_2027;0.64;KRW_2027
NL11_1_1;NL11_Amstellandboezem;Macrofauna-kwaliteit ;2000-EAG-3;BzAmslW,NO;0.6;KRW_2021;;0.47;KRW_2027;0.47;KRW_2027
