"EAG";"jaar";"O1";"O2";"O3";"O4";"O5";"O6";"O7";"O8";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"GAFNAAM";"KRW_SGBP3";"KRWmonitoringslocatie_SGBP3";"SGBP3_NAAM"
"1000-EAG-1";2019;80;7;0;0;12;0;0;0;0;0;0;68;0;15;32;0;15;"Stadsboezem Amsterdam, Oost";"NL11_2_1";"NL11_VaartenAmsterdam";"Vaarten Amsterdam"
"1000-EAG-2";2019;89;0;0;0;11;0;0;0;0;0;0;44;0;0;56;0;0;"Stadsboezem Amsterdam, West";"NL11_2_1";"NL11_VaartenAmsterdam";"Vaarten Amsterdam"
"1000-EAG-3";2019;100;0;0;0;0;0;0;0;0;0;0;100;0;0;17;0;17;"Stadsboezem Amsterdam, stad";"NL11_2_1";"NL11_VaartenAmsterdam";"Vaarten Amsterdam"
"1000-EAG-4";2019;29;57;0;0;14;0;0;0;14;0;0;71;0;14;14;0;14;"Stadsboezem Amsterdam, Zeeburg";"NL11_2_1";"NL11_VaartenAmsterdam";"Vaarten Amsterdam"
"1010-EAG-1";2015;33;33;0;0;0;33;0;0;67;100;0;0;0;100;33;0;0;"Erasmuspark, Erasmuspark";"";"";""
"1020-EAG-1";2018;100;0;0;0;0;0;0;0;0;0;0;73;36;0;27;36;0;"Westerpark, Westerpark";"";"";""
"1030-EAG-1";2019;25;0;0;0;25;25;0;25;0;0;0;0;0;25;100;0;75;"BP Huis Te Vraag, BP Huis Te Vraag";"";"";""
"1050-EAG-1";2019;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;"SP Zuid, SP Zuid";"";"";""
"1060-EAG-1";2015;0;100;0;0;0;0;0;0;0;0;0;25;25;0;100;0;75;"Vondelpark, Vondelpark";"";"";""
"2000-EAG-1";2019;59;14;0;0;18;0;0;9;0;0;0;48;3;21;45;0;31;"Boezem Amstelland-West, Noord";"NL11_1_1";"NL11_Amstellandboezem";"Amstellandboezem"
"2000-EAG-2";2019;33;33;0;0;22;6;0;6;0;0;0;62;0;8;31;0;0;"Boezem Amstelland-West, Noord-West";"NL11_1_1";"NL11_Amstellandboezem";"Amstellandboezem"
"2000-EAG-3";2019;20;40;0;0;20;13;0;7;0;0;3;81;0;0;29;0;5;"Boezem Amstelland-West, Noord-Oost";"NL11_1_1";"NL11_Amstellandboezem";"Amstellandboezem"
"2000-EAG-4";2019;25;20;0;11;20;18;0;5;2;0;8;42;4;10;48;0;10;"Boezem Amstelland-West, Oost";"NL11_1_1";"NL11_Amstellandboezem";"Amstellandboezem"
"2000-EAG-5";2019;11;32;3;3;24;24;0;3;0;0;6;70;0;3;23;0;7;"Boezem Amstelland-West, Midden";"NL11_1_1";"NL11_Amstellandboezem";"Amstellandboezem"
"2000-EAG-6";2019;22;38;0;8;18;2;0;12;0;0;0;85;0;3;12;0;3;"Boezem Amstelland-West, West";"NL11_1_1";"NL11_Amstellandboezem";"Amstellandboezem"
"2000-EAG-7";2019;6;28;0;6;28;28;0;6;0;0;0;23;15;0;54;8;0;"Boezem Amstelland-West, Zuid";"NL11_1_1";"NL11_Amstellandboezem";"Amstellandboezem"
"2010-EAG-1";2018;5;0;0;0;0;55;0;40;24;17;0;28;17;45;0;0;0;"Diemerpolder, Diemen-Noord";"";"";""
"2010-EAG-2";2018;0;12;0;0;0;31;6;50;9;18;0;36;55;0;0;18;0;"Diemerpolder, Diemen";"";"";""
"2020-EAG-1";2015;0;50;25;25;0;0;0;0;0;0;0;50;0;0;50;0;25;"Flevopark, Flevopark";"";"";""
"2030-EAG-1";2015;33;67;0;0;0;0;0;0;33;0;0;67;0;0;0;0;0;"Sarphatipark, Sarphatipark";"";"";""
