fewsid;code;naam;b_datum;e_datum;aquo;aquoid;WNA.oeverplantensoorten;datum;geslacht;author;beschermingsstatus.florafaunawet;WNA.habitatvoorkeur.vis;taxoncode;TWN.taxongroup;WNA.fytoplankton.groep;parentname;levensvorm;WNA.migratiegilde.vis;WNA.zuurstoftolerante.vis;WNA.kroossoorten;WNA.emerse.plantensoorten;check_2;TWN.taxonlevel;WNA.toxische.blauwalg;check1;WNA.reynolds.groep.cyanobacterieen;WNA.nederlandse.soortnaam;status;WNA.plantminnendheid.vis;WNA.fytoplankton.subgroep;refername;alleendrogeoever;WNA.onderwaterplantensoorten;WNA.soorten.met.drijvend.blad;WNA.stromingsgilde.vis;TWN.taxontype
1;Abies;Abies;1-1-1981;;;;1;11-9-2009;Abies;P. Miller 1754;;;ABIE;GYMNO;;Pinaceae;;;;0;0;;Genus;;;;;10;;;;1;0;0;;MACFT
2;Abies alba;Abies alba;1-1-1981;;;;1;17-12-2009;Abies;C. Linnaeus 1753;;;ABIEALBA;GYMNO;;Abies;;;;0;0;;Species;;;;Gewone zilverspar;10;;;;1;0;0;;MACFT
3;Abies concolor;Abies concolor;1-1-1981;;;;1;4-12-2009;Abies;(G. Gordon et R. Glendinning) J. Lindley ex F.H.G. Hildebrand 1861;;;ABIECONC;ANGIO;;Abies;;;;0;0;;Species;;;;;10;;;;1;0;0;;MACFT
4;Abies nordmanniana;Abies nordmanniana;1-1-1981;;;;1;17-12-2009;Abies;(C. von Steven) É. Spach 1841;;;ABIENORD;GYMNO;;Abies;;;;0;0;;Species;;;;Kaukasische zilverspar;10;;;;1;0;0;;MACFT
5;Abies procera;Abies procera;1-1-1981;;;;1;4-12-2009;Abies;A. Rehder 1940;;;ABIEPROC;ANGIO;;Abies;;;;0;0;;Species;;;;;10;;;;1;0;0;;MACFT
6;Abies veitchii;Abies veitchii;1-1-1981;;;;1;21-12-2009;Abies;J. Lindley 1861;;;ABIEVEIT;GYMNO;;Abies;;;;0;0;;Species;;;;Japanse zilverspar;10;;;;1;0;0;;MACFT
7;Abietinaria;Abietinaria;1-1-1981;;;;;13-9-2016;Abietinaria;Kirchenpauer, 1884;;;ABIE;BRHYP;;Sertulariidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
8;Abietinaria abietina;Abietinaria abietina;1-1-1981;;;;;13-9-2016;Abietinaria;(Linnaeus, 1758);;;ABIEABIE;BRHYP;;Abietinaria;;;;;;;Species;;;;;10;;;;;;;;MACEV
9;Ablabesmyia;Ablabesmyia;1-1-1981;;;;;9-6-2009;Ablabesmyia;Johannsen, 1905;;;ABLA;IDCHI;;Tanypodinae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
10;Ablabesmyia longistyla;Ablabesmyia longistyla;1-1-1981;;;;;9-6-2009;Ablabesmyia;Fittkau, 1962;;;ABLALONG;IDCHI;;Ablabesmyia;;;;;;;Species;;;;;10;;;;;;;;MACEV
11;Ablabesmyia monilis;Ablabesmyia monilis;1-1-1981;;;;;9-6-2009;Ablabesmyia;(Linnaeus, 1758);;;ABLAMONI;IDCHI;;Ablabesmyia;;;;;;;Species;;;;;10;;;;;;;;MACEV
12;Ablabesmyia monilis agg.;Ablabesmyia;1-1-1981;31-12-2017;;;;9-6-2009;Ablabesmyia;Johannsen, 1905;;;ABLA;IDCHI;;Tanypodinae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
13;Ablabesmyia monilis gr.;Ablabesmyia;1-1-1981;31-12-2017;;;;9-6-2009;Ablabesmyia;Johannsen, 1905;;;ABLA;IDCHI;;Tanypodinae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
14;Ablabesmyia monilis/longistyla;Ablabesmyia monilis/longistyla;1-1-1981;;;;;25-11-2008;Ablabesmyia;sensu Moller Pillot, 2003;;;ABLAMONL;IDCHI;;Ablabesmyia;;;;;;;Species combi;;;;;80;;;;;;;;MACEV
15;Ablabesmyia monilis/phatta;Ablabesmyia monilis/phatta;1-1-1981;;;;;9-6-2009;Ablabesmyia;sensu Moller Pillot/Langton;;;ABLAMONS;IDCHI;;Ablabesmyia;;;;;;;Species combi;;;;;80;;;;;;;;MACEV
16;Ablabesmyia phatta;Ablabesmyia phatta;1-1-1981;;;;;9-6-2009;Ablabesmyia;(Egger, 1863);;;ABLAPHAT;IDCHI;;Ablabesmyia;;;;;;;Species;;;;;10;;;;;;;;MACEV
17;Ablechroiulus;Ablechroiulus;1-1-1981;;;;;25-11-2008;Ablechroiulus;Andrássy, 1966;;;ABLE;;;Rhabditidae;;;;;;;Genus;;;;;10;;;;;;;;NEMTD
18;Ablechroiulus paraciliatus;Ablechroiulus paraciliatus;1-1-1981;;;;;25-11-2008;Ablechroiulus;(Goodey, 1943);;;ABLEPARA;;;Ablechroiulus;;;;;;;Species;;;;;10;;;;;;;;NEMTD
19;Abludomelita;Abludomelita;1-1-1981;;;;;25-11-2008;Abludomelita;Karaman, 1981;;;ABLU;CRAMP;;Melitidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
20;Abludomelita obtusata;Abludomelita obtusata;1-1-1981;;;;;25-11-2008;Abludomelita;(Montagu, 1813);;;ABLUOBTU;CRAMP;;Abludomelita;;;;;;;Species;;;;;10;;;;;;;;MACEV
21;Abra;Abra;1-1-1981;;;;;5-7-2010;Abra;Leach in Lamarck, 1818;;;ABRA;MOBIV;;Semelidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
22;Abra alba;Abra alba;1-1-1981;;;;;25-11-2008;Abra;(Wood, 1802);;;ABRAALBA;MOBIV;;Abra;;;;;;;Species;;;;;10;;;;;;;;MACEV
23;Abra nitida;Abra nitida;1-1-1981;;;;;25-11-2008;Abra;(O.F. Müller, 1776);;;ABRANITI;MOBIV;;Abra;;;;;;;Species;;;;;10;;;;;;;;MACEV
24;Abra prismatica;Abra prismatica;1-1-1981;;;;;25-11-2008;Abra;(Montagu, 1808);;;ABRAPRIS;MOBIV;;Abra;;;;;;;Species;;;;;10;;;;;;;;MACEV
25;Abra tenuis;Abra tenuis;1-1-1981;;;;;25-11-2008;Abra;(Montagu, 1803);;;ABRATENU;MOBIV;;Abra;;;;;;;Species;;;;;10;;;;;;;;MACEV
26;Abramis;Abramis;1-1-1981;;;;;29-3-2019 11:40;Abramis;G.L.C.F.D. Cuvier, 1816;;;ABRM;;;Cyprinidae;;;;;;;Genus;;;;;10;;;;;;;;VISSN
27;Abramis brama;Abramis brama;1-1-1981;;;;;29-3-2019 11:44;Abramis;(C. Linnaeus, 1758);;TOLE;ABRMBRAM;;;Abramis;;IM;;;;;Species;;;;Brasem;10;;;;;;;EURY;VISSN
28;Abramis leuckartii;Abramis leuckartii;1-1-1981;;;;;11-10-2013;Abramis;J.J. Heckel, 1837;;;ABRMLEUC;;;Abramis;;;;;;;Nothospecies;;;;;10;;;;;;;;VISSN
29;Abyssoninoe;Abyssoninoe;1-1-1981;;;;;11-3-2011;Abyssoninoe;Orensanz, 1990;;;ABYS;APPOL;;Lumbrineridae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
30;Abyssoninoe hibernica;Abyssoninoe hibernica;1-1-1981;;;;;11-3-2011;Abyssoninoe;(McIntosh, 1903);;;ABYSHIBE;APPOL;;Abyssoninoe;;;;;;;Species;;;;;10;;;;;;;;MACEV
31;Acamptocladius;Acamptocladius;1-1-1981;;;;;25-11-2008;Acamptocladius;Brundin, 1956;;;ACAM;IDCHI;;Orthocladiinae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
32;Acamptocladius submontanus;Acamptocladius submontanus;1-1-1981;;;;;25-11-2008;Acamptocladius;(Edwards, 1932);;;ACAMSUBM;IDCHI;;Acamptocladius;;;;;;;Species;;;;;10;;;;;;;;MACEV
