Raster;gebiedsnaam;MP_P;MP_VEC;;;;;;;;
botshol1;Botshol;60198_polder;BOT002;;;;                     ;;                 ;;   
Gaasperplas1;Gaasperplas;60340_Polderpeil;GGP050;;;; ;;        ;;      
Hollands Ankeveense Plassen1;Hollands Ankeveense Plassen;61013_polder_1_meting_1;HAP010;;;;        ;;                 ;;            
Kortenhoefse Plassen1;Kortenhoefse plassen;62015_MP_gemaal_Kortenhoef;PKH050;;;;                  ;;                      ;; 
Loosdrechtse_Plassen1;Loosdrechtse plassen;62150_Polderpeil_1 gemiddeld;MBP014;;;;                         ;;           ;;    
spplas1;Spiegelplas;62042_polder;SBP050;;;;       ;;                      ;;           
Naardermeer1;Naardermeer;70031_Polderpeil;NAP010;;;;                  ;;  ;;
Vinkeveense Kleine plas1;Vinkeveense Kleine plas;60010_vinkeveense_plassen;GWV079;;;;;;;;
Vinkeveense Noordplas1;Vinkeveense Noordplas;60010_vinkeveense_plassen;GWV081;;;;;;;;
Stichts Ankeveense Plassen1;Stichts Ankeveense Plassen;62024_bovenstrooms_stuw_1;SAP010;;;;;;;;
Grote Maarsseveense Plas1;Grote Maarsseveense Plas;70018_Polderpeil;PMW051;;;;;;;;
Loenderveense Plassen1;Loenderveense Plassen;62092_Bovenstroomspeil_stuw;LVO005;;;;;;;;
Wilgenplas;Wilgenplas;62076_polder;PMW053;;;;;;;;
Ouderkerkerplas1;Ouderkerkerplas;61550_polder;HBP050;;;;;;;;
Waterleidingplas1;Waterleidingplas;99999GWA19_Oost;LVO003;;;;;;;;
Tienhovenseplassen;Tienhovenseplassen - grid oud;62150_Polderpeil_gemaal;MBP045;;;;;;;;
Tienhovenseplas;Tienhovenseplassen;62150_Polderpeil_gemaal;MBP045;;;;;;;;
Vuntus1;Vuntus - grid oud;62150_Polderpeil_gemaal;MBP016;;;;;;;;
Vuntus;Vuntus;62150_Polderpeil_gemaal;MBP016;;;;;;;;
Sloterplas1;Sloterplas;64429_polder_1_meting_1;SBP050;;;;;;;;
Wijde Blik1;Wijde Blik;62015_MP_gemaal_Kortenhoef;PKH050;;;;;;;;
Kleine_Maarsseveense_Plas_mNAP1;Kleine Maarsseveense plas;70039_Polderpeil;PMW050;;;;;;;;
TerraNova2016;Terra Nova;;LVE190;;;;;;;;
Loosdr2017;Loosdrechtse plassen;62150_Polderpeil_1 gemiddeld;MBP014;;;;                         ;;           ;;    
