EAG;pol;GAF.x;KRW;watertype;bodem;a_inlaat1;a_inlaat2;a_inlaat3;a_inlaat4;a_inlaat5;a_uitlaat1;a_uitlaat2;a_uitlaat3;a_uitlaat4;a_tot;a_drain;a_verhard;a_gemengd;a_water;a_bodemhoogte;a_slootdiepte;wp_meting_gm3;wp_meting_mgm2d;jaar.x;maand;seiz;w_peil;w_volume;w_debiet;w_berging;w_sluitfout;w_maalstaat;w_i_neerslag;w_i_kwel;w_i_verhard;w_i_riol;w_i_drain;w_i_uitspoel;w_i_afstroom;w_i_inlaat1;w_i_inlaat2;w_i_inlaat3;w_i_inlaat4;w_i_inlaat5;w_o_verdamping;w_o_wegzijg;w_o_intrek;w_o_uitlaat1;w_o_uitlaat2;w_o_uitlaat3;w_o_uitlaat4;w_o_uitlaat5;wp_min_neerslag;wp_min_kwel;wp_min_verhard;wp_min_riol;wp_min_drain;wp_min_uitspoel;wp_min_afstroom;wp_min_inlaat1;wp_min_inlaat2;wp_min_inlaat3;wp_min_inlaat4;wp_min_inlaat5;wp_inc_neerslag;wp_inc_kwel;wp_inc_verhard;wp_inc_riol;wp_inc_drain;wp_inc_uitspoel;wp_inc_afstroom;wp_inc_inlaat1;wp_inc_inlaat2;wp_inc_inlaat3;wp_inc_inlaat4;wp_inc_inlaat5;namen;versie;naam;KRWnaam;agrarisch;p_i_redDAW;wp_min_sum;wp_inc_sum;date;wp_tot_sum;watdteF;watdte;kPDitch;PvskPDitch;Troebel.naar.helder..mg.P.m2.d.;P.load_year..mgP.m2.d.;Helder.naar.troebel..mg.P.m2.d.;lake.ditch.vollenweider;PvskPLake;HoortBijGeoobject.identificatie;KRWwatertype.code.y;Abundantie fytoplankton _Maatlatten2012 Fytoplankton;Abundantie groeivormen macrofyten _Maatlatten2012 Ov. waterflora;Abundantie groeivormen macrofyten _Maatlatten2018 Ov. waterflora;Afwijking Sander lucioperca_Maatlatten2012 Vis;Bedekking Emerse planten_Maatlatten2012 Ov. waterflora;Bedekking Emerse planten_Maatlatten2018 Ov. waterflora;Bedekking Flab (Floating Algae Beds)_Maatlatten2012 Ov. waterflora;Bedekking Flab (Floating Algae Beds)_Maatlatten2018 Ov. waterflora;Bedekking Grote drijfbladplanten_Maatlatten2012 Ov. waterflora;Bedekking Grote drijfbladplanten_Maatlatten2018 Ov. waterflora;Bedekking Kroos_Maatlatten2012 Ov. waterflora;Bedekking Kroos_Maatlatten2018 Ov. waterflora;Bedekking Kruidlaag_Maatlatten2012 Ov. waterflora;Bedekking Kruidlaag_Maatlatten2018 Ov. waterflora;Bedekking som drijfblad- en emerse planten_Maatlatten2012 Ov. waterflora;Bedekking som flab en kroos_Maatlatten2012 Ov. waterflora;Bedekking som submerse planten en draadalgen_Maatlatten2012 Ov. waterflora;Bedekking som submerse planten en draadalgen_Maatlatten2018 Ov. waterflora;Fytoplankton-kwaliteit _Maatlatten2012 Fytoplankton;Macrofauna-kwaliteit _Maatlatten2012 Macrofauna;Massafractie Abramis brama_Maatlatten2012 Vis;Massafractie Visgilde - plantminnende soort (Pm)_Maatlatten2012 Vis;Massafractie Visgilde - plantminnende soort (Pm)_Maatlatten2018 Vis;Massafractie Visgilde - zuurstoftolerante soort (O2)_Maatlatten2012 Vis;Massafractie Visgilde - zuurstoftolerante soort (O2)_Maatlatten2018 Vis;Massafractie Visgroep - baars en blankvoorn (BB)_Maatlatten2012 Vis;Massafractie Visgroep - baars en blankvoorn (BB)_Maatlatten2018 Vis;Massafractie Visgroep - brasem en karper (BK)_Maatlatten2012 Vis;Massafractie Visgroep - brasem en karper (BK)_Maatlatten2018 Vis;Overige waterflora-kwaliteit _Maatlatten2012 Ov. waterflora;Overige waterflora-kwaliteit _Maatlatten2018 Ov. waterflora;Soortensamenstelling fytoplankton _Maatlatten2012 Fytoplankton;Soortensamenstelling macrofyten _Maatlatten2012 Ov. waterflora;Soortensamenstelling macrofyten _Maatlatten2018 Ov. waterflora;Soortensamenstelling macrofyten Helofyten_Maatlatten2018 Ov. waterflora;Soortensamenstelling macrofyten Hydrofyten_Maatlatten2018 Ov. waterflora;Vis-kwaliteit _Maatlatten2012 Vis;Vis-kwaliteit _Maatlatten2018 Vis;Waterdiepte _Maatlatten2012 Ov. waterflora;Waterdiepte _Maatlatten2018 Ov. waterflora;GAF.y;jaar.y;locatie.x;locatie.y;Ca_mg/kg_dg_BS;DICHTHD_kg/l_BS;Fe_mg/kg_dg_BS;Fe_mg/l_ng_BS;Fe_ug/l_nf_PW;GR_%_dg_BS;GRONDST_SOORT_BS;IR_%_BS;MONSDTE_m_BS;MONSDTE_m_PW;MONSDTE_m_E_BS;MONSDTE_m_E_PW;MONSLTE_m_BS;MONSLTE_m_PW;NH4_mgN/l_nf_PW;PO4_mgP/l_nf_PW;Ptot_gP/kg_dg_BS;Ptot_mgP/l_nf_PW;Ptot_mgP/l_ng_BS;Ptot_mgPOlsen/kg_dg_BS;Ptot_mgPOlsen/l_ng_BS;S_mg/l_OPGLT_PW;SLIBDTE_m_BS;SO4_mg/l_PW;Stot_mg/kg_dg_BS;Stot_mg/l_PW;Stot_mg/l_nf_PW;Stot_mg/l_ng_BS;T_oC_BS;WATDTE_m_BS;X_CODNT_m_BS;X_CODNT_m_PW;Y_CODNT_m_BS;Y_CODNT_m_PW;nlvrFW;nlvrDW;nlvrPW;locatie.KRW.watertype;jaar;bedsubmers;draadwieren;FLAB;bedemers;taludhoek;doorzicht;waterdiepte;dieptedoorzicht;CA_mg/l;CA-1_nf_mg/l;CHLFA_ug/l;CL_mg/l;DIEPTE0_m;DIEPTE1_m;DIEPTE2_m;DIEPTE3_m;DIEPTE4_m;DOC_nf_C_mg/l;EXT380_L380nm_/m;EXT440_L440nm_/m;FEO_ug/l;FLUOBIOV_mm3/l;FLUOBLAU_blauwalg_ug/l;FLUOCRYP_cryptofy_ug/l;FLUODIAT_diatomee_ug/l;FLUOGROE_groenalg_ug/l;FLUOHUM_L450-610nm_DIMSLS;FLUOTOT_ug/l;GELDHD_mS/m;GRZS_dg_%;HCO3_HCO3_mg/l;HCO3-1_nf_HCO3_mg/l;KJN_N_mg/l;LICHTINT0_L400-700nm_umol/m2.s;LICHTINT1_L400-700nm_umol/m2.s;LICHTINT2_L400-700nm_umol/m2.s;LICHTINT3_L400-700nm_umol/m2.s;LICHTINT4_L400-700nm_umol/m2.s;MG-1_nf_mg/l;N_nf_N_mg/l;NH3_nf_N_mg/l;NH4_nf_N_mg/l;NO2_nf_N_mg/l;NO3_nf_N_mg/l;NO3NO2_nf_N_mg/l;O2_mg/l;P_P_mg/l;PH_DIMSLS;PO4_nf_P_mg/l;R2_VEC_DIMSLS;REFINT0_L400-700nm_umol/m2.s;REFINT1_L400-700nm_umol/m2.s;REFINT2_L400-700nm_umol/m2.s;REFINT3_L400-700nm_umol/m2.s;REFINT4_L400-700nm_umol/m2.s;S_mg/l;SO4_mg/l;T_oC;TOC_mg/l;VEC_L400-700nm_/m;VOGEL_n;VUIL_DIMSLS;WATDTE_m;ZICHT_m;ZS_mg/l;ZVP_%;ZWEM_n
1000-EAG-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL11_VaartenAmsterdam;M6b;1;0.0624090909090909;0.0483212121212121;;;0.0281818181818182;;;;0.0734242424242424;;;;;0.0814848484848485;;0.0433333333333333;0.0433333333333333;1;;;0;0;;;;;0.799166666666667;0.799166666666667;0.12179696969697;0.0639075757575758;;0.181004545454545;0.0790212121212121;0.139493939393939;0.0488;0.266222222222222;0.266222222222222;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M6b;2008.66666666667;0.416666666666667;;;0.85;;0.766666666666667;1.46666666666667;0.516666666666667;88;102.589285714286;10.8757961783439;454.812834224599;0;0.384210526315789;0.765789473684211;1.16315789473684;1.57894736842105;12.3684210526316;4.6820987654321;1.50092592592593;8.61464968152866;-37.6607594936709;-37.0050632911392;-36.1082278481013;-32.4582278481013;-33.5392405063291;-33.3177215189873;9.46923076923077;203.284946236559;69.2307692307692;;262.345679012346;1.77204301075269;397.068421052632;147.205263157895;69.3631578947368;22.6547368421053;8.70894736842105;;3.39617486338798;0.00521511627906977;0.398657142857143;0.0414825581395349;1.61424418604651;1.60897297297297;6.34818681318681;0.220322580645161;7.77203296703297;0.140479452054795;0.975789473684211;596.342105263158;627.121052631579;701.926315789474;645.81052631579;615.036842105263;;100.153409090909;13.2856043956044;11.375;2.46731578947368;;;2.125;0.984491978609626;10.2235294117647;53.1729281767956;
1000-EAG-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000-EAG-1;M6b;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;0.799166666666667;0.799166666666667;;;;;;;;0.266222222222222;0.266222222222222;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M6b;2008.66666666667;0.416666666666667;;;0.85;;0.766666666666667;1.46666666666667;0.516666666666667;88;102.589285714286;10.8757961783439;454.812834224599;0;0.384210526315789;0.765789473684211;1.16315789473684;1.57894736842105;12.3684210526316;4.6820987654321;1.50092592592593;8.61464968152866;-37.6607594936709;-37.0050632911392;-36.1082278481013;-32.4582278481013;-33.5392405063291;-33.3177215189873;9.46923076923077;203.284946236559;69.2307692307692;;262.345679012346;1.77204301075269;397.068421052632;147.205263157895;69.3631578947368;22.6547368421053;8.70894736842105;;3.39617486338798;0.00521511627906977;0.398657142857143;0.0414825581395349;1.61424418604651;1.60897297297297;6.34818681318681;0.220322580645161;7.77203296703297;0.140479452054795;0.975789473684211;596.342105263158;627.121052631579;701.926315789474;645.81052631579;615.036842105263;;100.153409090909;13.2856043956044;11.375;2.46731578947368;;;2.125;0.984491978609626;10.2235294117647;53.1729281767956;
1000-EAG-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL11_VaartenAmsterdam;M6b;;0.0146666666666667;0.00988888888888889;;;0;;;;0.00133333333333333;;;;;0.00133333333333333;;0.028;0.028;;;;;;;;;;;;0.0406666666666667;0.0134444444444444;;0.0666666666666667;0.0165555555555556;0;0.0248888888888889;;;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M6b;2014;0.1;0;0;0;90;0.85;1.55;0.573333333333333;;;32.75;;;;;;;;;;23.6666666666667;0.633333333333333;2.08333333333333;3.99166666666667;9.03333333333333;11.0333333333333;6.4;25.8166666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000-EAG-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL11_VaartenAmsterdam;M6b;;0.02;0.013;;;0;;;;0;;;;;0;;0.04;0.04;;;;0;0;;;;;1;1;0.01;0.007;;0;0;0;0;0.333;0.333;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M6b;2016;0.5;0.5;0;0;90;0.8;1.8;0.4;;;13.6875;850;;;;;;9.5;;;8.8125;0.175;0.5375;3.4625;4.9375;5.9625;5.025;14.9125;;70;;;1.3;;;;;;;2.3;;;;;0.985;;0.22;;0.13;;;;;;;;131.5;;10.5;;;;;;12.5;;
1000-EAG-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000-EAG-3;M6b;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;1;1;;;;;;;;0.333;0.333;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M6b;2016;0.5;0.5;0;0;90;0.8;1.8;0.4;;;13.6875;850;;;;;;9.5;;;8.8125;0.175;0.5375;3.4625;4.9375;5.9625;5.025;14.9125;;70;;;1.3;;;;;;;2.3;;;;;0.985;;0.22;;0.13;;;;;;;;131.5;;10.5;;;;;;12.5;;
1000-EAG-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL11_VaartenAmsterdam;M6b;;0.0918333333333333;0.113;;;0.2;;;;0;;;;;0.06;;0.1235;0.1395;;;;;;;;;;;;0.213333333333333;0.1475;;0.334666666666667;0.181333333333333;0.544166666666667;0;;;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M6b;2014;0.05;0.05;0;1;82.5;0.85;1.4;0.625;;;3.25;;;;;;;;;;3.25;0.258333333333333;0.858333333333333;0.758333333333333;1.26666666666667;0.983333333333333;2.6;3.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1010-EAG-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL11_OvWa_1010-EAG-1_Erasmusp;M11;;0.368;0.368;;;;;;0.0666666666666667;0.0666666666666667;;;0;0;;;0.702333333333333;0.702333333333333;;;;;;;;;;;;0.226;0.226;;0.0833333333333333;0.0833333333333333;;;;;;;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M10;2006.5;62.5;;;0.3;;0.425;0.5;0.925;;141.30303030303;30.8428571428571;146.651162790698;;;;;;;5.64848484848485;1.75151515151515;9.38571428571429;;;;;;;;119.558139534884;;;493.939393939394;3.57674418604651;;;;;;;3.82790697674419;0.0390232558139535;1.93360465116279;0.0198837209302326;0.234767441860465;0.254883720930233;5.83488372093023;1.42116279069767;7.8953488372093;;;;;;;;;29.530303030303;12.3116279069767;;;;;0.625;1.34883720930233;13.2558139534884;23.3878048780488;
1020-EAG-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL11_OvWa_1020-EAG-1_Westerpa;M11;;0.100666666666667;0.100666666666667;;;;;;0;0;;;0;0;;;0.201333333333333;0.201333333333333;;;;;;;;;;;;0.0836666666666667;0.0836666666666667;;0.0666666666666667;0.0666666666666667;;;;;;;1020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M8;2015;6.9;6.71666666666667;0;0;;0.683333333333333;0.833333333333333;0.863888888888889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1050-EAG-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL11_OvWa_1050-EAG-1_SP_Zuid_;M3;;0.55;0.2;;;0.4;;;;0;;;;;0.9;;0.2;0.2;;;;;;;;;;;;0.275;0.241;;0;0.282;0.747;0.05;;;;;1050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NTB;2016;100;10;0;50;25;0.25;0.3;0.833333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1060-EAG-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL11_OvWa_1060-EAG-1_Vondelpa;M11;;0.11575;0.11575;;;;;;0.2625;0.2625;;;0;0;;;0.05;0.05;;;;;;;;;;;;0.17275;0.17275;;0.264875;0.264875;;;;;;;1060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M10;2006.5;0;;;2.55;;0.475;0.65;0.756944444444444;;130.272727272727;35.4857142857143;252.325581395349;;;;;;;6.09393939393939;1.84242424242424;14.5428571428571;;;;;;;;145.558139534884;;;424.545454545455;2.29767441860465;;;;;;;2.62093023255814;0.00697674418604651;0.41406976744186;0.022093023255814;0.308837209302326;0.32593023255814;5.79302325581395;0.899302325581395;7.8906976744186;;;;;;;;;49.2424242424242;12.553488372093;;;;;0.675;0.630232558139535;10.4883720930233;-1.21428571428571;
