locatie.EAG;jaar;maand;fewsparameter;meetwaarde;locatie.afaanvoergebied
;2009;1;EXT380;5.6;
;2009;2;EXT380;2.65;
;2009;3;EXT380;2.45;
;2009;4;EXT380;2.85;
;2009;5;EXT380;2.1;
;2009;6;EXT380;1.2;
;2009;7;EXT380;1.25;
;2009;8;EXT380;0.95;
;2009;9;EXT380;0.6;
;2009;10;EXT380;1.5;
;2009;11;EXT380;3.15;
;2009;12;EXT380;2.85;
;2010;2;EXT380;2.73;
;2010;3;EXT380;4.37833333333333;
;2010;4;EXT380;3.088;
;2010;5;EXT380;2.852;
;2010;6;EXT380;2.912;
;2010;7;EXT380;3.052;
;2010;8;EXT380;2.722;
;2010;9;EXT380;5.872;
;2010;10;EXT380;3.21666666666667;
;2010;11;EXT380;4.56;
;2010;12;EXT380;3.85;
;2011;1;EXT380;4.875;
;2011;2;EXT380;2.8;
;2011;3;EXT380;4.4;
;2011;4;EXT380;3.66;
;2011;5;EXT380;2.75;
;2011;6;EXT380;2.62;
;2011;7;EXT380;3.34;
;2011;8;EXT380;4.06;
;2011;9;EXT380;4.275;
;2011;10;EXT380;5.2;
;2011;11;EXT380;2.9;
;2011;12;EXT380;4.32;
;2012;1;EXT380;5.525;
;2012;2;EXT380;2.92857142857143;
;2012;3;EXT380;3.475;
;2012;4;EXT380;2.65714285714286;
;2012;5;EXT380;3.15;
;2012;6;EXT380;2.51428571428571;
;2012;7;EXT380;3.35714285714286;
;2012;8;EXT380;5.4;
;2012;9;EXT380;3.375;
;2012;10;EXT380;3.8;
;2012;11;EXT380;1.2;
;2012;12;EXT380;4.42857142857143;
;2013;1;EXT380;5.5;
;2013;2;EXT380;3.96;
;2013;3;EXT380;4.225;
;2013;4;EXT380;2.98;
;2013;5;EXT380;4.12;
;2013;6;EXT380;3.53333333333333;
;2013;7;EXT380;3.02;
;2013;8;EXT380;2.76;
;2013;9;EXT380;3.2;
;2013;10;EXT380;3.9;
;2013;11;EXT380;5.25;
;2013;12;EXT380;3.56;
;2014;1;EXT380;4.44;
;2014;2;EXT380;5.2;
;2014;3;EXT380;4.4;
;2014;4;EXT380;3.66666666666667;
;2014;5;EXT380;4.5;
;2014;6;EXT380;2.98571428571429;
;2014;7;EXT380;4.23333333333333;
;2014;8;EXT380;5.18333333333333;
;2014;9;EXT380;3.8;
;2014;10;EXT380;3.475;
;2014;11;EXT380;4.1;
;2014;12;EXT380;3.2;
;2015;1;EXT380;4.12;
;2015;2;EXT380;3.6;
;2015;3;EXT380;3.82;
;2015;4;EXT380;3.21666666666667;
;2015;5;EXT380;3.42;
;2015;6;EXT380;3.63333333333333;
;2015;7;EXT380;2.73333333333333;
;2015;8;EXT380;3.21666666666667;
;2015;9;EXT380;4.06;
;2015;10;EXT380;3.3;
;2015;11;EXT380;3.8;
;2015;12;EXT380;4.58333333333333;
;2016;1;EXT380;4.375;
;2016;2;EXT380;4.08;
;2016;3;EXT380;4.65;
;2016;4;EXT380;3.56;
;2016;5;EXT380;3.525;
;2016;6;EXT380;3.16;
;2016;7;EXT380;4.52;
;2016;8;EXT380;3.58333333333333;
;2016;9;EXT380;2.8;
;2016;10;EXT380;2.38;
;2016;11;EXT380;3.35;
;2016;12;EXT380;3.06;
;2017;1;EXT380;3.5;
;2017;2;EXT380;3.24;
;2017;3;EXT380;3.925;
;2017;4;EXT380;3.16;
;2017;5;EXT380;3.225;
;2017;6;EXT380;2.18;
;2017;7;EXT380;2.18;
;2017;8;EXT380;2.56;
;2017;9;EXT380;4.95;
;2017;10;EXT380;4.02;
;2017;11;EXT380;4;
;2017;12;EXT380;4.82;
;2018;1;EXT380;4.43333333333333;
;2018;2;EXT380;4;
;2018;3;EXT380;3.36666666666667;
;2018;4;EXT380;4.7;
1000-EAG-1;2009;1;EXT380;5.04;
1000-EAG-1;2009;2;EXT380;6.575;
1000-EAG-1;2009;3;EXT380;5.85;
1000-EAG-1;2009;4;EXT380;5.72;
1000-EAG-1;2009;5;EXT380;4.08;
1000-EAG-1;2009;6;EXT380;4.13333333333333;
1000-EAG-1;2009;7;EXT380;3.2;
1000-EAG-1;2009;8;EXT380;2.76;
1000-EAG-1;2009;9;EXT380;3;
1000-EAG-1;2009;10;EXT380;3;
1000-EAG-1;2009;11;EXT380;3.76;
1000-EAG-1;2009;12;EXT380;6.92;
1000-EAG-1;2010;2;EXT380;6.69666666666667;
1000-EAG-1;2010;3;EXT380;6.89333333333333;
1000-EAG-1;2010;4;EXT380;5.99333333333333;
1000-EAG-1;2010;5;EXT380;4.65333333333333;
1000-EAG-1;2010;6;EXT380;4.08666666666667;
1000-EAG-1;2010;7;EXT380;3.38666666666667;
1000-EAG-1;2010;8;EXT380;3.55333333333333;
1000-EAG-1;2010;9;EXT380;7.64666666666667;
1000-EAG-1;2010;10;EXT380;9.93333333333333;
1000-EAG-1;2010;11;EXT380;9.26666666666667;
1000-EAG-1;2010;12;EXT380;8.9;
1000-EAG-1;2011;1;EXT380;6.94285714285714;
1000-EAG-1;2011;2;EXT380;8.6;
1000-EAG-1;2011;3;EXT380;6.5;
1000-EAG-1;2011;4;EXT380;4.34;
1000-EAG-1;2011;5;EXT380;3.76666666666667;
1000-EAG-1;2011;6;EXT380;2.9;
1000-EAG-1;2011;7;EXT380;3.46;
1000-EAG-1;2011;8;EXT380;4.78;
1000-EAG-1;2011;9;EXT380;4.76666666666667;
1000-EAG-1;2011;10;EXT380;5;
1000-EAG-1;2011;11;EXT380;4.675;
1000-EAG-1;2011;12;EXT380;3.675;
1000-EAG-1;2012;1;EXT380;7.76666666666667;
1000-EAG-1;2012;2;EXT380;5.5;
1000-EAG-1;2012;3;EXT380;5.23333333333333;
