gebied;EAGnaam;Diepte_50P (m);Aandeel moeras (-);Strijklengte (m);Debiet (mm/d);inflow_year (m3/y);Extinctie (m);Sedimenttype;Helder naar troebel (mg P/m2/d);Troebel naar helder (mg P/m2/d);lake/ditch/vollenweider;mofologie;systeemgrens;P.load_year (mgP/m2/d)
3100;Naardermeer;1;0.01;967;6.4;;0.5;veen;1.63;0.35;lake;plas dras;afvoergebied;
3300;Muyeveld, Loosdrechtsche Plassen;1.35;0;875;6;;0.5;veen;0.55;0.4;lake - WiBo, surplus Bethune 2018;plassen;afvoergebied;
2140-EAG-3;Uithoornsche Polder, Zijdelmeer;0.922222222;0.01;300;11;;0.5;veen;4.73;2.61;lake;plassen;EAG;
2220-EAG-1;Zuid Bijlmer, Gaasperplas;13;;;13;;0.5;zand;0.690843454;0.345421727;vollenweider;plassen;EAG;
2250-EAG-1;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Ouderkerkerplas;13.5;;;3.67;976050;0.5;veen;0.620909096;0.311;vollenweider;plassen;EAG;
2500-EAG-3;Polder Groot Wilnis Vinkeveen, Kleine plas;2.8;;;9.17;33920180;0.5;veen;0.730931115;0.366;vollenweider;plassen;EAG345;
2500-EAG-4;Polder Groot Wilnis Vinkeveen, Zuidplas;3.02;;;9.17;33920180;0.5;veen;0.730931115;0.366;vollenweider;plassen;EAG345;
2500-EAG-5;Polder Groot Wilnis Vinkeveen, Noordplas;3.77;;;9.17;33920180;0.5;veen;0.730931115;0.366;vollenweider;plassen;EAG345;
2550-EAG-1;Noorderpolder of Botshol (zuid en west), Botshol Kleine- en Groote Wije;1.700210543;0.08;300;23;;0.5;veen;5.81;1;"lake; empirisch";plassen;afvoergebied1;
3100-EAG-1;Naardermeer, Binnezij/Spookgat;1.17;0.01;807;14.4;;0.5;veen;2.1;1;"lake; empirisch";plas dras;EAG;
3100-EAG-2;Naardermeer, Groote Meer Noord;1.13;0.01;807;14.4;;0.5;veen;2.1;1;"lake; empirisch";plas dras;EAG;
3100-EAG-3;Naardermeer, Groote Meer ZO;0.966197655;0.01;807;14.4;;0.5;veen;2.1;1;"lake; empirisch";plas dras;EAG;
