gebied;gebiednaam;gebiednaamkort;toetsgebied;KRWWaterlichaamcode;KRWmonitoringslocatie;KRWWatertypeToetsing;KRWWatertypeWBP;KRWWatertypeVoorstel;KRWWatertypeAlternatiefA;KRWWatertypeAlternatiefB;Opmerking1;Opmerking2;OppervlakLandWater;OmtrekWater;OppervlakWater;OppmerkingOpp
3???;NVT;NVT;NVT;NVT;NVT;;;;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;178544;5234;7453;
5000;NVT;NVT;NVT;NVT;NVT;nvt;nvt;nvt;nvt;nvt;nvt;niet meenemen in toetsing;74820612;82790;472601;
8000;NVT;NVT;NVT;NVT;NVT;M6b;;M6b;;;;niet meenemen in toetsing;;21207;220804;
9999_3;NVT;NVT;NVT;NVT;NVT;nvt;nvt;nvt;nvt;nvt;nvt;niet meenemen in toetsing;461228;67;63;
9999_3-EAG-1;NVT;NVT;NVT;NVT;NVT;nvt;nvt;nvt;nvt;nvt;nvt;niet meenemen in toetsing;461228;67;63;
9999_4;NVT;NVT;NVT;NVT;NVT;nvt;nvt;nvt;nvt;nvt;nvt;niet meenemen in toetsing;35885;1188;7765;
9999_4-EAG-1;NVT;NVT;NVT;NVT;NVT;nvt;nvt;nvt;nvt;nvt;nvt;niet meenemen in toetsing;35885;1188;7765;
9999-2;NVT;NVT;NVT;NVT;NVT;nvt;nvt;nvt;nvt;nvt;nvt;KRWWaterTypes en Opmerking1 overgenomen uit 2016;203805;16;0;
3230-EAG-2;Polder Kortenhoef, Wijde Blik;Polder K;NL11_WijdeBlik;NL11_3_7;NL11_WijdeBlik;M20;M20;M20;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;4015115;54234;2930739;
3310-EAG-2;Loenderveen (GWA), Waterleidingplas;Loenderv;NL11_Waterleidingplas;NL11_3_9;NL11_Waterleidingplas;M20;M20;M20;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1336314;7459;1239669;
2500-EAG-4;Polder Groot Wilnis Vinkeveen, Zuidplas;Polder G;NL11_Vinkeveenseplassen;NL11_3_4;NL11_Vinkeveenseplassen;M20;M20;M20;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;3733467;49452;3230141;
2500-EAG-5;Polder Groot Wilnis Vinkeveen, Noordplas;Polder G;NL11_Vinkeveenseplassen;NL11_3_4;NL11_Vinkeveenseplassen;M20;M20;M20;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;8586666;225853;6285070;
2500-EAG-3;Polder Groot Wilnis Vinkeveen, Kleine plas;Polder G;NL11_Vinkeveenseplassen;NL11_3_4;NL11_Vinkeveenseplassen;M20;M20;M20;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;841875;21621;614342;
3000-EAG-1;Vechtboezem, Vecht;Vechtboe;NL11_Vecht;NL11_1_2;NL11_Vecht;M7b;M7b;M7b;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;6636328;179053;3297732;
2600-KRW-1;NVT;NVT;NL11_VaartenZevenhoven;NL11_2_4;NL11_VaartenZevenhoven;M10;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;;70783;14755;Overgenomen uit WBP_KRW
2110-KRW-1;NVT;NVT;NL11_VaartenWesteramstel;NL11_2_6;NL11_VaartenWesteramstel;M10;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;;15881;3337;Overgenomen uit WBP_KRW
2120-KRW-1;NVT;NVT;NL11_VaartenWesteramstel;NL11_2_6;NL11_VaartenWesteramstel;M10;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;;46616;9959;Overgenomen uit WBP_KRW
2130-KRW-1;NVT;NVT;NL11_VaartenWesteramstel;NL11_2_6;NL11_VaartenWesteramstel;M10;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;;38719;6494;Overgenomen uit WBP_KRW
4250-KRW-1;NVT;NVT;NL11_VaartenVechtstreek;NL11_2_2;NL11_VaartenVechtstreek;M6a;M6a;M6a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;;100092;16297;Overgenomen uit WBP_KRW
4000-EAG-8;'s-Gravelandsche vaartboezem, Zanderijvaarten;'s-Grave;NL11_VaartenVechtstreek;NL11_2_2;NL11_VaartenVechtstreek;M6a;M6a;M6a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2591428;43406;183703;
4000-EAG-6;'s-Gravelandsche vaartboezem, Vesting Naarden;'s-Grave;NL11_VaartenVechtstreek;NL11_2_2;NL11_VaartenVechtstreek;M6a;M6a;M6a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1625306;26829;405337;
4000-EAG-4;'s-Gravelandsche vaartboezem, Naardertrekvaart;'s-Grave;NL11_VaartenVechtstreek;NL11_2_2;NL11_VaartenVechtstreek;M6a;M6a;M6a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1210257;27142;309929;
4000-EAG-7;'s-Gravelandsche vaartboezem, Naarden-Bussum;'s-Grave;NL11_VaartenVechtstreek;NL11_2_2;NL11_VaartenVechtstreek;M6a;M6a;M6a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;720164;25171;129633;
4000-EAG-3;'s-Gravelandsche vaartboezem, Karnemelksloot;'s-Grave;NL11_VaartenVechtstreek;NL11_2_2;NL11_VaartenVechtstreek;M6a;M6a;M6a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;347097;15029;78555;
4000-EAG-2;'s-Gravelandsche vaartboezem, Cruijsbergen;'s-Grave;NL11_VaartenVechtstreek;NL11_2_2;NL11_VaartenVechtstreek;M6a;M6a;M6a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;441308;7804;39744;
4000-EAG-1;'s-Gravelandsche vaartboezem,  's-Gravelandsche Vaart;'s-Grave;NL11_VaartenVechtstreek;NL11_2_2;NL11_VaartenVechtstreek;M6a;M6a;M6a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;442650;14413;130024;
2501-KRW-1;NVT;NVT;NL11_VaartenRondeVenen;NL11_2_3;NL11_VaartenRondeVenen;M10;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;;27067;3748;Overgenomen uit WBP_KRW
2510-KRW-1;NVT;NVT;NL11_VaartenRondeVenen;NL11_2_3;NL11_VaartenRondeVenen;M10;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;;116760;15176;Overgenomen uit WBP_KRW
2510-KRW-2;NVT;NVT;NL11_VaartenRondeVenen;NL11_2_3;NL11_VaartenRondeVenen;M10;M10;M10;;;;deze bestaat niet.;;;;deze bestaat niet.
2400-KRW-1;NVT;NVT;NL11_VaartenRondeHoep;NL11_2_5;NL11_VaartenRondeHoep;M10;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;;62953;14047;Overgenomen uit WBP_KRW
2540-KRW-1;NVT;NVT;NL11_VaartenGrootMijdrec;NL11_2_7;NL11_VaartenGrootMijdrec;M10;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;;83737;11442;Overgenomen uit WBP_KRW
1000-EAG-4;Stadsboezem Amsterdam, Zeeburg;Stadsboe;NL11_VaartenAmsterdam;NL11_2_1;NL11_VaartenAmsterdam;M6b;M6b;M6b;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;573188;10033;181332;
1000-EAG-2;Stadsboezem Amsterdam, West;Stadsboe;NL11_VaartenAmsterdam;NL11_2_1;NL11_VaartenAmsterdam;M6b;M6b;M6b;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2281305;16012;254247;
1000-EAG-3;Stadsboezem Amsterdam, stad;Stadsboe;NL11_VaartenAmsterdam;NL11_2_1;NL11_VaartenAmsterdam;M6b;M6b;M6b;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;374119;6324;81540;
1000-EAG-1;Stadsboezem Amsterdam, Oost;Stadsboe;NL11_VaartenAmsterdam;NL11_2_1;NL11_VaartenAmsterdam;M6b;M6b;M6b;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;15751664;143524;1826036;oppervlaktes en omtrek gesommeerd want oppervlak en omtrek kwam in 4 delen uit GIStool
2000-EAG-1;Boezem Amstelland-West, Noord;Boezem A;NL11_VaartenAmsterdam;NL11_2_1;NL11_VaartenAmsterdam;M6b;M6b;M6b;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;9107714;50722;918873;
2620-EAG-1;Voordijkschepolder, Voordijkschepolder;Voordijk;NL11_Tussenboezemb;NL11_8_2;NL11_Tussenboezemb;M10;M10;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1676544;77102;349173;
