pol;EAG;GAF;KRW;watertype;bodem;a_tot;a_drain;a_verhard;a_gemengd;a_water;a_bodemhoogte;a_slootdiepte;wp_meting_gm3;wp_meting_mgm2d;jaar;maand;seiz;w_peil;w_volume;w_debiet;w_berging;w_sluitfout;w_maalstaat;w_i_neerslag;w_i_kwel;w_i_verhard;w_i_riol;w_i_drain;w_i_uitspoel;w_i_afstroom;w_i_inlaat1;w_i_inlaat2;w_i_inlaat3;w_i_inlaat4;w_i_inlaat5;w_o_verdamping;w_o_wegzijg;w_o_intrek;w_o_uitlaat1;w_o_uitlaat2;w_o_uitlaat3;w_o_uitlaat4;w_o_uitlaat5;wp_min_neerslag;wp_min_kwel;wp_min_verhard;wp_min_riol;wp_min_drain;wp_min_uitspoel;wp_min_afstroom;wp_min_inlaat1;wp_min_inlaat2;wp_min_inlaat3;wp_min_inlaat4;wp_min_inlaat5;wp_inc_neerslag;wp_inc_kwel;wp_inc_verhard;wp_inc_riol;wp_inc_drain;wp_inc_uitspoel;wp_inc_afstroom;wp_inc_inlaat1;wp_inc_inlaat2;wp_inc_inlaat3;wp_inc_inlaat4;wp_inc_inlaat5;namen;versie;naam;KRWnaam;agrarisch;p_i_redDAW;wp_min_sum;wp_inc_sum;watdteF;watdte;kPDitch;wp_tot_sum;PvskPDitch;P.load_year..mgP.m2.d.;Troebel.naar.helder..mg.P.m2.d.;Helder.naar.troebel..mg.P.m2.d.;lake.ditch.vollenweider;PvskPLake
2110-GAF_F002.xlsx;;2110;NL11_2_6;M10;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;part. inlaat + ca 900 m3/d dijkse kwel;waterschapsinlaat opgedrukt;park de Braak;inlaat1;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;part. inlaat + ca 900 m3/d dijkse kwel;waterschapsinlaat opgedrukt;park de Braak;inlaat1;inlaat peilbeheer;;;;;;;;part. inlaat + ca 900 m3/d dijkse kwel;waterschapsinlaat opgedrukt;park de Braak;inlaat1;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
2110-GAF_F002.xlsx;;2110;NL11_2_6;M10;VEEN;999.1624;0;213.4611;150.0001;61.86;-6;0.6;0.415703265;9.647191326;2012;6.5;;-5.41971959;358961.4619;27.68061065;0.338089596;-1411.914677;-13802.35922;1400.971882;123.065;3573.935973;121.4289424;0;9169.229193;1.40E-06;1250;243.4588889;957.0427777;0;284.0930905;1078.754247;0;830.5356954;0;0;0;0;15214.2739;0.04529492;0.079576463;1.155491747;0.098148191;0;5.929019847;2.27E-10;1.414484319;0.19678216;0.464133258;0;0.137775505;0;0;0;0;0;0;0;0;0;0;0;0.321476177;;;;;1;0.592901985;9.520706411;0.321476177;(0,0.3];0.3;14.905;9.842182588;0.660327581;;;;;
2120-GAF_F004.xlsx;;2120;NL11_2_6;M10;VEEN;;;;;;;;;;;;;;;;;;;;;;;;;;Poel en dijkslek;Amstel;Westwijk;Inlaat (sluitfout);inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;Poel en dijkslek;Amstel;Westwijk;Inlaat (sluitfout);inlaat peilbeheer;;;;;;;;Poel en dijkslek;Amstel;Westwijk;Inlaat (sluitfout);inlaat peilbeheer;;;;;;;;;;;;;;;;;;
2120-GAF_F004.xlsx;;2120;NL11_2_6;M10;VEEN;1501.711984;73.55073757;230.3969471;147.063716;99.72390658;-6.3;0.39;0.35755166;7.417528566;2014;6.5;;-5.89109442;407776.6187;27.13807725;0.197244079;-3784.38969;-21370.91533;2360.350183;263.05158;4131.835841;66.13992442;1250.189736;6683.093975;8631.382584;851.8772862;625;2197.958456;0;2.271237783;1760.848476;0;147.1945555;0;0;0;0;25155.30502;0;0.052755972;0.82865503;0.198969114;0.501460393;4.020957986;5.193167545;0.128135366;0.15668259;0.551010919;0;0.000455505;0;0.052755972;0.82865503;0.132646076;0.250730197;2.010478993;2.596583772;0.141803139;0.282028663;0.110202184;0;0.000378069;;;;;1;0.402095799;11.63225042;6.406262094;(0.3,0.5];0.32;14.38;18.03851251;1.254416726;;;;;
2130-GAF-NLP_2015_V2.xlsx;;2130;NL11_2_6;M10;KLEI;;;;;;;;;;;;;;;;;;;;;;;;;;Legmeerdijksloot;Westwijk;inlaten UHP;Onbekend;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;Legmeerdijksloot;Westwijk;inlaten UHP;Onbekend;inlaat peilbeheer;;;;;;;;Legmeerdijksloot;Westwijk;inlaten UHP;Onbekend;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
2130-GAF-NLP_2015_V2.xlsx;;2130;NL11_2_6;M10;KLEI;1119.537027;0;296.5639803;100.8386499;49.02307195;-6.3;0.45;0.458681104;22.69264793;2012.5;6.5;;-5.829484061;230661.3674;50.45151547;6.66E-14;-3432.568843;-20204.33384;1235.160279;140.4760577;5594.111038;148.2520198;0;5611.142055;5439.861224;424.9785544;3796.464793;914.9367084;1427.5;0;969.8599856;0;126.1200641;0;0;0;0;23636.90268;0;0.057310182;2.282236023;0.907238249;0;6.86755256;6.657919638;0.260068497;1.936060227;1.026486447;0.145594711;0;0;0.057310182;2.282236023;0.604825499;0;3.43377628;3.328959819;0;0;0;0;0;;;;;1;0.686755256;20.14046653;9.707107803;(0.3,0.5];0.4;16.305;29.84757434;1.830578003;;;;;
2220-EAG-1_F001.xlsx;;2220;NL11_3_2;M20;KLEI;;;;;;;;;;;;;;;;;;;;;;;;;;inlaat1;inlaat1;inlaat1;inlaat1;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;inlaat1;inlaat1;inlaat1;inlaat1;inlaat peilbeheer;;;;;;;;inlaat1;inlaat1;inlaat1;inlaat1;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
2220-EAG-1_F001.xlsx;;2220;NL11_3_2;M20;KLEI;272.4074296;18.20774949;20.23083276;0;70.099102;-19;0.6;0.03779891;0.156087764;2014;6.5;;-2.680093349;11440108.01;7.213889527;1.637046938;-2828.482671;0;1775.416634;260.1345807;377.818504;0;221.3319105;1777.341293;0;0;0;0;0;644.8288554;1410.969197;490.693714;328.3632421;0;0;0;0;2828.482671;0;0.371095454;0.269488833;0;0.09472243;0.760640825;0;0;0;0;0;0.183976353;0.050654476;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0.076064083;1.679923895;0.050654476;(0.5,0.7];1;6.58;1.730578371;0.263005831;;;;;
2250-EAG-1_F001.xlsx;2250-EAG-1;;NL11_3_3;M20;KLEI;;;;;;;;;;;;;;;;;;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;uitlaat1;uitlaat2;uitlaat3;uitlaat4;;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;;;;;;;;;;;;;;;;;;
2250-EAG-1_F001.xlsx;2250-EAG-1;;NL11_3_3;M20;KLEI;98;2.5;0;0;73;-20.3;16.3;0.072097501;0.10169465;2014;6.5;;-3.898974974;11972748.27;3.341334591;35.35074882;-961.9222831;0;1848.888368;57.26554272;0;0;30.3311015;120.451984;158.385417;0;0;0;0;223.8518388;1469.359071;34.35932563;8.88432063;0;0;0;0;961.9222831;0;0.078445949;0;0;0.016619782;0.066001087;0.08678653;0;0;0;0;0.045996953;0.050654476;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0.006600109;0.293850301;0.050654476;(0.5,0.7];1.2;6.45;0.344504777;0.053411593;1.013171663;0.311;0.620909096;vollenweider;1.631755227
