pol;EAG;GAF;KRW;watertype;bodem;a_inlaat1;a_inlaat2;a_inlaat3;a_inlaat4;a_inlaat5;a_uitlaat1;a_uitlaat2;a_uitlaat3;a_uitlaat4;a_tot;a_drain;a_verhard;a_gemengd;a_water;a_bodemhoogte;a_slootdiepte;wp_meting_gm3;wp_meting_mgm2d;jaar;maand;seiz;w_peil;w_volume;w_debiet;w_berging;w_sluitfout;w_maalstaat;w_i_neerslag;w_i_kwel;w_i_verhard;w_i_riol;w_i_drain;w_i_uitspoel;w_i_afstroom;w_i_inlaat1;w_i_inlaat2;w_i_inlaat3;w_i_inlaat4;w_i_inlaat5;w_o_verdamping;w_o_wegzijg;w_o_intrek;w_o_uitlaat1;w_o_uitlaat2;w_o_uitlaat3;w_o_uitlaat4;w_o_uitlaat5;wp_min_neerslag;wp_min_kwel;wp_min_verhard;wp_min_riol;wp_min_drain;wp_min_uitspoel;wp_min_afstroom;wp_min_inlaat1;wp_min_inlaat2;wp_min_inlaat3;wp_min_inlaat4;wp_min_inlaat5;wp_inc_neerslag;wp_inc_kwel;wp_inc_verhard;wp_inc_riol;wp_inc_drain;wp_inc_uitspoel;wp_inc_afstroom;wp_inc_inlaat1;wp_inc_inlaat2;wp_inc_inlaat3;wp_inc_inlaat4;wp_inc_inlaat5;namen;versie;naam;KRWnaam;agrarisch;p_i_redDAW;wp_min_sum;wp_inc_sum;wp_tot_sum;watdteF;watdte;kPDitch;PvskPDitch;Troebel.naar.helder..mg.P.m2.d.;P.load_year..mgP.m2.d.;Helder.naar.troebel..mg.P.m2.d.;lake.ditch.vollenweider;PvskPLake
2100-GAF_F001.xlsx;;;;M3;KLEI;inlaat;grondwatertoestroom;;;inlaat peilbeheer;;uitlaat2;uitlaat3;uitlaat4;701.26577523513;0;357.958083705499;0;36.2410633879001;-3.1;1.08;0.31027625246943;20.457409519766;2011.77777777778;6.16666666666667;;-2.00027865727414;398550.708907545;56.865502414689;-0.0409337707251807;2016.55764924325;-21722.0504164916;951.406603565836;72.4821267758003;7087.84800643149;0;0;4077.17295276247;0;7419.75308641975;1000;0;0;0;702.104824856521;72.4821267758003;128.542123303976;0;0;0;0;19705.4927672483;0;0.08;7.82300224534572;0;0;6.7500882782436;0;6.14199948302041;1.10372037298869;0;0;0;0.0525043425675795;0.04;39.1150112267286;0;0;6.7500882782436;0;4.09466632201361;1.24168541961228;0;0;0;;;;;0;0.67500882782436;21.8988103795984;51.2939555891657;73.1927659687641;;;;;;;;;
2120-GAF_F002.xlsx;;;;M1a;KLEI;Poel en dijkslek;Amstel;Westwijk;Inlaat (sluitfout);inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;1501.71198426781;73.5507375728607;230.396947081375;147.063715975571;99.7239065795898;-6.3;0.39;0.377498451395142;9.10055406821748;2012.5;6.5;;-5.89142650882817;407445.446645167;30.9691672524023;-1.09166871913236;-3406.53209287893;-25221.8147440862;2594.30932138917;263.051579960633;4538.48298819174;99.2098866343672;1321.3868547393;6479.22319146714;9072.29055630349;1043.81592936081;625;4833.89204836895;0;13.0010628469617;1972.18475942542;0;282.040154152835;0;0;0;0;28628.3468369652;0;0.0527559717590267;0.910209626529135;0.298453670851295;0.530018086960805;3.89829685600778;5.45844474056753;0.157005872287164;0.15668259032281;1.21181876396685;0;0.00260741146087886;0;0.0527559717590267;0.910209626529135;0.198969113900863;0.265009043480402;1.94914842800389;2.72922237028376;0.173753165331129;0.282028662581057;0.242363752793369;0;0.00216415151252945;;;;;1;0.389829685600778;12.6762935907133;6.80562428617517;19.4819178768884;;;;;;;;;
2120-GAF_F003.xlsx;;;;M1a;KLEI;Poel en dijkslek;Amstel;Westwijk;Inlaat (sluitfout);inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;1501.71198426781;73.5507375728607;230.396947081375;147.063715975571;99.7239065795898;-6.3;0.39;0.365995617374684;8.33983798350663;2013.5;6.5;;-5.89248084526312;406394.021163744;29.0145306776612;0.101152883683892;-2296.84443285673;-24042.2797412058;2655.3939557745;263.051579960633;4648.31532064406;74.4074149757754;1357.67535359114;6526.99883949546;9344.26285767337;583.361947020609;625;2472.70326246719;0;16.4875458621813;1980.95453576793;0;247.680520518173;0;0;0;0;26339.1241740625;0;0.0527559717590267;0.932236908896912;0.223840253138471;0.544573673518327;3.9270416071915;5.62207990731833;0.0877465545167488;0.15668259032281;0.619887283620833;0;0.00330663858400344;0;0.0527559717590267;0.932236908896912;0.149226835425647;0.272286836759163;1.96352080359575;2.81103995365916;0.0971061869985354;0.282028662581057;0.123977456724167;0;0.00274451002472285;;;;;1;0.39270416071915;12.170151388867;6.68692412642415;18.8570755152911;;;;;;;;;
2130-GAF_F001.xlsx;;;;M1a;KLEI;Legmeerdijksloot;Westwijk;inlaten UHP;Onbekend;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;1119.53702679443;0;296.563980311203;100.838649894714;49.0230719493866;-6.3;0.45;0.457676612138534;22.4026815221729;2012.46478873239;6.42253521126761;;-5.82947679407321;230664.929780051;50.5968294185763;6.75475089731098e-14;-3497.99674928534;-20194.7069522258;1252.55690264507;140.476057683563;5672.90133392622;150.340076394893;0;5591.47162812064;5516.4789879123;423.921914284371;3688.37284686072;923.022877360597;1444.57746478873;0;983.519985392425;0;127.896403073559;0;0;0;0;23692.7037015111;0;0.0573101815523093;2.3143801921606;0.920016252042164;0;6.84347765953162;6.75169315412269;0.259421878777025;1.88093723026412;1.03555848779216;0.147336489467671;0;0;0.0573101815523093;2.3143801921606;0.613344168028109;0;3.42173882976581;3.37584657706135;0;0;0;0;0;;;;;1;0.684347765953161;20.2101315257104;9.78261994856817;29.9927514742785;;;;;;;;;
2140-GAF_F001.xlsx;;;;M10;VEEN;Bilderdam;Inlaten Amstel + dijkse kwel;gemiste inlaat;inlaat4;inlaat peilbeheer;uitlaten ZLP;uitlaat2;uitlaat3;uitlaat4;184.270934523773;0;5.98064751396179;0;33.2834876819611;-2.35;0.55;0.390123997269159;5.88195570623897;2012.5;6.5;;-1.83586640513733;171121.591714942;20.8585063217506;0.267944543369426;-50.0580057195015;-4973.20143914498;863.338655040629;0;117.068410887339;0;0;711.952664053311;36.2705277250685;4571.49257063845;625;4.13579691022041;0;13.1797569859197;658.767445032446;339.491574356003;171.187862531379;750;0;0;0;5023.25944486448;0.0518778959278681;0;0.0703462401572701;0;0;1.28343400341276;0.0871796323069263;2.06025249561636;0.75112320676506;0.00310649303773379;0;0.00989962133164825;0.0259389479639341;0;0.0703462401572701;0;0;0.641717001706381;0.0435898161534631;0;0;0;0;0;;;;;1;0.128343400341276;4.31721958855563;0.781592005981048;5.09881159453668;;;;;;;;;
2210-GAF_F002.xlsx;;;;M30;KLEI;inlaat1;inlaat1;inlaat1;inlaat1;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;615.040103;170.765731586809;230.300234449153;0;45.6370524700149;-4.8;0.6;0.316469155911036;10.1888765896128;2012.38888888889;6.36111111111111;;-4.14282766537223;299914.083172497;33.1820034441357;11.0412223717773;5483.11387665743;-19830.1251632472;1142.93367487189;775.829891990252;4285.85749648817;0;5023.56327341643;3915.1039856356;0;0;0;0;0;0;807.318258184316;0;0;0;0;0;0;14347.0112865898;0;0.34;3.75647178292606;0;4.40305672827323;2.14469590701983;0;0;0;0;0;0;0.0500879707611632;0.509999999999999;18.7823589146303;0;6.60458509240984;0.85787836280793;0;0;0;0;0;0;;;;;0;0.214469590701983;10.6442244182191;26.8049103406092;37.4491347588284;;;;;;;;;
2220-EAG-1_F001a.xlsx;;;;;;inlaat1;inlaat1;Bronbemaling;inlaat1;inlaat peilbeheer;Bronbemaling;uitlaat2;uitlaat3;uitlaat4;272.407429642;18.20774948778;20.2308327642;0;70.099102;-19;0.6;0.0377989099195069;0.172640337014247;2014;6.5;;-2.67810941966389;11441498.7262382;12.2198987177268;1.59817367533741;-3136.42498448891;0;1775.41663375815;3504.9551;377.818504033122;0;221.331910489311;1777.3412932815;0;0;0;397.222222222222;0;511.953602651694;1410.96919727307;3294.657794;328.363242127129;397.222222222222;0;0;0;3136.42498448891;0;5;0.269488833133071;0;0.094722430462509;0.760640825305364;0;0;0;0.226663230135086;0;0.146065666476496;0.0506544758236175;0;0;0;0;0;0;0;0;0;0;0;;;;;;0.0760640825305364;6.49758098551253;0.0506544758236175;6.54823546133615;;;;;;;;;
2250-EAG-1_F001_speelversie.xlsx;;;;;;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;98;2.5;0;0;73;-20.3;16.3;0.0720975007994381;0.103304935944579;2014;6.5;;-3.90119220275362;11971129.6919899;3.48208487173762;1.62333235371877;-992.301896974201;0;1848.88836756204;73;0;0;30.3311014954641;120.451984042589;158.385417028797;0;0;0;0;310.865086239577;1469.35907111811;73;8.88432062986812;0;0;0;0;992.301896974201;0;0.1;0;0;0.0166197816413502;0.0660010871466243;0.0867865298787929;0;0;0;0;0.106460645972458;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0.00660010871466243;0.375868044639225;0;0.375868044639225;;;;;;;;;
2280-EAG_F001.xlsx;;;;M3;KLEI;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;de toekomst;ons lustoort richting Amstel???;Amsteglorie???;uitlaat4;893.112041851204;4.04809126749705;444.320662957539;0;43.9822521439624;-3.2;0.7;0.243726664346763;7.13396546060237;2012.81012658228;6.27848101265823;;-2.53039631882025;294506.779421732;37.8500790872839;15.9901926611156;-13122.8614025433;0;1147.03624595123;65.9733782159435;8549.96636178181;0;34.0569583891419;4516.78288334073;0.363825292650727;1750;0;0;0;733.890750323341;886.989759436141;-241.902386791793;2946.13713722405;99.9746835443038;0;0;0;13122.8614025433;0;0.03;0.194395828885618;0;0.0309733646905273;3.08086739298144;8.27209328571573e-06;0.994719412202855;0;0;0;0.417151643304426;0.0521590500730502;0.045;38.8791657771236;0;0.046460047035791;1.02695579766048;0.000496325597142944;0.397887764881142;0;0;0;0.166860657321771;;;;;1;0.308086739298144;4.74811591415816;40.614985419693;45.3631013338511;;;;;;;;;
2280-GAF_F001.xlsx;;;;M3;KLEI;inlaat1;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;de toekomst;ons lustoort richting Amstel???;Amsteglorie???;uitlaat4;893.112041851204;4.04809126749705;444.320662957539;0;43.9822521439624;-3.2;0.7;0.243726664346763;7.13396546060237;2012.81012658228;6.27848101265823;;-2.53039631882025;294506.779421732;37.8500790872839;15.9901926611156;-13122.8614025433;0;1147.03624595123;65.9733782159435;8549.96636178181;0;34.0569583891419;4516.78288334073;0.363825292650727;1750;0;0;0;733.890750323341;886.989759436141;-241.902386791793;2946.13713722405;99.9746835443038;0;0;0;13122.8614025433;0;0.03;0.194395828885618;0;0.0309733646905273;3.08086739298144;8.27209328571573e-06;0.994719412202855;0;0;0;0.417151643304426;0.0521590500730502;0.045;38.8791657771236;0;0.046460047035791;1.02695579766048;0.000496325597142944;0.397887764881142;0;0;0;0.166860657321771;;;;;0;0.308086739298144;4.74811591415816;40.614985419693;45.3631013338511;;;;;;;;;
