pol;EAG;GAF;KRW;watertype;bodem;a_inlaat1;a_inlaat2;a_inlaat3;a_inlaat4;a_inlaat5;a_uitlaat1;a_uitlaat2;a_uitlaat3;a_uitlaat4;a_tot;a_drain;a_verhard;a_gemengd;a_water;a_bodemhoogte;a_slootdiepte;wp_meting_gm3;wp_meting_mgm2d;jaar;maand;seiz;w_peil;w_volume;w_debiet;w_berging;w_sluitfout;w_maalstaat;w_i_neerslag;w_i_kwel;w_i_verhard;w_i_riol;w_i_drain;w_i_uitspoel;w_i_afstroom;w_i_inlaat1;w_i_inlaat2;w_i_inlaat3;w_i_inlaat4;w_i_inlaat5;w_o_verdamping;w_o_wegzijg;w_o_intrek;w_o_uitlaat1;w_o_uitlaat2;w_o_uitlaat3;w_o_uitlaat4;w_o_uitlaat5;wp_min_neerslag;wp_min_kwel;wp_min_verhard;wp_min_riol;wp_min_drain;wp_min_uitspoel;wp_min_afstroom;wp_min_inlaat1;wp_min_inlaat2;wp_min_inlaat3;wp_min_inlaat4;wp_min_inlaat5;wp_inc_neerslag;wp_inc_kwel;wp_inc_verhard;wp_inc_riol;wp_inc_drain;wp_inc_uitspoel;wp_inc_afstroom;wp_inc_inlaat1;wp_inc_inlaat2;wp_inc_inlaat3;wp_inc_inlaat4;wp_inc_inlaat5;namen;versie;naam;KRWnaam;agrarisch;p_i_redDAW;wp_min_sum;wp_inc_sum;date;wp_tot_sum;watdteF;watdte;kPDitch;PvskPDitch;Troebel.naar.helder..mg.P.m2.d.;P.load_year..mgP.m2.d.;Helder.naar.troebel..mg.P.m2.d.;lake.ditch.vollenweider;PvskPLake
2010-GAF_F002.xlsx;;2010;;M8;VEEN;Doorspoeling;inlaat2;inlaat3;inlaat4;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;330.739230891024;80.2007342441415;149.4535939903;0;20.8841684124404;-2.5;0.5;0.347071935773701;10.9319268881419;2011.7358490566;6.16981132075472;;-1.91596332511706;121971.202772969;31.6735901490777;-0.660463248034438;300.765029981796;-6027.48850207678;527.484770211098;0;2802.87504713389;0;837.018428156675;930.866459976001;16.4515488044563;1500;0;0;0;0.0696547173793283;398.952980716149;41.7683348248807;446.66065811545;0;0;0;0;5726.72347209499;0;0;2.68421034707253;0;1.60316352871025;2.67436971851318;0.0472651296797331;1.43649483223519;0;0;0;8.33822012968399e-05;0.050515276432734;0;26.8421034707253;0;2.40474529306537;2.67436971851318;0.0472651296797331;0.718247416117595;0;0;0;3.33528805187359e-05;;;;;0;0.267436971851318;8.44558693841219;32.7372796574145;2012-03-01 12:33:57;41.1828665958267;(0.3,0.5];0.35;14.675;0.575508479619229;;;;;
2100-GAF_F001.xlsx;;;;M3;KLEI;inlaat;grondwatertoestroom;;;inlaat peilbeheer;;uitlaat2;uitlaat3;uitlaat4;701.26577523513;0;357.958083705499;0;36.2410633879001;-3.1;1.08;0.31027625246943;20.457409519766;2011.77777777778;6.16666666666667;;-2.00027865727414;398550.708907545;56.865502414689;-0.0409337707251807;2016.55764924325;-21722.0504164916;951.406603565836;72.4821267758003;7087.84800643149;0;0;4077.17295276247;0;7419.75308641975;1000;0;0;0;702.104824856521;72.4821267758003;128.542123303976;0;0;0;0;19705.4927672483;0;0.08;7.82300224534572;0;0;6.7500882782436;0;6.14199948302041;1.10372037298869;0;0;0;0.0525043425675795;0.04;39.1150112267286;0;0;6.7500882782436;0;4.09466632201361;1.24168541961228;0;0;0;;;;;0;0.67500882782436;21.8988103795984;51.2939555891657;2012-03-16 17:38:53;73.1927659687641;;;;;;;;;
2100-GAF_F002.xlsx;;2100;;M3;KLEI;;;;;inlaat peilbeheer;;uitlaat2;uitlaat3;uitlaat4;555.61300686;0;196.1029454;0;39.61476146;-3.1;1.08;0.384254271437904;16.3667900148303;2013.88571428571;6.37142857142857;;-1.99028283764259;439611.80674857;35.7341767325424;-7.2125676811245;2890.57500059716;-16227.1335081237;887.518424553481;792.295229200001;3180.14743001707;0;0;9049.68292572345;0;0;0;0;0;246.364862797505;811.811548414178;0;0.426248669691893;0;0;0;0;13336.5585075265;0;0.800000000000001;3.21107315840146;0;0;13.7065314931069;0;0;0;0;0;0.18657050078133;0.0448074602417904;0.4;16.0553657920073;0;0;13.7065314931069;0;0;0;0;0;0.279855751171996;;;;;0;1.37065314931069;17.9041751522897;30.486560496528;2014-05-01 22:21:08;48.3907356488177;(0.5,0.7];0.6;13.17;1.3594666022999;;;;;
2110-GAF_F002.xlsx;;2110;NL11_2_6;M10;VEEN;part. inlaat + ca 900 m3/d dijkse kwel;waterschapsinlaat opgedrukt;park de Braak;inlaat1;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;999.1624;0;213.4611;150.0001;61.86;-6;0.6;0.425225850101916;10.719101473438;2011.77777777778;6.16666666666667;;-5.42135509950422;357949.735446689;30.0653957352822;-55.0544524207702;-1123.40956956311;-15335.9546874781;1556.63542398373;123.065;3971.03997031494;134.921047134117;0;9913.24262878306;1.55709189578526e-06;1250;270.50987654321;1063.38086407039;0;315.658989458997;1198.61582975034;0;885.419262633276;0;0;0;0;16459.3642570412;0.0503276891039034;0.0795764629809247;1.28387971882151;0.109053546018523;0;6.41011485857295;2.5171223662872e-10;1.41448431943097;0.218646844926616;0.515703619820753;0;0.153083894015033;0;0;0;0;0;0;0;0;0;0;0;0.357195752701743;;;;;1;0.641011485857295;10.2348709539429;0.357195752701743;2012-03-16 17:38:53;10.5920667066446;(0,0.3];0.3;15.09;0.678255199068449;;;;;
2120-GAF_F002.xlsx;;;;M1a;KLEI;Poel en dijkslek;Amstel;Westwijk;Inlaat (sluitfout);inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;1501.71198426781;73.5507375728607;230.396947081375;147.063715975571;99.7239065795898;-6.3;0.39;0.377498451395142;9.10055406821748;2012.5;6.5;;-5.89142650882817;407445.446645167;30.9691672524023;-1.09166871913236;-3406.53209287893;-25221.8147440862;2594.30932138917;263.051579960633;4538.48298819174;99.2098866343672;1321.3868547393;6479.22319146714;9072.29055630349;1043.81592936081;625;4833.89204836895;0;13.0010628469617;1972.18475942542;0;282.040154152835;0;0;0;0;28628.3468369652;0;0.0527559717590267;0.910209626529135;0.298453670851295;0.530018086960805;3.89829685600778;5.45844474056753;0.157005872287164;0.15668259032281;1.21181876396685;0;0.00260741146087886;0;0.0527559717590267;0.910209626529135;0.198969113900863;0.265009043480402;1.94914842800389;2.72922237028376;0.173753165331129;0.282028662581057;0.242363752793369;0;0.00216415151252945;;;;;1;0.389829685600778;12.6762935907133;6.80562428617517;2012-12-15 14:45:00;19.4819178768884;;;;;;;;;
2120-GAF_F003.xlsx;;;;M1a;KLEI;Poel en dijkslek;Amstel;Westwijk;Inlaat (sluitfout);inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;1501.71198426781;73.5507375728607;230.396947081375;147.063715975571;99.7239065795898;-6.3;0.39;0.365995617374684;8.33983798350663;2013.5;6.5;;-5.89248084526312;406394.021163744;29.0145306776612;0.101152883683892;-2296.84443285673;-24042.2797412058;2655.3939557745;263.051579960633;4648.31532064406;74.4074149757754;1357.67535359114;6526.99883949546;9344.26285767337;583.361947020609;625;2472.70326246719;0;16.4875458621813;1980.95453576793;0;247.680520518173;0;0;0;0;26339.1241740625;0;0.0527559717590267;0.932236908896912;0.223840253138471;0.544573673518327;3.9270416071915;5.62207990731833;0.0877465545167488;0.15668259032281;0.619887283620833;0;0.00330663858400344;0;0.0527559717590267;0.932236908896912;0.149226835425647;0.272286836759163;1.96352080359575;2.81103995365916;0.0971061869985354;0.282028662581057;0.123977456724167;0;0.00274451002472285;;;;;1;0.39270416071915;12.170151388867;6.68692412642415;2013-12-15 22:25:00;18.8570755152911;;;;;;;;;
2120-GAF_F004.xlsx;;2120;NL11_2_6;M10;VEEN;Poel en dijkslek;Amstel;Westwijk;Inlaat (sluitfout);inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;1501.71198426781;73.5507375728607;230.396947081375;147.063715975571;99.7239065795898;-6.3;0.39;0.365995617374684;8.34471963694999;2013.5;6.5;;-5.89123122238541;407640.1939149;29.1431686470713;0.22189958835533;-2932.82430368616;-24042.2797412058;2655.3939557745;263.051579960633;4648.31532064406;74.4074149757754;1357.67535359114;6669.93689154171;9710.30540745663;583.361947020609;625;2472.70326246719;0;2.55514250541109;1980.95453576793;0;106.869594866157;0;0;0;0;26975.1040448919;0;0.0527559717590267;0.932236908896912;0.223840253138471;0.544573673518327;4.01304187951267;5.84231348761302;0.0877465545167488;0.15668259032281;0.619887283620833;0;0.000512443323381405;0;0.0527559717590267;0.932236908896912;0.149226835425647;0.272286836759163;2.00652093975633;2.92115674380651;0.0971061869985354;0.282028662581057;0.123977456724167;0;0.000425327958406566;;;;;1;0.401304187951267;12.4735910462222;6.83772187066576;2013-12-15 22:25:00;19.3113129168879;(0.3,0.5];0.32;14.5;0.860247658360151;;;;;
2130-EAG-2_F001.xlsx;2130-EAG-2;;;M1a;KLEI;Poel en dijkslek;onbekende inlaat;inlaat3;inlaat4;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;302.455099;0;127.825125025;68.828913475;17.57156;-6;0.39;0.25;7.28217511597199;2012.5;6.5;;-5.35603518045005;113154.664646111;30.5439034560464;0.460272999385833;-1682.64648867339;-3090.81761686508;456.375598501872;35.14312;2500.95135762988;101.191611078376;0;1764.60434249603;0;224.175938321386;76.4889479791426;103.046594982079;0;105.062811132496;347.881830844765;0;246.154658737417;0;0;0;0;4773.46410553847;0;0;1.28096550440991;1.72764873030697;0;6.02543317438873;0;0.765473088290576;0.174119880031466;0.234575860042202;0;0.364727518733808;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0.602543317438873;10.5729437562037;0;2012-12-15 14:45:00;10.5729437562037;(0.3,0.5];0.5;14.63;0.722689251961972;;;;;
2130-GAF-NLP_2015_V2.xlsx;;2130;NL11_2_6;M10;KLEI;Legmeerdijksloot;Westwijk;inlaten UHP;Onbekend;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;1119.53702679443;0;296.563980311203;100.838649894714;49.0230719493866;-6.3;0.45;0.457676612138534;22.4026815221729;2012.46478873239;6.42253521126761;;-5.82947679407321;230664.929780051;50.5968294185763;6.75475089731098e-14;-3497.99674928534;-20194.7069522258;1252.55690264507;140.476057683563;5672.90133392622;150.340076394893;0;5591.47162812064;5516.4789879123;423.921914284371;3688.37284686072;923.022877360597;1444.57746478873;0;983.519985392425;0;127.896403073559;0;0;0;0;23692.7037015111;0;0.0573101815523093;2.3143801921606;0.920016252042164;0;6.84347765953162;6.75169315412269;0.259421878777025;1.88093723026412;1.03555848779216;0.147336489467671;0;0;0.0573101815523093;2.3143801921606;0.613344168028109;0;3.42173882976581;3.37584657706135;0;0;0;0;0;;;;;1;0.684347765953161;20.2101315257104;9.78261994856817;2012-11-30 09:32:57;29.9927514742785;(0.3,0.5];0.4;16.305;1.23950515337077;;;;;
2130-GAF_F001.xlsx;;;;M1a;KLEI;Legmeerdijksloot;Westwijk;inlaten UHP;Onbekend;inlaat peilbeheer;uitlaat1;uitlaat2;uitlaat3;uitlaat4;1119.53702679443;0;296.563980311203;100.838649894714;49.0230719493866;-6.3;0.45;0.457676612138534;22.4026815221729;2012.46478873239;6.42253521126761;;-5.82947679407321;230664.929780051;50.5968294185763;6.75475089731098e-14;-3497.99674928534;-20194.7069522258;1252.55690264507;140.476057683563;5672.90133392622;150.340076394893;0;5591.47162812064;5516.4789879123;423.921914284371;3688.37284686072;923.022877360597;1444.57746478873;0;983.519985392425;0;127.896403073559;0;0;0;0;23692.7037015111;0;0.0573101815523093;2.3143801921606;0.920016252042164;0;6.84347765953162;6.75169315412269;0.259421878777025;1.88093723026412;1.03555848779216;0.147336489467671;0;0;0.0573101815523093;2.3143801921606;0.613344168028109;0;3.42173882976581;3.37584657706135;0;0;0;0;0;;;;;1;0.684347765953161;20.2101315257104;9.78261994856817;2012-11-30 09:32:57;29.9927514742785;;;;;;;;;
