WS code;code;maand;jaar;watervlo veld;bact;alg;watervlo;cytotox polair;cytotox apolair;ER;anti-AR;GR;antibio;DR;PAK;PPARg;Nrf2;PXR;p53-;p53+;SIMONI 1.2;EAG;SIMONI 1.2;bron
WLP001;WLPa;;2012;0;0.15;0;0;;0;0.02;0.18;0;0;0.24;0.09;0.55;;;0;;0.186;3310-EAG-2;0.186;
SMW003;SMW;;2012;0;0.13;0.02;0.02;;;0.27;0.48;0;0;0.17;0.35;0.37;;;0;;0.227;3000-EAG-1;0.227;
?;WLKa;;2011;;0;0.05;0.02;;0;0.87;0.23;0;0;0;0.14;0.11;;;0.14;;0.256;;0.256;
?;LEKa;;2015;0.25;0.01;0;0.02;0;0;0.24;0.79;0;0.01;0.51;0.32;0;0.38;0.03;0;0;0.284;;0.284;
NAP010;NAM;;2015;0;0.04;0;0;;0;0.04;0.08;0;0;0.25;0.3;0.51;0.41;0.91;0;1.3;0.29;3100-EAG-2;0.29;
WLP001;WLPb;;2015;0.5;0;0;0;;0;0.03;0.21;0;0.07;0.34;0.21;0.36;0.41;0.45;0;0;0.309;3310-EAG-2;0.309;
?;WLKb;;2015;;0.01;0;0.01;0;0;1.46;0.43;0;0.01;0.14;0.15;0;0.57;0.04;0;0;0.317;;0.317;
BOT001;BOT;;2015;0.25;0.06;0;0;;0;0.02;0.54;0;0;0.39;0.19;0.53;0.58;1;0;0;0.416;2550-EAG-1;0.416;
?;LEKb;;2016;1;0.01;0;0;0;0;0.42;0.55;0;0.17;0.75;0.13;0;0.37;0.03;0;0;0.444;;0.444;
?;WLKc;;2015;1;0.13;0;0.07;0;0;0;0;0;0;0.92;0.52;0;2.82;0.21;0;0;0.687;;0.687;
?;VEM;;2011;;0.06;0.05;0.04;;0;0.81;0.47;0;0;0;0.5;0.08;;;0.12;;0.316;;0.316;
?;AMRa;;2014;0;0;0.02;0.07;;0.01;0.38;0.69;0.02;0.13;1.1;;0;0.29;;0.36;;0.351;;0.351;
?;AMU;;2014;0;0;0;0.07;;0;0.43;0.75;0.05;0.83;1.01;;0;0.15;;0.4;;0.419;;0.419;
?;AMRb;;2015;0;0.03;0;0.1;;0;0.36;0.26;0.1;0.26;1.24;;0.2;0.47;1.28;0;;0.479;;0.479;
?;AMAb;;2015;0;0.02;0.02;0.17;;0;0.67;0.47;0.13;0.21;0.74;;0.29;0.15;1.23;0;;0.495;;0.495;
?;VEH;;2014;1.25;0.03;0.02;0.05;;0.01;0.79;0.29;0.29;0.34;0.38;;0;0.31;;0.28;;0.619;;0.619;
?;AMAa;;2014;0;0.02;0.02;0.05;;0;0.47;4.43;0.04;0.16;0.45;;0;0.11;;0;;0.684;;0.684;
?;EEM;;2015;0.5;0.03;0;0.07;;0;3.29;0.46;0.73;0.38;0.68;;0.46;0.43;0.45;0.28;;0.882;;0.882;
?;GBL;;2015;1;0.02;0;0.08;;0.01;7.8;0.54;1.83;0.45;0.7;;0.54;0.39;0.8;0;;1.65;;1.65;
