Locatie;categorie;X;Y;WS code;TOX code;jaar;maand;Fase 1;Fase 2;Fase 3;watervlo veld;bact;alg;watervlo;cytotox polair;cytotox apolair;ER;anti-AR;GR;anti-PR;antibio;PAK;PPARg;Nrf2;PXR;p53-;p53+;SRI 1.2;;;;;;;;;;
Zuider Legmeerpolder;agrarisch;112107;471308;ZLP115;ZLP1;2012;juli;2.89;;;5.00;0.26;0.08;7.63;;;0.17;1.44;0.00;;0.13;0.28;0.53;;;6.34;;2.89;;;;;;;;;;
BOBM polder bij vuilstort;vuilstort;136849;480908;BOP008;;2018;juni;2.62;;;3.50;0.09;0.09;0.00;5.95;0.14;2.98;0.33;0.00;1.14;0.17;0.52;0.00;4.33;3.51;0.00;2.16;2.62;;;;;;;;;;
Zuider Legmeerpolder;agrarisch;111967;471220;ZLP038;ZLP5b;2013;sept;2.31;;;5.00;0.15;0.00;0.74;;;0.31;0.38;0.00;;0.00;;3.75;;;0.00;;2.31;;;;;;;;;;
Gemaal Rijnkade industrie;riool;130019;480341;RIJ001;;2018;juni;2.04;;;2.50;0.15;0.00;0.00;0.18;0.04;1.11;0.07;0.00;0.10;0.20;3.34;0.00;2.93;8.14;0.00;0.00;2.04;;;;;;;;;;
hoek Huizermaat;riool;145269;479064;HUI018;;2017;mei;2.01;;;2.03;0.16;0.00;0.09;1.79;0.01;5.83;2.62;0.00;;0.60;0.30;0.47;0.35;5.74;0.04;0.04;2.01;;;;;;;;;;
Aflaat natuurgebied;saneringsslib;112224;485483;LMP004;;2017;mei;1.97;;;1.90;0.07;0.00;0.00;3.57;0.02;0.55;7.14;0.00;;0.02;0.12;0.00;0.86;2.38;0.11;0.11;1.97;;;;;;;;;;
Zuider Legmeerpolder;agrarisch;111967;471220;ZLP038;ZLP5a;2013;juli;1.90;;;3.00;0.24;0.26;1.14;;;0.45;0.50;0.00;;0.00;;2.34;;;2.86;;1.90;;;;;;;;;;
Dijkgravenlaan;riool;119130;480694;MPA024;;2017;mei;1.89;;;1.83;0.06;0.03;0.05;5.95;0.00;5.12;3.57;0.00;;0.25;0.16;0.00;0.58;1.64;0.02;0.02;1.89;;;;;;;;;;
Gooiergracht Hilversum;RWZI;145199;473865;AW;GHIa;2014;mei;1.70;;;1.00;0.03;0.02;0.06;;0.01;5.52;1.73;2.70;;1.36;;0.00;0.21;;0.24;;1.70;;;;;;;;;;
Gooiergracht Hilversum;RWZI;145206;473879;AW;GHIb;2015;juli;1.69;;;1.75;0.02;0.00;0.02;;0.00;5.24;0.39;2.26;;1.00;;0.34;0.43;1.47;0.44;;1.69;;;;;;;;;;
Gooiergracht Blaricum;RWZI;147001;476942;AW;GBL;2015;juli;1.66;;;1.00;0.02;0.00;0.08;;0.01;7.80;0.54;1.83;;0.45;;0.54;0.39;0.80;0.00;;1.66;;;;;;;;;;
Hilv kanaal Kortenhoef;haven;138349;470386;PKH448;;2018;juni;1.62;;;4.50;0.00;0.00;0.00;;0.01;;;;;;1.27;0.00;0.33;1.34;0.22;0.22;1.62;;;;;;;;;;
Noorder Legmeerpolder;agrarisch;115405;474526;NLP037;NLP1;2012;juli;1.60;;;3.50;0.19;0.07;1.17;;;0.23;2.66;0.00;;0.07;0.41;0.29;;;0.00;;1.60;;;;;;;;;;
Hoge kant stuw;snelweg;126527;473499;PBW006;;2017;mei;1.58;;;1.84;0.14;0.00;0.06;1.79;0.02;0.26;3.57;0.00;;0.02;0.25;0.00;0.41;6.13;0.12;0.12;1.58;;;;;;;;;;
Zuider Legmeerpolder;agrarisch;110488;470686;ZLP007;ZLP4a;2013;juli;1.52;;;3.50;0.09;0.02;0.22;;;1.26;1.02;0.00;;0.00;;0.67;;;0.00;;1.52;;;;;;;;;;
Zuider Legmeer zuid/mid;agrarisch;111980;471205;ZLP038;;2017;okt;1.50;;;0.25;0.25;0.12;0.83;0.18;0.02;0.29;0.74;0.00;;0.12;1.40;0.00;1.87;6.99;0.10;0.10;1.50;;;;;;;;;;
Zuider Legmeerpolder;agrarisch;110743;470119;ZLP001;ZLP2a;2013;juli;1.48;;;3.00;0.19;0.06;0.85;;;1.21;0.92;0.00;;0.00;;0.00;;;0.00;;1.48;;;;;;;;;;
Loosdrecht bij baggeren;baggeren;130851;465800;MBP041;;2018;juni;1.46;;;4.00;0.04;0.00;0.08;1.19;0.02;0.18;0.00;0.00;0.14;0.00;2.85;0.00;0.00;2.03;0.35;1.05;1.46;;;;;;;;;;
Zuider Legmeerpolder;agrarisch;112695;473140;ZLP004;ZLP3a;2013;juli;1.46;;;2.25;0.45;0.07;0.15;;;1.60;0.95;0.00;;0.00;;1.58;;;1.06;;1.46;;;;;;;;;;
Holl.End nr.34;vuilstort;136182;476127;HAP007;;2017;okt;1.43;;;0.00;0.23;0.00;0.00;0.18;0.02;3.33;0.64;0.00;;0.15;1.78;0.00;1.58;5.27;0.10;0.29;1.43;;;;;;;;;;
