locatie.EAG;locatiecode;locatie.omschrijving;locatie.x;locatie.y;locatie.z;datum;jaar;Ca_mg/kg_dg_BS;Ca_mg/kg_dg_PW;DICHTHD_kg/l_BS;Fe_mg/kg_dg_BS;Fe_mg/l_ng_BS;Fe_ug/l_nf_PW;GR_%_dg_BS;IR_%_BS;MONSDTE_m_BS;MONSDTE_m_PW;MONSDTE_m_E_BS;MONSDTE_m_E_PW;MONSLTE_m_BS;MONSLTE_m_PW;NH4_mgN/l_nf_PW;PO4_mgP/l_nf_PW;Ptot_gP/kg_dg_BS;Ptot_mgP/l_nf_PW;Ptot_mgP/l_ng_BS;Ptot_mgPOlsen/kg_dg_BS;Ptot_mgPOlsen/l_ng_BS;S_mg/l_OPGLT_PW;SLIBDTE_m_BS;SO4_mg/l_PW;Stot_mg/kg_dg_BS;Stot_mg/l_PW;Stot_mg/l_nf_PW;Stot_mg/l_ng_BS;T_oC_BS;WATDTE_m_BS;WATDTE_m_PW;X_CODNT_m_BS;X_CODNT_m_PW;Y_CODNT_m_BS;Y_CODNT_m_PW;FESPFWratio;FESPDWratio;FESPPWratio;nlvrFW;nlvrOls;nlvrDW;nlvrPW
3300-EAG-1;MBP1000;Loosdrechtse Plassen;133757;468287;;2013-08-29;2013;;;1.122;8967.5;1800;1900;74;20.3;0;0;-10;-10;;;;;0.5;0.005;100;;;;;;6500;1.6;1.6;1350;18.6;;;133757;133757;468287.008;468287.008;-3.0571057505196;-2.6101698196277;-98.3480368667051;0.8665;;-0.8759;-0.2864525
3300-EAG-1;MBP1004;Loosdrechtse Plassen;133076;467934;;2013-08-29;2013;;;5.8825;20857;2350;3000;48;11.2;0;0;-10;-10;;;;;0.7;0.24;75;;;;;;16000;1.6;1.6;1800;18.7;;;133076;133076;467934.016;467934.016;-5.80461620995468;-5.55347295297078;0.493193169031417;0.249;;0.6641;-0.09622
3300-EAG-1;MBP1005;Loosdrechtse Plassen;131901;467483;;2013-08-29;2013;;;5.707;24220;2050;340;38;8.4;0;0;-10;-10;;;;;0.6;0.08;54;;;;;;30000;1.3;1.3;2500;18.8;;;131901;131901;467483.008;467483.008;-23.6652159924428;-25.9097067370843;-13.3398698087812;-0.2697;;-0.1059;-0.22574
3300-EAG-1;MBP1006;Loosdrechtse Plassen;131438;466602;;2013-08-29;2013;;;5.754;21132;2100;50;47;9.9;0;0;-10;-10;;;;;0.6;0.1;62.5;;;;;;27000;1.6;1.6;2700;18.5;;;131438;131438;466601.984;466601.984;-23.0941539267769;-23.9343890314124;-15.1782846439441;-0.05975;;-0.1059;-0.20955
3300-EAG-1;MBP1007;Loosdrechtse Plassen;131651;465704;;2013-08-29;2013;;;5.715;19873;1900;110;41;9.5;0;0;-10;-10;;;;;0.6;0.005;60;;;;;;26000;2;2;2500;18.8;;;131651;131651;465704;465704;-22.6853001770646;-23.4882545484292;-374.188014119911;-0.1215;;-0.1059;-0.2864525
3300-EAG-4;MBP1024;Loosdrechtse Plassen;131372;465172;;2013-08-29;2013;;;5.946;18812;1400;40;43;7.4;0;0;-10;-10;;;;;0.7;0.06;53.5;;;;;;24999.998;2.4;2.4;1850;18.7;;;131372;131372;465172;465172;-18.8888819017373;-19.5935013274782;-38.269252959429;-0.28205;;0.6641;-0.24193
3300-EAG-3;MBP1023;Loosdrechtse Plassen;130693;465393;;2013-08-29;2013;;;5.8695;22972.5;1400;5;34;6.1;0;0;-10;-10;;;;;0.9;0.16;55.5;;;;;;42000;2.9;2.9;2550;18.7;;;130693;130693;465392.992;465392.992;-30.3916745139518;-30.9216051988197;-17.4909708738267;-0.23265;;2.2041;-0.16098
3300-EAG-3;MBP1021;Loosdrechtse Plassen;130484;465837;;2013-08-29;2013;;;5.812;27188;2250;5;43;8.2;0;0;-10;-10;;;;;0.9;0.23;74;;;;;;35000;3.4;3.4;2850;18.8;;;130484;130484;465836.992;465836.992;-20.3389807807205;-20.8105805204099;-14.2675783525421;0.2243;;2.2041;-0.104315
3300-EAG-3;MBP1022;Loosdrechtse Plassen;130972;466141;;2013-08-29;2013;;;5.655;25800;2050;260;42;8.1;0;0;-10;-10;;;;;1;0.52;79.5;;;;;;29000;0.57;0.57;2350;18.5;;;130972;130972;466140.992;466140.992;-14.2518913108199;-13.7035138243024;-0.781536452170161;0.36015;;2.9741;0.13044
3300-EAG-1;MBP1011;Loosdrechtse Plassen;132528;466968;;2013-08-30;2013;;;1.035;18026;1950;360;44;10.7;0;0;-10;-10;;;;;0.5;0.005;51.5;;;;;;21000;0.92;0.92;2250;18.7;;;132528;132528;466968;466968;-21.2017874623368;-20.5750005389073;-137.805220132906;-0.33145;;-0.8759;-0.2864525
3300-EAG-1;MBP1002;Loosdrechtse Plassen;132317;465826;;2013-08-30;2013;;;5.8425;21019.5;1900;190;40;9;0;0;-10;-10;;;;;0.5;0.005;43.5;;;;;;27000;1.2;1.2;2450;18.9;;;132317;132317;465825.984;465825.984;-30.179752701072;-28.8460613582428;-210.757679095995;-0.52905;;-0.8759;-0.2864525
3300-EAG-1;MBP1008;Loosdrechtse Plassen;132965;465523;;2013-08-30;2013;;;6.169;7176;1100;110;70;14.6;0;0;-10;-10;0;0;;;0.2;0.005;38.5;;;;;;8500;1.3;1.3;1250;18.6;;;132965;132965;465523.008;465523.008;-15.5159132020772;-21.1533866981097;-238.951463363635;-0.65255;;-3.1859;-0.2864525
3300-EAG-1;MBP1003;Loosdrechtse Plassen;132432;464984;;2013-08-30;2013;;;5.872;12205;1300;130;44;10.5;0;0;-10;-10;;;;;0.2;0.005;38.5;;;;;;18000;2;2;1900;18.6;;;132432;132432;464984;464984;-28.9433293824631;-53.0907354448643;-371.969444865725;-0.65255;;-3.1859;-0.2864525
3300-EAG-4;MBP1025;Loosdrechtse Plassen;130929;464586;;2013-08-30;2013;;;1.062;28775;2200;5;41;7.7;0;0;-10;-10;;;;;0.9;0.27;68;;;;;;33000;1.9;1.9;2550;18.7;;;130929;130929;464585.984;464585.984;-18.2797659512822;-17.6859493240901;-6.78733324913869;0.0761000000000001;;2.2041;-0.071935
3300-EAG-4;MBP1026;Loosdrechtse Plassen;131229;464214;;2013-08-30;2013;;;5.9085;4178;450;4500;56;10.2;0;0;-10;-10;;;;;2.5;0.57;260;;;;;;39000;0.65;0.65;4000;18.7;;;131229;131229;464214.016;464214.016;-13.9012015733978;-14.1422974213006;3.27720425492064;4.8185;;14.5241;0.170915
3300-EAG-8;MBP1030;Loosdrechtse Plassen;134180;469575;;2013-09-03;2013;;;5.713;16174;1050;5;29;6.3;0;0;-10;-10;;;;;5.5;0.37;345;;;;;;25000;2.4;2.4;1550;18.8;;;134180;134180;469575.008;469575.008;-2.65184748614708;-2.75974532442199;-6.25829096902665;6.918;;37.6241;0.009015
3300-EAG-8;MBP1031;Loosdrechtse Plassen;134428;469326;;2013-09-03;2013;;;5.734;10973.5;800;5;35;7.3;0;0;-10;-10;;;;;5.8;0.27;430;;;;;;22000;2.2;2.2;1600;19.2;;;134428;134428;469326.016;469326.016;-2.56243425403393;-2.614670784187;-7.86063920752184;9.0175;;39.9341;-0.071935
3300-EAG-8;MBP1029;Loosdrechtse Plassen;134003;469152;;2013-09-03;2013;;;6.3835;3038;700;5;84;21.3;0;0;-10;-10;;;;;4;0.31;855;;;;;;5200;2.4;2.4;1125;18.6;;;134003;134003;469152;469152;-0.816927091673028;-0.834517134169772;-7.46957309206407;19.515;;26.0741;-0.039555
3300-EAG-8;MBP1032;Loosdrechtse Plassen;133647;469372;;2013-09-03;2013;;;6.282;37806.5;7700;170;80;20.2;0;0;-10;-10;;;;;3.2;0.005;665;;;;;;7900;3;3;1600;20.2;;;133647;133647;469372;469372;4.09802290862516;4.16808726968396;-560.72737886632;14.822;;19.9141;-0.2864525
3300-EAG-8;MBP1027;Loosdrechtse Plassen;133295;469659;;2013-09-03;2013;;;5.682;11205.5;750;5;28;6.6;0;0;-10;-10;;;;;6.3;0.93;415;;;;;;25000;2.3;2.3;1650;20.1;;;133295;133295;469659.008;469659.008;-2.83825930852808;-2.84672057447243;-2.38598937880148;8.647;;43.7841;0.462335
3300-EAG-8;MBP1028;Loosdrechtse Plassen;133443;469068;;2013-09-03;2013;;;5.7705;9148.5;850;5;38;8.8;0;0;-10;-10;;;;;5.8;0.92;505;;;;;;22000;1.7;1.7;1900;19.5;;;133443;133443;469068;469068;-2.70080638083311;-2.78919185698394;-1.78194011386791;10.87;;39.9341;0.45424
3300-EAG-1;MBP1010;Loosdrechtse Plassen;134654;467658;;2013-09-05;2013;;;6.4435;3854.5;800;470;84;21.7;0;0;-10;-10;;;;;0.2;0.005;38;;;;;;3300;7.1;7.1;725;19.5;;;134654;134654;467657.984;467657.984;-6.75311281599642;-5.24924949416627;-1319.5486373403;-0.6649;;-3.1859;-0.2864525
3300-EAG-1;MBP1001;Loosdrechtse Plassen;134268;467208;;2013-09-05;2013;;;6.0865;9855.5;1700;2600;68;17.5;0;0;-10;-10;;;;;0.2;0.005;53.5;;;;;;6100;2.9;2.9;1080;19.7;;;134268;134268;467208;467208;-1.87591511251398;-2.13086195183348;-271.851707231862;-0.28205;;-3.1859;-0.2864525
