monsterident;externereferentie;xcoormonster;ycoormonster;monsternemer;planvanaanpak;analist;bron;veldapparaat;bemonsteringsprotocol;analyseprotocol;analysecode;locatiecode;locatie namespace;locatie omschrijving;locatie x;locatie y;locatie z;locatie referentievlakzcoord;locatie KRW watertype;locatie EAG;locatie afaanvoergebied;locatie KRWmeetpuntlocatie;locatie morfologielocatie;locatie bodemsoortlocatie;locatie meetprogrammahistorie;locatie meetprogrammaactueel;locatie meetnethistorie;locatie meetnetactueel;compartiment;datum;fewsparameter;fewsparameternaam;fewsparametercategorie;fewsparametergrootheid;parametercode;grootheid;parameterfractie;parametergroep;parametertypering;biotaxonnaam;confertaxon;TWN naam;TWN taxontype;TWN taxonlevel;WNA nederlandse soortnaam;TWN taxongroup;beschermingsstatus florafaunawet;WNA oeverplantensoorten;WNA emerse plantensoorten;WNA soorten met drijvend blad;WNA kroossoorten;WNA onderwaterplantensoorten;WNA stromingsgilde vis;WNA migratiegilde vis;WNA habitatvoorkeur vis;WNA plantminnendheid vis;WNA reynolds groep cyanobacterieen;WNA zuurstoftolerante vis;WNA fytoplankton groep;WNA fytoplankton subgroep;WNA toxische blauwalg;gedrag;lengteklasse;levensstadium;levensvorm;verschijningsvorm;geslacht;limietsymbool;meetwaarde;eenheid;eenheidequivalent;eenheidreferentie;waardebewerkingsmethode;kwaliteitsoordeelcode;afronding;opmerkingmeting
BDM_386059;386059;133757;468287;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-08-29 08:00;DICHTHD_kg/l;Dichtheid (kg/l);ALG;DICHTHD;DICHTHD;DICHTHD;;Grootheid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.122;kg/l;;;;0;Ja;
BDM_386059;386059;133757;468287;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-08-29 08:00;Fe_mg/kg_dg;IJzer drooggewicht (mg/kg);IONEN;MASSFTE;Fe;CONCTTE;dg;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8935;mg/kg;;;;0;Ja;
BDM_386059;386059;133757;468287;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-08-29 08:00;Fe_mg/l_ng;IJzer natgewicht (mg/l);IONEN;CONCTTE;Fe;CONCTTE;ng;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000;mg/l;;;BER;3;Ja;verkeerde berekening gebruikt van drooggewicht obv dichtheid naar natgewicht
BDM_386059;386059;133757;468287;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-08-29 08:00;GR_%_dg;Gloeirest van zwevende stof (%dg);ALG;MASSFTE;GR;MASSFTE;dg;Object;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74;%;;;;0;Ja;
BDM_386059;386059;133757;468287;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-08-29 08:00;IR_%;Indamprest van vaste matrix (%);ALG;AFSDRDMT;IR;MASSFTE;;Object;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.3;%;;;;0;Ja;
BDM_386059;386059;133757;468287;WP;;WP;dwwsb001-231-B;;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-08-29 08:00;MONSDTE_m;Monsterdiepte (m);MONSVAR;DIEPTE;MONSDTE;DIEPTE;;MonstervariabeleEcologie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;m;;BODM;;0;Ja;
BDM_386059;386059;133757;468287;WP;;WP;dwwsb001-231-B;;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-08-29 08:00;MONSDTE_m_E;Monsterdiepte eind (m);MONSVAR;;MONSDTE;DIEPTE;;MonstervariabeleEcologie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10;m;;BODM;;0;Ja;
BDM_386059;386059;133757;468287;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-08-29 08:00;Ptot_gP/kg_dg;Fosfor (uitgedrukt in g fosfor/kg drooggewicht);NUTRI;MASSFTE;Ptot;CONCTTE;dg;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;g/kg;P;;;0;Ja;
BDM_386059;386059;133757;468287;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-08-29 08:00;Ptot_mgP/l_ng;Fosfor (uitgedrukt in mg fosfor/l natgewicht);NUTRI;CONCTTE;Ptot;CONCTTE;ng;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;mg/l;P;;BER;3;Ja;verkeerde berekening gebruikt van drooggewicht obv dichtheid naar natgewicht
BDM_386059;386059;133757;468287;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-08-29 08:00;Stot_mg/kg_dg;Zwavel drooggewicht (totaal) (mg/kg);METAL;MASSFTE;Stot;CONCTTE;dg;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6500;mg/kg;;;;0;Ja;
BDM_386059;386059;133757;468287;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-08-29 08:00;Stot_mg/l_ng;Zwavel natgewicht (totaal) (mg/l);METAL;CONCTTE;Stot;CONCTTE;ng;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1500;mg/l;;;BER;3;Ja;verkeerde berekening gebruikt van drooggewicht obv dichtheid naar natgewicht
BDM_386059;386059;133757;468287;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-08-29 08:00;T_oC;Temperatuur (oC);ALG;T;T;T;;Grootheid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.6;oC;;;;0;Ja;
BDM_386059;386059;133757;468287;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-08-29 08:00;X_CODNT_m;X_coordinaat (m);VELD;LENGTE;X_CODNT;LENGTE;;Ongedefinieerd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133757;m;;;;0;Ja;
BDM_386059;386059;133757;468287;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;BS;2013-08-29 08:00;Y_CODNT_m;Y_coordinaat (m);VELD;LENGTE;Y_CODNT;LENGTE;;Ongedefinieerd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;468287.008;m;;;;0;Ja;
BDM_386060;386060;133757;468287;WP;;WP;dwwsb001-231-B;Multi-sampler;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;PW;2013-08-29 08:00;Fe_ug/l_nf;IJzer na filtratie (ug/l);IONEN;CONCTTE;Fe;CONCTTE;;ChemischeStof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1900;mg/l;;;;0;Ja;
BDM_386060;386060;133757;468287;WP;;WP;dwwsb001-231-B;;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;PW;2013-08-29 08:00;MONSDTE_m;Monsterdiepte (m);MONSVAR;DIEPTE;MONSDTE;DIEPTE;;MonstervariabeleEcologie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;m;;BODM;;0;Ja;
BDM_386060;386060;133757;468287;WP;;WP;dwwsb001-231-B;;;;;MBP1000;NL11;Loosdrechtse Plassen;133757;468287;;;M27;3300-EAG-1;3300;NL11_5_1;plas;Water;BODCHEM;;BODEMCHEMIE-BC;;PW;2013-08-29 08:00;MONSDTE_m_E;Monsterdiepte eind (m);MONSVAR;;MONSDTE;DIEPTE;;MonstervariabeleEcologie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10;m;;BODM;;0;Ja;
