locatie.EAG;locatie.afaanvoergebied;datum;jaar;Ca_mg/kg_dg_BS;Ca_mg/kg_dg_PW;DICHTHD_kg/l_BS;Fe_mg/kg_dg_BS;Fe_mg/l_ng_BS;Fe_ug/l_nf_PW;GR_%_dg_BS;IR_%_BS;MONSDTE_m_BS;MONSDTE_m_PW;MONSDTE_m_E_BS;MONSDTE_m_E_PW;MONSLTE_m_BS;MONSLTE_m_PW;NH4_mgN/l_nf_PW;PO4_mgP/l_nf_PW;Ptot_gP/kg_dg_BS;Ptot_mgP/l_nf_PW;Ptot_mgP/l_ng_BS;Ptot_mgPOlsen/kg_dg_BS;Ptot_mgPOlsen/l_ng_BS;S_mg/l_OPGLT_PW;SLIBDTE_m_BS;SO4_mg/l_PW;Stot_mg/kg_dg_BS;Stot_mg/l_PW;Stot_mg/l_nf_PW;Stot_mg/l_ng_BS;T_oC_BS;WATDTE_m_BS;WATDTE_m_PW;X_CODNT_m_BS;X_CODNT_m_PW;Y_CODNT_m_BS;Y_CODNT_m_PW
;;2013-10-04;2013;;;1.61566666666667;5913.16666666667;3533.33333333333;;88.6666666666667;51.7833333333333;-10;;-20;;;;;0.135833333333333;0.2;;71.1666666666667;3.41666666666667;2.36666666666667;;;;4515;;;2076.66666666667;13.3666666666667;;;132798;;475223.168;
;;2013-10-08;2013;;;1.144125;5703.75;512.5;;43.5;8.8875;-10;;-20;;;;;1.14875;0.825;;83;22.75;2.3125;;;;33125;;;3337.5;;;;124713.5;;470531.124;
;;2013-10-11;2013;;;1.1665;2176.75;275;;44;10.2;-10;;-20;;;;;1.09;0.7;;87.5;22;2.6;;;;22999.999;;;2750;;;;124312.5;;472344.496;
2110-EAG-1;2110;2017-07-13;2017;30000;;1.176;24000;6400;2800;84;23.2;40;;;;;;23;;0.9;15;240;;;0.02;;;18000;2.7;;4900;19.1;;;;;;
2110-EAG-2;2110;2017-07-11;2017;;;1.077;18000;2700;;63.5;13.8;145;;;;;;;;1.15;;170;37.5;5.85;;;;13250;;;2135;20.05;;;;;;
2110-EAG-3;2110;2017-07-13;2017;19000;;1.061;17000;2000;6900;50;11.2;45;;;;;;18;;1.9;13;230;;;0.03;;;19000;4.2;;2300;19.5;;;;;;
2110-EAG-3;2110;2017-08-17;2017;53000;;1.102;22000;4400;12000;66;18;;;;;;;27;;1.9;14;370;;;1.7;;;13000;4.1;;2600;18.7;;;;;;
2110-EAG-5;2110;2017-07-11;2017;;;1.2735;16500;7600;;92.5;35.6;92.5;;;;;;;;1.6;;730;63;29;;;;5100;;;2250;20.45;;;;;;
2110-EAG-5;2110;2017-08-17;2017;;;1.243;17000;6700;;89;32.2;80;;;;;;;;1.7;;680;40;16;;;;13000;;;5200;19.3;;;;;;
2110-EAG-6;2110;2017-07-13;2017;38000;;1.169;25500;7500;6750;85.5;26.1;35;;;;;;21.5;;1.8;14.5;580;;;0.035;;;17800;2.65;;4900;17.35;;;;;;
