Meetobject.namespace;Meetobject.lokaalID;Meetobject.omschrijving;Namespace;GeometriePunt.X_RD;GeometriePunt.Y_RD;KRWwatertype.code;GeoObject.code;LigtInGeoObjectCode;HoortBijGeoObjectCode;Wegingsfactor;Monster.lokaalID;Meetwaarde.lokaalID;Resultaatdatum;Resultaattijd;Toetsdatumtijd;Begindatum;Begintijd;Einddatum;Eindtijd;Typering.code;Grootheid.code;Grootheid.omschrijving;Parameter.code;Parameter.omschrijving;Biotaxon.naam;Biotaxon.naam.nl;CAS-nummer;Eenheid.code;Hoedanigheid.code;Analysecompartiment.code;Levensstadium.code;Lengteklasse.code;Geslacht.code;Verschijningsvorm.code;Levensvorm.code;Gedrag.code;Waardebewerkingmethode.code;Waardebepalingsmethode.code;LocatieTypeWaardeBepaling.ID;LocatieTypeWaardeBepaling.Omschrijving;Limietsymbool;Numeriekewaarde;Alfanumeriekewaarde;Kwaliteitsoordeel.code;Classificatie;Normwaarde;Aantalgebruiktemeetwaarden;Aantalmeetwaardenonderdetectiegrens
NL11;ADM016;Magere Brug over de Amstel (repr voor stadsboezem);;121977;486291;M6b;;;;;;;;;2019-05-06 09:58:54;2018-01-01;00:00:00;2018-12-31;23:59:59;;CONCTTE;(massa)Concentratie;Naf;naftaleen;naftaleen;;91-20-3;ug/l;NVT;OW;;;;;;;JGM;"other:Aquo-kit;OW-toetsing;EU voorstel prioritair 2012 - zoet";;;;0.017;Voldoet;00;1;<=2;11;10
NL11;ADM016;Magere Brug over de Amstel (repr voor stadsboezem);;121977;486291;M6b;;;;;;;;;2019-05-06 09:58:54;2017-01-01;00:00:00;2017-12-31;23:59:59;;CONCTTE;(massa)Concentratie;Durn;diuron;diuron;;330-54-1;ug/l;NVT;OW;;;;;;;JGM;"other:Aquo-kit;OW-toetsing;EU voorstel prioritair 2012 - zoet";;;;0.0063;Voldoet;00;1;<=0.2;4;3
NL11;ADM016;Magere Brug over de Amstel (repr voor stadsboezem);;121977;486291;M6b;;;;;;;;;2019-05-06 09:58:54;2018-01-01;00:00:00;2018-12-31;23:59:59;;CONCTTE;(massa)Concentratie;Ant;antraceen;antraceen;;120-12-7;ug/l;NVT;OW;;;;;;;JGM;"other:Aquo-kit;OW-toetsing;EU voorstel prioritair 2012 - zoet";;;;0.0024;Voldoet;00;1;<=0.1;11;9
NL11;ADM016;Magere Brug over de Amstel (repr voor stadsboezem);;121977;486291;M6b;;;;;;;;;2019-05-06 09:58:54;2017-01-01;00:00:00;2017-12-31;23:59:59;;CONCTTE;(massa)Concentratie;bfnx;bifenox;bifenox;;42576-02-3;ug/l;NVT;OW;;;;;;;JGM;"other:Aquo-kit;OW-toetsing;EU voorstel prioritair 2012 - zoet";;;;0.025;;55;;>0.012;4;4
NL11;ADM016;Magere Brug over de Amstel (repr voor stadsboezem);;121977;486291;M6b;;;;;;;;;2019-05-06 09:58:54;2017-01-01;00:00:00;2017-12-31;23:59:59;;CONCTTE;(massa)Concentratie;BbF;benzo(b)fluorantheen;benzo(b)fluorantheen;;205-99-2;ug/l;NVT;OW;;;;;;;MAX;"other:Aquo-kit;OW-toetsing;EU voorstel prioritair 2012 - zoet";;;;0.016;Voldoet;00;1;<=0.017;11;0
NL11;ADM016;Magere Brug over de Amstel (repr voor stadsboezem);;121977;486291;M6b;;;;;;;;;2019-05-06 09:58:54;2016-01-01;00:00:00;2016-12-31;23:59:59;;CONCTTE;(massa)Concentratie;Flu;fluorantheen;fluorantheen;;206-44-0;ug/l;NVT;OW;;;;;;;MAX;"other:Aquo-kit;OW-toetsing;EU voorstel prioritair 2012 - zoet";;;;0.03;Voldoet;00;1;<=0.12;11;0
NL11;ADM016;Magere Brug over de Amstel (repr voor stadsboezem);;121977;486291;M6b;;;;;;;;;2019-05-06 09:58:54;2017-01-01;00:00:00;2017-12-31;23:59:59;;CONCTTE;(massa)Concentratie;irgrl;irgarol;irgarol;;28159-98-0;ug/l;NVT;OW;;;;;;;MAX;"other:Aquo-kit;OW-toetsing;EU voorstel prioritair 2012 - zoet";;;<;0.05;;55;;>0.016;4;4
NL11;ADM016;Magere Brug over de Amstel (repr voor stadsboezem);;121977;486291;M6b;;;;;;;;;2019-05-06 09:58:54;2016-01-01;00:00:00;2016-12-31;23:59:59;;CONCTTE;(massa)Concentratie;BkF;benzo(k)fluorantheen;benzo(k)fluorantheen;;207-08-9;ug/l;NVT;OW;;;;;;;MAX;"other:Aquo-kit;OW-toetsing;EU voorstel prioritair 2012 - zoet";;;;0.006;Voldoet;00;1;<=0.017;11;0
NL11;ADM016;Magere Brug over de Amstel (repr voor stadsboezem);;121977;486291;M6b;;;;;;;;;2019-05-06 09:58:54;2017-01-01;00:00:00;2017-12-31;23:59:59;;CONCTTE;(massa)Concentratie;Naf;naftaleen;naftaleen;;91-20-3;ug/l;NVT;OW;;;;;;;JGM;"other:Aquo-kit;OW-toetsing;EU voorstel prioritair 2012 - zoet";;;;0.015;Voldoet;00;1;<=2;11;11
NL11;ADM016;Magere Brug over de Amstel (repr voor stadsboezem);;121977;486291;M6b;;;;;;;;;2019-05-06 09:58:54;2016-01-01;00:00:00;2016-12-31;23:59:59;;CONCTTE;(massa)Concentratie;BghiPe;benzo(ghi)peryleen;benzo(ghi)peryleen;;191-24-2;ug/l;NVT;OW;;;;;;;MAX;"other:Aquo-kit;OW-toetsing;EU voorstel prioritair 2012 - zoet";;;;0.008;Voldoet;00;1;<=0.0082;11;0
